rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
36,7.0,GNP.AX,GenusPlus Group Ltd.,Industrial services,Engineering & construction,mid,7.9,97.67,0.021,0.1913,0.2843,STRONG_DOWN,34.22,192.13,395.54,-17.73,51.59,42.35,0.7992,LOW,-,7.677,7.3032,5.8216,1,234.0451,LEADER,49.8292
47,-8.0,SRG.AX,SRG Global Limited,Industrial services,Engineering & construction,mid,2.37,83.72,-0.0867,-0.1272,-0.1445,STRONG_UP,24.15,103.63,249.75,-23.42,49.6,31.01,1.1876,MED,-,2.7015,2.8569,2.3107,1,165.748,LEADER,44.7605
70,31.0,MND.AX,Monadelphous Group Limited,Industrial services,Engineering & construction,mid,27.34,76.74,0.0128,-0.0472,0.0592,FLAT,29.58,84.8,122.8,-16.25,56.35,38.12,1.5045,HIGH,-,29.6838,29.3145,23.3945,1,125.352,LEADER,36.7212
83,6.0,SHA.AX,Shape Australia Corporation Limited,Industrial services,Engineering & construction,mid,6.71,93.02,0.0032,0.0729,0.1734,STRONG_DOWN,37.22,137.69,297.1,-14.61,50.4,44.88,0.2312,LOW,-,6.7506,6.6013,5.2423,1,154.6199,LEADER,34.3999
86,9.0,BSA.AX,BSA Limited,Industrial services,Engineering & construction,small,0.43,100.0,0.084,0.6153,2.7694,STRONG_DOWN,196.55,418.07,-37.23,-55.29,36.9,142.99,0.4153,LOW,-,0.3565,0.2491,0.149,1,107.8877,LEADER,33.0091
92,-5.0,NWH.AX,NRW Holdings Limited,Industrial services,Engineering & construction,mid,5.54,86.05,-0.0324,0.0263,0.1123,STRONG_DOWN,23.8,106.35,101.5,-19.23,53.57,41.16,0.4493,LOW,-,6.08,5.6462,4.512,1,138.4203,LEADER,32.5217
124,17.0,FHE.AX,Frontier Energy Limited,Industrial services,Engineering & construction,small,0.22,88.37,-0.0032,0.046,-0.0816,FLAT,-22.81,109.52,-41.33,-39.71,35.32,49.17,15.9882,HIGH,-,0.2215,0.2229,0.2388,0,78.6736,LAGGARD,28.859
137,,SXE.AX,Southern Cross Electrical Engineering Limited,Industrial services,Engineering & construction,mid,2.95,81.4,-0.0445,0.0542,0.2595,STRONG_DOWN,45.27,102.7,238.88,-19.42,50.4,47.6,0.5443,LOW,-,3.068,2.7754,2.2205,1,108.746,LEADER,27.1062
155,7.0,CVL.AX,Civmec Limited,Industrial services,Engineering & construction,mid,1.62,74.42,-0.0051,0.0352,0.2,STRONG_DOWN,18.58,83.35,93.67,-11.85,48.41,35.11,0.3236,LOW,-,1.6753,1.6466,1.3643,1,114.9277,CONTENDER,25.5118
163,26.0,TEA.AX,Tasmea Limited,Industrial services,Engineering & construction,mid,3.97,72.09,-0.0174,0.0717,-0.0363,FLAT,-13.71,74.61,163.52,-33.21,48.41,47.07,0.9364,LOW,PROGRESS,3.9356,4.033,4.1118,0,76.7355,LAGGARD,24.781
