rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
104,10.0,LRT.AX,Lowell Resources Funds Management Ltd Units,Miscellaneous,Investment trusts/Mutual funds,small,2.27,98.7,-0.0881,-0.145,0.0885,FLAT,20.11,103.28,100.16,-26.64,52.38,57.66,1.7862,HIGH,-,2.6855,2.6408,1.9858,1,93.8264,LEADER,30.8046
116,85.0,NAC.AX,NAOS Ex-50 Opportunities Co. Ltd.,Miscellaneous,Investment trusts/Mutual funds,small,0.685,97.4,0.1863,0.0734,0.052,STRONG_UP,19.9,95.58,14.27,-25.0,42.86,48.0,4.2881,HIGH,-,0.6297,0.6534,0.5745,1,85.3482,LEADER,29.5114
215,26.0,TGF.AX,Tribeca Global Natural Resources Ltd.,Miscellaneous,Investment trusts/Mutual funds,small,2.61,96.1,-0.0532,0.0226,0.2038,STRONG_DOWN,54.38,92.39,78.02,-20.95,52.78,54.58,0.5794,LOW,-,2.7887,2.7588,1.9769,1,89.3408,LEADER,22.3898
255,-50.0,BEL.AX,Bentley Capital Ltd.,Miscellaneous,Investment trusts/Mutual funds,small,0.023,100.0,0.3683,0.0846,0.2129,FLAT,76.92,130.0,-42.5,-61.54,18.65,104.18,1.4953,MED,-,0.0196,0.0208,0.0167,1,23.2722,LEADER,20.6689
303,-59.0,LSF.AX,L1 Long Short Fund Ltd.,Miscellaneous,Investment trusts/Mutual funds,mid,4.07,92.21,0.0032,0.0115,0.1084,STRONG_DOWN,24.82,51.52,53.71,-10.61,50.0,32.49,0.8364,LOW,-,4.2284,4.1958,3.4765,1,79.2886,LEADER,19.4319
305,-20.0,8IH.AX,8I Holdings Ltd. Chess Depository Interests repr 1 shs,Miscellaneous,Miscellaneous,small,0.014,93.51,0.0154,-0.0865,-0.1754,STRONG_UP,7.69,55.56,27.27,-71.43,9.92,37.44,0.0,LOW,-,0.0151,0.0155,0.0137,1,14.7199,LEADER,19.2794
314,21.0,COG.AX,COG Financial Services Limited,Miscellaneous,Investment trusts/Mutual funds,small,1.39,90.91,0.0012,-0.0991,-0.2799,STRONG_UP,-34.83,46.78,11.58,-44.84,38.89,53.85,1.034,MED,-,1.4517,1.6638,1.8316,0,33.7806,LAGGARD,19.1183
366,-50.0,RG8.AX,Regal Asian Investments Limited,Miscellaneous,Investment trusts/Mutual funds,small,2.695,89.61,-0.0717,0.0008,0.08,STRONG_DOWN,20.94,42.51,49.95,-22.89,47.41,31.9,0.7765,LOW,-,2.8888,2.8537,2.3301,1,63.1839,LEADER,17.686
380,-116.0,PGF.AX,PM Capital Global Opportunities Fund Ltd.,Miscellaneous,Investment trusts/Mutual funds,mid,2.91,77.92,-0.0281,-0.0436,0.0234,FLAT,11.07,23.0,54.71,-15.29,45.63,17.96,0.7916,LOW,-,3.079,3.0688,2.7762,1,58.4392,LEADER,17.4434
438,-207.0,NSC.AX,NAOS Small Cap Opportunities Company Ltd,Miscellaneous,Investment trusts/Mutual funds,small,0.33,84.42,-0.0557,-0.0628,-0.1118,STRONG_UP,-3.52,35.42,-31.59,-19.05,35.71,27.5,1.4243,MED,-,0.3594,0.3687,0.3373,0,45.9914,LAGGARD,16.1955
