rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
142,2.0,GLN.AX,Galan Lithium Limited,Process industries,Chemicals: agricultural,small,0.36,98.04,-0.0981,0.0571,0.4811,STRONG_DOWN,176.92,227.27,-4.0,-39.31,38.49,94.95,0.4587,LOW,-,0.385,0.3826,0.2201,1,92.1298,LEADER,26.5885
162,-49.0,PSC.AX,Prospect Resources Ltd.,Process industries,Chemicals: agricultural,small,0.33,96.08,-0.0574,-0.0904,0.4444,FLAT,60.98,186.96,317.72,-33.33,39.68,88.06,0.7241,LOW,-,0.3818,0.3838,0.2404,1,84.243,LEADER,24.8227
211,-9.0,MPP.AX,Metro Performance Glass Ltd,Process industries,Industrial specialties,mid,0.805,100.0,-0.519,17.7781,23.4633,STRONG_DOWN,2339.39,1354.12,653.99,-57.14,8.73,7801.65,0.0005,LOW,-,0.9575,0.4078,0.1298,1,1.5153,LEADER,22.454
244,,ORI.AX,Orica Limited,Process industries,Industrial specialties,large,19.91,70.59,-0.0019,-0.1785,-0.1009,FLAT,-5.02,16.18,20.71,-26.7,55.16,27.82,1.7172,HIGH,EARLY,22.877,24.6482,22.2831,0,32.0753,LAGGARD,21.0355
254,-58.0,NHE.AX,Noble Helium Ltd.,Process industries,Chemicals: specialty,small,0.032,86.27,0.0815,0.1238,-0.1414,FLAT,-21.95,68.42,-67.01,-52.63,32.94,75.81,2.5647,HIGH,-,0.0296,0.0327,0.0343,0,29.7295,LAGGARD,20.6804
297,14.0,CBO.AX,Cobram Estate Olives Ltd.,Process industries,Agricultural commodities/Milling,mid,3.07,84.31,0.052,0.0047,0.1316,FLAT,-2.66,65.68,79.05,-26.73,46.03,58.98,0.5041,LOW,-,3.0705,3.4286,3.0242,1,51.2588,LEADER,19.512
304,-5.0,PNN.AX,Power Minerals Limited,Process industries,Chemicals: agricultural,small,0.11,80.39,0.0148,0.1683,0.2916,STRONG_DOWN,29.41,57.14,-40.54,-64.89,38.1,106.33,1.4474,MED,-,0.1128,0.1103,0.0939,1,20.4753,LEADER,19.2904
336,2.0,LBL.AX,Laserbond Limited,Process industries,Industrial specialties,small,0.6,82.35,0.0066,0.1838,0.0351,FLAT,17.0,60.65,-8.14,-21.74,40.48,38.6,0.2962,LOW,-,0.59,0.5823,0.5201,1,63.6004,LEADER,18.3262
342,-183.0,CP8.AX,Canadian Phosphate Limited,Process industries,Chemicals: agricultural,small,0.066,90.2,-0.162,-0.0047,-0.0372,FLAT,24.53,88.57,120.0,-54.29,26.19,77.64,0.0,LOW,-,0.0703,0.0782,0.0632,1,29.8775,LEADER,18.2283
397,5.0,CG1.AX,Carbonxt Group Ltd.,Process industries,Chemicals: specialty,small,0.083,88.24,0.0395,-0.0253,-0.103,STRONG_UP,15.28,80.43,-7.78,-27.27,29.37,51.79,0.0169,LOW,-,0.0839,0.0866,0.0794,1,45.6144,LEADER,17.0614
461,-152.0,FIN.AX,Fin Resources Limited,Process industries,Chemicals: agricultural,small,0.014,94.12,0.0148,0.2238,0.6249,STRONG_DOWN,180.0,133.33,-26.32,-57.14,17.46,132.59,0.2091,LOW,-,0.0133,0.0126,0.0078,1,17.5579,LEADER,15.7769
489,12.0,LPM.AX,Lithium Plus Minerals Ltd.,Process industries,Chemicals: agricultural,small,0.13,92.16,0.0982,0.0201,0.0323,FLAT,60.49,100.0,-13.33,-42.5,26.59,107.22,0.0654,LOW,-,0.1305,0.1518,0.111,1,24.7995,LEADER,15.2721
546,121.0,DNL.AX,Dyno Nobel Limited,Process industries,Chemicals: agricultural,large,3.05,68.63,0.0349,-0.0261,0.0107,FLAT,7.45,15.53,15.53,-20.8,47.18,33.28,1.2204,MED,EARLY,3.237,3.3286,3.0732,0,22.023,LAGGARD,14.6311
556,,BGT.AX,Bio-Gene Technology Ltd.,Process industries,Chemicals: agricultural,small,0.035,72.55,0.0148,0.1862,0.5911,STRONG_DOWN,52.17,16.67,-44.44,-55.56,23.81,96.21,4.0059,HIGH,-,0.0345,0.0316,0.0258,1,4.1247,CONTENDER,14.512
562,-134.0,EVG.AX,Evion Group NL,Process industries,Chemicals: agricultural,small,0.027,78.43,-0.056,-0.0475,-0.0414,STRONG_DOWN,-10.0,42.11,22.73,-40.54,30.56,64.86,1.6207,HIGH,-,0.0288,0.0293,0.0283,0,19.8387,LAGGARD,14.4302
579,-117.0,BNL.AX,Blue Star Helium Limited,Process industries,Chemicals: specialty,small,0.007,50.98,0.4148,0.4571,0.1098,FLAT,0.0,0.0,0.0,-55.56,25.79,162.01,11.2495,HIGH,-,0.0053,0.0052,0.0061,1,0.0,CONTENDER,14.1785
697,,HZR.AX,Hazer Group Ltd.,Process industries,Chemicals: specialty,small,0.38,76.47,0.0019,-0.0534,-0.1242,STRONG_UP,-9.52,26.67,-24.0,-38.98,38.49,55.4,0.1779,LOW,-,0.392,0.4371,0.421,0,18.5271,LAGGARD,13.0701
