rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
3,2.0,SRL.AX,Sunrise Energy Metals Limited,Producer manufacturing,Industrial machinery,mid,8.72,100.0,0.0206,-0.037,0.306,FLAT,73.02,3691.3,1609.8,-42.25,50.0,122.69,1.1137,MED,-,8.966,9.2176,4.8998,1,1504.3216,LEADER,331.8045
40,-2.0,MPW.AX,Metal Powder Works Limited,Producer manufacturing,Industrial machinery,small,1.9,92.5,-0.0567,-0.2018,0.2781,FLAT,-56.72,322.22,424.14,-71.96,47.62,88.56,0.6136,LOW,-,2.3812,2.4843,2.4632,0,173.2636,LAGGARD,47.3938
87,-3.0,T3D.AX,333D Limited,Producer manufacturing,Industrial machinery,small,0.03,95.0,0.2408,0.0948,-0.1301,STRONG_UP,-80.65,500.0,328.57,-90.0,17.86,131.48,0.0,LOW,-,0.0291,0.0367,0.0483,0,67.9191,LAGGARD,32.9962
105,-29.0,EDE.AX,Eden Innovations Ltd,Producer manufacturing,Trucks/Construction/Farm machinery,small,0.14,97.5,-0.0582,-0.2717,2.3754,FLAT,288.89,600.0,250.0,-63.33,26.19,201.45,0.3116,LOW,-,0.1655,0.1331,0.064,1,78.0045,LEADER,30.4909
106,-14.0,KOV.AX,Korvest Ltd.,Producer manufacturing,Metal fabrication,small,14.86,80.0,-0.0007,0.0616,0.1946,STRONG_DOWN,14.26,66.4,88.09,-8.72,53.17,23.99,0.3056,LOW,-,15.548,15.0748,13.1035,1,147.1547,LEADER,30.215
180,-6.0,AHL.AX,Adrad Holdings Limited,Producer manufacturing,Auto parts: OEM,small,1.0855,85.0,0.0885,0.3162,0.2961,FLAT,44.74,78.29,26.94,-19.51,35.32,37.93,1.6528,HIGH,-,1.031,0.9938,0.8247,1,72.899,LEADER,24.033
182,,MYG.AX,Mayfield Group Holdings Limited,Producer manufacturing,Electrical products,small,1.95,90.0,-0.0831,-0.0776,-0.125,FLAT,33.8,105.72,256.82,-43.45,43.25,79.12,1.3219,MED,-,2.4024,2.7049,1.8995,1,57.7917,LEADER,23.9037
300,,SGI.AX,Stealth Group holdings Ltd.,Producer manufacturing,Miscellaneous manufacturing,small,1.0,72.5,-0.0398,-0.1111,-0.1301,STRONG_UP,26.75,49.12,299.73,-37.22,41.27,60.57,2.1758,HIGH,-,1.1155,1.2654,0.9537,1,33.4654,CONTENDER,19.4659
326,-36.0,CCE.AX,Carnegie Clean Energy Ltd,Producer manufacturing,Electrical products,small,0.065,82.5,0.0892,0.1926,0.0898,FLAT,-38.1,68.83,32.65,-71.58,34.52,115.59,0.3059,LOW,-,0.0587,0.0659,0.0688,0,20.5559,LAGGARD,18.6279
339,82.0,AL3.AX,AML3D Ltd,Producer manufacturing,Industrial machinery,small,0.17,67.5,0.1742,0.1895,0.1821,FLAT,-41.38,36.0,146.38,-58.46,36.9,86.64,6.8805,HIGH,-,0.151,0.1676,0.2075,0,15.3324,LAGGARD,18.2836
