rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
128,-23.0,APE.AX,Eagers Automotive Limited,Retail trade,Specialty stores,large,21.02,93.94,0.0243,-0.0219,0.0331,FLAT,-19.74,46.11,63.38,-38.84,53.57,36.49,0.6684,LOW,EARLY,22.5536,24.5405,24.4319,0,67.6997,LAGGARD,28.5074
154,-9.0,ASG.AX,Autosports Group Ltd,Retail trade,Specialty stores,mid,2.77,100.0,0.1524,-0.098,-0.1469,STRONG_UP,-21.1,54.73,24.5,-48.26,49.6,52.68,0.928,LOW,EARLY,2.9255,3.3946,3.2928,0,51.5307,LAGGARD,25.6492
285,,HVN.AX,Harvey Norman Holdings Ltd,Retail trade,Department stores,large,5.17,60.61,-0.0046,-0.065,-0.1248,STRONG_UP,-27.02,6.26,15.39,-32.72,51.59,28.65,1.5137,HIGH,EARLY,5.717,6.2324,6.4681,0,11.2726,LAGGARD,19.9052
299,-50.0,WOW.AX,Woolworths Group Ltd,Retail trade,Food retail,large,35.83,84.85,0.0312,0.2573,0.3966,STRONG_DOWN,31.14,30.95,18.11,-21.68,50.79,29.48,0.7444,LOW,-,34.6415,32.1013,29.676,1,53.3213,LEADER,19.4985
420,172.0,ATG.AX,Articore Group Limited,Retail trade,Internet retail,small,0.33,96.97,0.0309,0.039,0.3641,STRONG_DOWN,10.0,50.0,-39.73,-36.36,36.25,67.79,4.348,HIGH,-,0.3503,0.3277,0.2751,1,26.737,LEADER,16.6334
439,111.0,MTO.AX,Motorcycle Holdings Ltd.,Retail trade,Specialty stores,small,2.27,81.82,-0.0289,0.0028,-0.0835,FLAT,-32.58,27.32,68.4,-39.5,46.43,55.55,1.7495,HIGH,-,2.5394,2.6577,3.0235,0,22.837,LAGGARD,16.1451
457,82.0,TPW.AX,Temple & Webster Group Ltd,Retail trade,Specialty stores,mid,6.45,9.09,-0.1012,-0.0742,-0.3583,FLAT,-73.08,-61.45,-49.53,-77.25,51.59,86.46,1.215,MED,EARLY,7.5845,10.1534,18.521,0,-36.6646,WEAK,15.794
523,158.0,COL.AX,Coles Group Ltd.,Retail trade,Food retail,large,21.05,75.76,0.0653,0.0959,0.1593,STRONG_DOWN,-9.61,17.28,35.21,-14.23,52.38,22.37,1.1243,MED,SHIFT,20.9398,20.9347,21.3632,0,40.4729,LAGGARD,14.8947
583,-113.0,WES.AX,Wesfarmers Limited,Retail trade,Home improvement chains,large,75.44,69.7,0.026,-0.022,0.1038,FLAT,-17.36,10.74,19.49,-20.07,56.35,21.3,0.9106,LOW,EARLY,78.5175,81.2005,83.7586,0,28.4063,LAGGARD,14.1387
627,-241.0,BMH.AX,Baumart Holdings Ltd,Retail trade,Home improvement chains,small,0.006,0.0,0.0309,0.1223,0.0213,FLAT,-45.45,-85.0,-92.94,-85.0,1.59,28.57,0.0,LOW,-,0.006,0.0066,0.0088,0,-4.7305,WEAK,13.7068
637,-101.0,CCV.AX,Cash Converters International Limited,Retail trade,Specialty stores,small,0.32,90.91,0.0468,0.092,0.1964,STRONG_DOWN,-4.48,45.83,66.29,-16.67,34.92,33.82,0.8408,LOW,-,0.323,0.3258,0.3187,1,47.3203,LEADER,13.6339
642,-19.0,SUL.AX,Super Retail Group Limited,Retail trade,Specialty stores,mid,13.43,66.67,-0.0217,0.065,0.0389,FLAT,-19.07,9.03,0.76,-25.73,49.6,32.5,1.8915,HIGH,EARLY,14.3222,14.3603,15.1697,0,13.779,LAGGARD,13.5743
760,19.0,JBH.AX,JB Hi-Fi Limited,Retail trade,Electronics/Appliance stores,large,76.57,42.42,0.0037,0.0037,-0.0213,UP,-32.36,-6.72,36.26,-36.1,46.83,33.45,0.8681,LOW,EARLY,79.9003,82.1509,99.1061,0,-9.4074,WEAK,12.4635
818,-61.0,JYC.AX,Joyce Corporation Ltd,Retail trade,Specialty stores,small,5.64,87.88,-0.0037,0.2206,0.2419,STRONG_DOWN,15.09,33.71,82.46,-10.83,40.48,31.0,0.0,LOW,-,5.4887,5.3301,4.9482,1,44.0126,LEADER,11.9392
825,,NCK.AX,Nick Scali Limited,Retail trade,Specialty stores,mid,15.74,54.55,-0.0415,-0.0281,-0.1091,FLAT,-30.19,1.79,14.47,-37.5,51.19,57.58,0.7535,LOW,EARLY,17.3945,21.0831,21.1718,0,1.5901,LAGGARD,11.8603
855,-115.0,LOV.AX,Lovisa Holdings Ltd.,Retail trade,Specialty stores,mid,20.8,36.36,-0.0426,-0.168,-0.1445,FLAT,-46.27,-14.51,-31.33,-50.28,51.19,52.17,0.6251,LOW,EARLY,23.1803,27.1074,32.0467,0,-14.2374,WEAK,11.6258
866,-68.0,SSG.AX,Shaver Shop Group Limited,Retail trade,Specialty stores,small,1.38,78.79,-0.0078,0.0751,0.1533,STRONG_DOWN,-1.08,21.92,38.53,-12.56,50.0,32.2,1.5468,HIGH,-,1.443,1.4592,1.3874,0,34.0419,LAGGARD,11.5323
900,-137.0,HPC.AX,Hydration Pharmaceuticals Company Limited,Retail trade,Food retail,small,0.004,15.15,-0.1728,-0.0805,-0.0571,STRONG_DOWN,-60.0,-60.0,-75.0,-75.0,14.68,144.86,0.9674,LOW,-,0.005,0.005,0.0082,0,-6.0804,WEAK,11.2443
