rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
5,2.0,ELS.AX,Elsight Ltd.,Technology services,Packaged software,mid,5.7,100.0,0.0384,0.7234,1.2243,STRONG_DOWN,237.28,1528.57,1528.57,-45.2,54.76,75.87,1.4047,MED,-,4.873,4.3178,2.4449,1,1103.2631,LEADER,242.8745
16,2.0,4DX.AX,4DMedical Ltd.,Technology services,Information technology services,mid,3.79,98.65,-0.0987,0.1028,0.7272,STRONG_DOWN,101.6,924.32,433.8,-39.62,45.24,117.34,0.5979,LOW,-,4.0245,3.981,1.9857,1,356.3698,LEADER,80.3544
19,4.0,FTI.AX,Fortifai Limited,Technology services,Packaged software,small,0.355,99.32,-0.0765,0.1545,0.5939,STRONG_DOWN,97.22,1280.57,44.06,-42.11,37.3,132.16,0.6353,LOW,-,0.4377,0.3417,0.2088,1,361.4202,LEADER,79.369
49,,AYA.AX,Artrya Limited,Technology services,Packaged software,small,3.08,97.3,-0.084,0.0757,-0.0185,FLAT,33.91,310.67,1020.0,-40.43,45.63,77.15,0.2428,LOW,-,3.2115,3.6116,2.6207,1,183.7423,LEADER,44.5315
81,-29.0,HMD.AX,HeraMED Ltd,Technology services,Packaged software,small,0.042,96.62,0.0134,0.2299,0.4466,STRONG_DOWN,10.53,223.08,121.05,-63.16,33.33,65.04,0.9194,LOW,-,0.039,0.0407,0.031,1,114.3166,LEADER,34.788
98,,SHO.AX,SportsHero Limited,Technology services,Packaged software,small,0.12,97.97,-0.0409,0.4431,2.1739,STRONG_DOWN,172.73,361.54,1100.0,-36.67,36.11,108.65,0.1732,LOW,-,0.118,0.0874,0.0489,1,120.1579,LEADER,31.619
107,-5.0,SKK.AX,Stakk Ltd,Technology services,Packaged software,small,0.019,95.95,-0.0593,-0.081,-0.214,STRONG_UP,216.67,216.67,280.0,-71.21,25.4,72.21,0.7088,LOW,-,0.0207,0.0266,0.0247,0,76.2129,LAGGARD,30.1718
188,,SNS.AX,SenSen Networks Ltd.,Technology services,Information technology services,small,0.056,94.59,0.0933,0.3122,-0.1269,FLAT,-32.53,194.74,133.33,-68.8,30.56,123.79,0.0053,LOW,-,0.0537,0.0588,0.0629,0,48.0746,LAGGARD,23.7161
197,,DUG.AX,DUG Technology Ltd,Technology services,Packaged software,small,2.02,88.51,0.0125,0.2233,0.1451,FLAT,-20.16,84.47,-21.4,-43.11,41.27,51.15,0.7547,LOW,-,1.995,1.9775,1.9303,1,68.1579,LEADER,23.1969
210,-3.0,BB1.AX,Blinklab Limited,Technology services,Packaged software,small,0.81,91.89,0.0185,-0.0589,0.0789,FLAT,47.27,105.06,205.66,-28.11,43.25,58.1,0.6341,LOW,-,0.8621,0.9077,0.6842,1,78.2098,LEADER,22.4591
260,60.0,360.AX,"Life360, Inc. Shs Chess Depository Interests Repr 3 Sh",Technology services,Packaged software,mid,18.94,49.32,-0.0798,-0.0963,-0.2811,STRONG_UP,-61.79,-10.24,50.56,-65.84,50.79,91.35,1.0685,MED,EARLY,21.983,25.6204,37.3086,0,-5.6917,WEAK,20.567
281,24.0,WRK.AX,Wrkr Ltd,Technology services,Packaged software,small,0.12,92.57,0.0366,-0.05,0.1339,FLAT,-11.11,114.29,242.86,-30.3,32.94,59.8,0.2961,LOW,-,0.1293,0.1428,0.1178,1,62.9527,LEADER,20.0596
283,8.0,YOJ.AX,Yojee Ltd.,Technology services,Packaged software,small,0.27,87.16,0.046,-0.0071,-0.1434,STRONG_UP,-46.0,74.19,513.64,-50.93,43.25,74.96,0.0743,LOW,-,0.2986,0.3321,0.397,0,42.8078,LAGGARD,19.998
293,7.0,ICE.AX,iCetana Ltd.,Technology services,Packaged software,small,0.035,89.86,0.1657,-0.1117,-0.1906,STRONG_UP,-47.76,94.44,29.63,-68.13,25.0,99.7,0.0,LOW,-,0.0358,0.0431,0.0584,0,23.6822,LAGGARD,19.6087
301,-125.0,RNT.AX,Rent.com.au Ltd,Technology services,Internet software/Services,small,0.048,93.24,0.0162,0.1161,0.1151,FLAT,11.63,132.27,26.32,-24.24,33.33,67.58,0.2093,LOW,-,0.0499,0.0494,0.0416,1,65.2325,LEADER,19.4595
311,-31.0,ROC.AX,RocketBoots Ltd.,Technology services,Packaged software,small,0.26,93.92,-0.0517,-0.0817,0.4739,FLAT,160.0,185.71,165.31,-43.33,36.51,156.93,0.1054,LOW,-,0.2858,0.3447,0.1876,1,43.2067,LEADER,19.1643
315,-23.0,TNE.AX,Technology One Limited,Technology services,Packaged software,large,25.66,54.05,-0.0185,0.2762,0.1104,FLAT,-30.5,-6.8,55.15,-52.18,51.98,52.09,0.9949,LOW,SHIFT,25.357,25.2788,33.7665,0,-6.7895,LAGGARD,18.9789
319,8.0,ESK.AX,Etherstack Plc Shs Chess Depository Interests repr 1 sh,Technology services,Packaged software,small,0.5625,90.54,0.0235,0.0816,0.1874,STRONG_DOWN,48.03,97.37,125.0,-36.84,36.9,65.2,0.3718,LOW,-,0.5496,0.5602,0.522,1,55.1057,LEADER,18.8626
344,148.0,WHK.AX,WhiteHawk Ltd.,Technology services,Packaged software,small,0.007,47.3,0.2033,0.0948,-0.0491,STRONG_UP,-30.0,-12.5,-73.08,-76.92,20.24,103.23,11.0931,HIGH,-,0.0065,0.0072,0.0098,0,-2.4508,WEAK,18.1415
354,,HUB.AX,HUB24 Limited,Technology services,Packaged software,large,82.25,68.92,-0.018,0.1045,0.0169,FLAT,-18.44,18.64,106.38,-35.43,55.16,55.44,0.6401,LOW,EARLY,90.5361,91.9728,98.5627,0,18.5439,LAGGARD,17.8968
375,,CDE.AX,Codeifai Limited,Technology services,Packaged software,small,0.01,58.11,0.0366,0.2059,0.1739,FLAT,-23.08,0.0,-50.0,-90.0,27.64,158.63,0.0044,LOW,-,0.0108,0.0099,0.0154,0,0.0,LAGGARD,17.4947
386,-164.0,FDV.AX,Frontier Digital Ventures Ltd.,Technology services,Internet software/Services,small,0.325,83.11,0.085,0.4213,0.3143,FLAT,-16.67,51.16,-42.98,-56.48,40.87,74.12,0.711,LOW,-,0.2745,0.2769,0.3302,0,28.2113,LAGGARD,17.2924
390,-38.0,WTC.AX,Wisetech Global Ltd.,Technology services,Packaged software,large,45.23,19.59,-0.0436,0.0521,-0.1842,FLAT,-53.52,-46.48,-51.92,-64.59,48.41,65.12,0.7219,LOW,EARLY,47.3497,54.0017,82.864,0,-34.5556,WEAK,17.2034
392,-25.0,FMR.AX,FMR Resources Limited,Technology services,Packaged software,small,0.27,85.81,0.0185,0.3506,0.1382,FLAT,-30.77,68.75,1587.5,-58.16,38.49,104.01,0.0189,LOW,-,0.2763,0.265,0.3175,0,25.4417,LAGGARD,17.1868
417,-33.0,XPN.AX,XPON Technologies Group Ltd.,Technology services,Packaged software,small,0.016,91.22,-0.0228,-0.0182,0.6285,STRONG_DOWN,100.0,100.0,-20.0,-66.67,26.59,196.61,0.143,LOW,-,0.0177,0.017,0.0123,1,13.5242,LEADER,16.6762
424,249.0,FCT.AX,FirstWave Cloud Technology Ltd.,Technology services,Information technology services,small,0.003,1.35,-0.214,-0.3071,-0.4519,STRONG_UP,-83.33,-84.21,-88.89,-85.0,21.43,150.04,2.9173,HIGH,-,0.0043,0.0052,0.011,0,-12.0277,WEAK,16.4988
430,-134.0,OVT.AX,Ovanti Ltd,Technology services,Packaged software,small,0.001,3.38,0.0366,-0.2404,-0.5412,STRONG_UP,-87.5,-75.0,-97.56,-91.67,19.05,458.78,0.4405,LOW,-,0.0013,0.0018,0.005,0,-3.1142,WEAK,16.3523
436,-22.0,1TT.AX,Thrive Tribe Technologies Limited,Technology services,Packaged software,small,0.001,0.0,0.0366,0.0948,-0.3269,FLAT,-85.71,-97.5,-99.78,-97.5,13.04,351.49,0.1482,LOW,-,0.001,0.0011,,0,-3.6172,WEAK,16.2153
458,7.0,B4P.AX,Beforepay Group Limited,Technology services,Packaged software,small,1.64,81.08,0.0779,0.1134,-0.1838,FLAT,-21.53,49.09,154.26,-52.91,40.08,83.09,0.3233,LOW,-,1.54,1.8249,2.0386,0,23.6799,LAGGARD,15.7831
466,-100.0,AR9.AX,archTIS Ltd.,Technology services,Information technology services,small,0.066,52.7,-0.1069,-0.061,-0.338,FLAT,-52.86,-7.04,-32.65,-75.09,33.33,75.82,1.3165,MED,-,0.0784,0.0948,0.1319,0,-3.0957,LAGGARD,15.758
473,-31.0,XRO.AX,Xero Limited,Technology services,Packaged software,large,77.62,16.22,-0.0157,0.0836,-0.143,FLAT,-51.88,-50.77,-42.67,-63.01,44.84,57.37,0.6566,LOW,EARLY,80.085,88.9562,139.2773,0,-39.6819,WEAK,15.6036
476,199.0,IME.AX,ImExHS Ltd,Technology services,Packaged software,small,0.4,72.3,0.0366,-0.0182,0.386,FLAT,56.86,25.0,-23.08,-50.0,23.02,62.83,19.1867,HIGH,-,0.4103,0.4178,0.3155,1,9.1596,CONTENDER,15.5189
493,103.0,IFG.AX,Infocus Group Holdings Limited,Technology services,Packaged software,small,0.007,24.32,-0.089,-0.2707,0.0489,FLAT,-63.16,-36.36,-53.33,-81.08,26.11,172.86,1.2725,MED,-,0.0085,0.0126,0.0139,0,-5.4926,WEAK,15.2195
496,211.0,PHX.AX,PharmX Technologies Limited,Technology services,Information technology services,small,0.115,83.78,0.1319,-0.0857,0.0258,FLAT,-14.81,51.32,283.33,-38.24,36.11,69.88,1.2188,MED,-,0.1214,0.1337,0.1238,0,26.5171,LAGGARD,15.1934
510,35.0,DWG.AX,DataWorks Group Limited,Technology services,Packaged software,small,0.145,50.68,-0.0578,-0.1016,1.8591,FLAT,123.08,-9.38,-65.48,-76.32,19.84,153.19,0.0,LOW,-,0.1696,0.1594,0.0943,1,-1.2142,CONTENDER,15.0261
517,-20.0,CBL.AX,Control Bionics Ltd.,Technology services,Packaged software,small,0.058,77.7,0.0542,0.1493,0.0396,FLAT,56.76,31.82,23.4,-49.06,28.97,85.09,1.4147,MED,-,0.0581,0.0601,0.0483,1,10.8329,LEADER,14.9496
522,-31.0,KLV.AX,Klevo Rewards Limited,Technology services,Packaged software,small,0.027,95.27,0.0751,-0.0361,4.5739,FLAT,200.0,200.0,200.0,-55.56,9.92,242.67,0.5656,LOW,-,0.0269,0.0207,0.0117,1,8.1757,LEADER,14.8966
534,-46.0,BVS.AX,Bravura Solutions Limited,Technology services,Packaged software,mid,2.02,60.14,-0.0112,0.0948,0.0195,FLAT,-8.12,0.62,56.83,-48.72,47.62,78.43,0.4873,LOW,EARLY,2.0235,2.1026,2.2761,0,0.378,LAGGARD,14.7358
538,46.0,TRI.AX,TrivarX Limited,Technology services,Packaged software,small,0.021,81.76,-0.0095,-0.0671,0.2239,FLAT,110.0,50.0,-32.26,-53.33,28.81,113.27,0.2345,LOW,-,0.023,0.0219,0.0161,1,12.7174,LEADER,14.6995
540,-36.0,ATV.AX,Activeport Group Limited,Technology services,Packaged software,small,0.009,37.16,-0.064,-0.1571,-0.3769,STRONG_UP,-75.0,-25.0,-89.29,-79.55,27.78,137.44,0.5234,LOW,-,0.0113,0.0153,0.0197,0,-5.0531,WEAK,14.6883
552,-71.0,OLL.AX,OpenLearning Ltd.,Technology services,Internet software/Services,small,0.027,85.14,0.0009,-0.113,-0.1519,STRONG_UP,35.0,58.82,12.5,-47.06,20.63,66.45,0.2934,LOW,-,0.0293,0.0328,0.0275,0,18.2623,LAGGARD,14.588
567,-42.0,LU7.AX,Lithium Universe Limited,Technology services,Internet software/Services,small,0.01,80.41,0.0366,0.0948,0.083,FLAT,-13.04,42.86,-50.0,-50.0,26.59,100.28,1.1633,MED,-,0.0105,0.0115,0.0108,0,11.3639,LAGGARD,14.3183
571,-52.0,JCS.AX,JCurve Solutions Limited,Technology services,Information technology services,small,0.038,84.46,-0.014,-0.0023,0.1239,STRONG_DOWN,-13.64,58.33,31.03,-36.84,19.84,51.71,7.0912,HIGH,-,0.0396,0.0425,0.0437,0,22.3812,LAGGARD,14.2617
584,-194.0,FCL.AX,FINEOS Corporation Holdings Plc Shs Chess Depositary Interests Repr 1 Sh,Technology services,Packaged software,mid,2.39,73.65,0.0082,0.1861,0.0758,FLAT,-15.55,26.46,43.11,-34.06,44.84,68.6,0.3129,LOW,EARLY,2.4335,2.5148,2.7218,0,17.2922,LAGGARD,14.1333
588,14.0,SDR.AX,SiteMinder Limited,Technology services,Internet software/Services,mid,3.11,29.05,-0.0599,-0.08,-0.3188,STRONG_UP,-55.57,-32.54,-44.27,-61.92,50.0,74.94,0.6382,LOW,EARLY,3.355,4.3958,5.6206,0,-21.7093,WEAK,14.1165
595,-43.0,ENL.AX,Enlitic Inc Chess Depository intrests Repr 1 Shs,Technology services,Packaged software,small,0.007,0.68,0.2033,-0.0836,-0.5353,STRONG_UP,-80.0,-91.25,,-92.68,28.17,153.72,0.0,LOW,-,0.0077,0.0116,0.0255,0,-16.722,WEAK,14.0597
