rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
139,-9.0,QUB.AX,Qube Holdings Ltd.,Transportation,Other transportation,large,4.95,88.24,0.0193,0.1007,0.1044,STRONG_DOWN,21.44,34.23,61.32,-9.78,46.43,13.41,0.7153,LOW,-,4.9668,4.8472,4.4198,1,118.507,LEADER,26.9815
246,161.0,TCL.AX,Transurban Group Ltd.,Transportation,Other transportation,large,14.38,76.47,0.0241,0.1257,0.0589,FLAT,1.78,17.45,21.56,-7.97,53.97,14.82,1.5027,HIGH,-,14.258,14.0248,13.9733,1,63.5655,LEADER,20.944
335,-4.0,AZJ.AX,Aurizon Holdings Ltd.,Transportation,Railroads,large,3.99,94.12,0.0213,0.1441,0.2163,STRONG_DOWN,27.76,36.75,13.82,-7.96,46.43,23.19,0.8033,LOW,-,3.988,3.707,3.3084,1,73.5734,LEADER,18.3531
729,-102.0,QAN.AX,Qantas Airways Limited,Transportation,Airlines,large,8.6,47.06,-0.0117,-0.0785,-0.0731,FLAT,-20.54,-1.69,77.52,-28.02,51.59,31.84,1.7902,HIGH,EARLY,9.2999,9.7776,10.1531,0,-2.7346,WEAK,12.7726
785,-131.0,BXB.AX,Brambles Limited,Transportation,Air freight/Couriers,large,22.31,64.71,0.008,0.0576,0.0376,FLAT,-9.12,12.65,56.59,-14.95,49.6,21.7,0.6385,LOW,EARLY,23.7032,23.0487,23.4044,0,28.907,LAGGARD,12.242
787,-73.0,AVD.AX,Avada Group Limited,Transportation,Other transportation,small,0.095,5.88,-0.0367,-0.0862,-0.292,STRONG_UP,-50.0,-75.95,-81.0,-75.95,14.29,105.34,0.0,LOW,-,0.11,0.1235,0.1547,0,-10.303,WEAK,12.2275
798,-207.0,WWG.AX,Wiseway Group Ltd.,Transportation,Airlines,small,0.29,100.0,-0.0805,-0.0593,0.1748,STRONG_DOWN,38.58,79.9,211.5,-30.77,24.6,82.61,0.4435,LOW,-,0.328,0.3122,0.2287,1,23.7944,LEADER,12.1306
898,,CLX.AX,CTI Logistics Limited,Transportation,Air freight/Couriers,small,2.02,82.35,-0.054,0.0123,0.1323,STRONG_DOWN,10.05,30.65,48.55,-13.33,42.86,41.08,1.2571,MED,-,2.1608,2.2192,1.9138,1,31.9796,LEADER,11.2601
1114,-98.0,BCK.AX,Brockman Mining Ltd.,Transportation,Other transportation,small,0.014,58.82,0.0213,-0.0888,-0.1928,STRONG_UP,-36.36,7.69,-41.67,-40.91,17.06,111.7,0.0,LOW,-,0.0157,0.0165,0.0176,0,1.1749,LAGGARD,9.7153
1440,-127.0,ALX.AX,Atlas Arteria,Transportation,Other transportation,large,4.61,52.94,0.03,0.1,-0.0082,FLAT,-9.42,-1.2,3.57,-14.77,43.25,19.24,1.0289,MED,EARLY,4.699,4.7576,4.9173,0,-2.6934,LAGGARD,6.8558
1552,,FRW.AX,Freightways Group Limited,Transportation,Air freight/Couriers,mid,11.01,70.59,-0.0967,-0.0123,-0.0551,FLAT,4.39,15.54,52.59,-11.22,9.92,22.98,0.2874,LOW,EARLY,12.0779,12.127,11.2325,0,6.7065,LAGGARD,5.6524
1558,-219.0,AQZ.AX,Alliance Aviation Services Limited,Transportation,Airlines,small,0.595,0.0,-0.0713,-0.2323,-0.4809,STRONG_UP,-73.56,-76.83,-79.22,-78.66,38.89,53.13,1.5171,HIGH,-,0.6845,0.944,1.8334,0,-56.2347,WEAK,5.5733
1585,-208.0,VGN.AX,Virgin Australia Holdings Limited,Transportation,Airlines,mid,2.63,23.53,-0.0508,-0.1129,-0.1487,STRONG_UP,-21.02,-18.58,-18.58,-29.3,41.4,34.84,0.5868,LOW,-,3.0055,3.1484,,0,-22.0735,WEAK,5.117
1602,-194.0,AIZ.AX,Air New Zealand Limited,Transportation,Airlines,mid,0.36,11.76,-0.0394,-0.1994,-0.2577,STRONG_UP,-32.71,-34.56,-31.83,-36.82,26.59,25.47,1.4281,MED,EARLY,0.439,0.4747,0.5114,0,-36.0785,WEAK,4.6932
1624,-217.0,LAU.AX,Lindsay Australia Limited,Transportation,Trucking,small,0.625,29.41,0.0293,-0.032,-0.0378,STRONG_UP,-2.38,-5.76,-41.46,-23.59,39.29,32.24,0.5529,LOW,-,0.6597,0.6735,0.6718,0,-7.0244,WEAK,4.294
1661,-183.0,KSC.AX,K & S Corporation Limited,Transportation,Trucking,mid,3.3,35.29,0.0213,0.0483,0.0082,FLAT,-0.47,-3.87,1.71,-13.13,29.37,20.27,1.5336,HIGH,EARLY,3.3482,3.3841,3.3396,0,-5.6125,WEAK,3.6306
1674,-201.0,SST.AX,Steamships Trading Co. Ltd.,Transportation,Marine shipping,small,10.1,17.65,0.0213,0.0439,0.0229,FLAT,-26.56,-25.99,-17.56,-32.67,7.54,14.5,0.0,LOW,-,10.2195,10.328,12.1638,0,-13.5131,WEAK,3.2902
1691,-214.0,AIA.AX,Auckland International Airport Limited,Transportation,Other transportation,large,6.8448,41.18,-0.008,0.0623,0.0163,FLAT,-1.15,-3.23,-6.48,-10.68,50.4,15.64,0.6472,LOW,EARLY,7.2526,7.1849,6.9913,0,-10.4044,WEAK,2.7052
