rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
2,1.0,JNS.AX,Janus Electric Holdings Limited,Utilities,Alternative power generation,small,0.125,100.0,0.1364,-0.0359,1.006,FLAT,-3.85,12400.0,1288.89,-81.69,22.22,130.67,0.236,LOW,-,0.12,0.111,0.1318,0,2108.5788,LAGGARD,440.8884
259,-8.0,APA.AX,APA Group,Utilities,Gas distributors,large,9.33,77.78,0.023,0.0751,0.1127,STRONG_DOWN,8.12,25.98,29.94,-6.66,51.59,14.87,0.996,LOW,-,9.181,8.9876,8.6617,1,90.118,LEADER,20.5767
296,-48.0,EWC.AX,Energy World Corporation Ltd,Utilities,Electric utilities,small,0.041,88.89,0.1389,0.1613,-0.2365,FLAT,-32.79,95.24,156.25,-67.05,37.7,124.25,,LOW,-,0.0346,0.037,0.049,0,28.8972,LAGGARD,19.5527
480,-68.0,KPO.AX,Kalina Power Limited,Utilities,Alternative power generation,small,0.013,94.44,-0.0769,0.0532,-0.0401,FLAT,18.18,116.67,160.0,-47.83,26.19,121.58,0.9935,LOW,-,0.0133,0.0139,0.0132,0,25.1316,LAGGARD,15.4887
714,-149.0,LGI.AX,LGI LTD,Utilities,Alternative power generation,small,3.7275,83.33,0.0625,0.1532,-0.0406,FLAT,-2.35,28.19,48.6,-26.39,36.11,34.61,0.3079,LOW,-,3.6253,3.7462,3.7214,1,29.4145,LEADER,12.8712
871,,IPG.AX,IPD Group Ltd,Utilities,Electric utilities,small,4.45,72.22,-0.036,0.0269,0.12,STRONG_DOWN,9.42,21.07,6.92,-30.0,46.83,37.48,0.178,LOW,-,4.7985,4.6028,3.8846,1,26.3291,CONTENDER,11.4865
1015,-111.0,TPC.AX,TPC Consolidated Limited,Utilities,Electric utilities,small,3.92,5.56,-0.0055,-0.1447,-0.2906,STRONG_UP,-39.31,-52.85,-39.72,-65.85,17.06,82.52,0.0,LOW,-,4.298,5.1128,6.6294,0,-10.9254,WEAK,10.3998
1166,-135.0,TML.AX,Timah Resources Ltd,Utilities,Electric utilities,small,0.047,66.67,0.0217,0.0749,0.1992,STRONG_DOWN,42.42,14.63,14.63,-42.86,5.95,19.98,0.0,LOW,-,0.0462,0.0438,0.0362,1,4.358,CONTENDER,9.3555
1167,-522.0,MCY.AX,Mercury NZ Ltd.,Utilities,Electric utilities,large,5.29,61.11,0.0134,0.0654,0.0502,FLAT,-11.3,5.88,-12.82,-17.68,44.44,32.02,0.5006,LOW,PROGRESS,5.2831,5.3607,5.5019,0,8.1623,LAGGARD,9.3551
1168,-341.0,VPR.AX,Volt Group Ltd.,Utilities,Electric utilities,small,0.145,44.44,-0.0055,-0.0264,0.127,FLAT,0.0,-3.33,-3.33,-50.0,24.21,71.95,0.2082,LOW,-,0.1528,0.1577,0.145,0,-1.1216,WEAK,9.3539
1228,-158.0,GHY.AX,Gold Hydrogen Ltd.,Utilities,Electric utilities,small,0.335,22.22,0.0152,-0.0182,-0.2073,STRONG_UP,-22.99,-22.09,-71.73,-56.46,39.29,63.68,0.1048,LOW,-,0.3435,0.3738,0.4944,0,-13.6312,WEAK,8.8332
1360,-40.0,GNE.AX,Genesis Energy Limited,Utilities,Electric utilities,mid,1.845,55.56,0.011,-0.0379,-0.0579,STRONG_UP,-8.39,2.0,-7.81,-17.56,46.83,25.8,0.9764,LOW,EARLY,1.8813,1.9701,2.0214,0,3.6353,LAGGARD,7.7243
1404,-257.0,AGL.AX,AGL Energy Limited,Utilities,Electric utilities,large,9.18,27.78,0.0177,-0.0616,0.0412,FLAT,8.78,-10.32,16.28,-25.12,46.43,32.12,0.7302,LOW,-,9.6906,9.2435,9.0209,1,-14.9238,LAGGARD,7.2377
1411,-240.0,TEE.AX,Top End Energy Limited,Utilities,Electric utilities,small,0.039,0.0,-0.0305,0.1072,0.2717,STRONG_DOWN,-2.5,-54.65,-70.0,-66.28,30.56,76.53,0.9222,LOW,-,0.0383,0.0364,0.0387,1,-21.8233,LAGGARD,7.1805
1493,-237.0,CEN.AX,Contact Energy Limited,Utilities,Electric utilities,large,7.61,50.0,-0.0133,0.0294,-0.0235,FLAT,-5.54,0.14,8.83,-13.84,45.63,39.96,0.3784,LOW,EARLY,7.7497,7.8771,8.0013,0,0.1605,LAGGARD,6.3225
1512,-222.0,LPE.AX,Locality Planning Energy Holdings Limited,Utilities,Electric utilities,small,0.091,16.67,-0.0163,-0.0519,-0.102,STRONG_UP,-28.63,-24.17,139.47,-35.0,20.24,83.65,0.0151,LOW,-,0.0972,0.1034,0.1118,0,-5.8474,WEAK,6.0927
1517,-210.0,DEL.AX,Delorean Corporation Ltd,Utilities,Electric utilities,small,0.095,11.11,-0.1007,-0.0087,-0.2901,FLAT,-40.62,-42.42,53.23,-49.44,31.35,86.27,0.3995,LOW,-,0.1011,0.101,0.1407,0,-15.4167,WEAK,6.0036
