rank,delta_rank,ticker,name,commodity,type,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
3,-1,2308.TW,Delta Electronics Inc,lithium,producer,large,1550.0,97.5,0.0091,0.1742,0.6226,STRONG_DOWN,86.52,295.38,367.81,-29.7,53.53,58.39,1.3009,MED,-,1388.75,1251.1,869.9416,1,270.7961,LEADER,69.706
4,10,GEV,GE Vernova Inc,lithium,producer,large,923.69,87.5,-0.0072,0.1101,0.3398,STRONG_DOWN,47.12,191.6,606.38,-17.93,55.6,41.02,1.0261,MED,-,852.0166,791.1022,645.9048,1,259.7059,LEADER,62.1856
6,1,5802.T,Sumitomo Electric Industries,lithium,producer,large,10210.0,95.0,-0.0395,0.0377,0.6208,STRONG_DOWN,141.9,282.29,358.1,-35.25,57.2,68.09,0.7199,LOW,-,10070.85,8575.98,5537.3745,1,237.1436,LEADER,58.6169
18,7,PLS.AX,PLS GROUP LTD,lithium,producer,large,4.92,80.0,0.1351,0.0695,0.1357,FLAT,105.0,167.39,31.55,-38.65,51.98,61.6,1.895,HIGH,-,4.724,4.6056,3.1843,1,141.25,LEADER,52.2493
20,3,MIN.AX,MINERAL RESOURCES LTD,lithium,producer,large,56.85,67.5,0.0494,0.033,-0.0621,STRONG_UP,36.59,131.85,-16.06,-43.04,55.16,46.9,1.0536,MED,-,55.9845,56.4428,44.0149,1,155.0732,CONTENDER,52.1596
27,7,ENR.DE,Siemens Energy AG,lithium,producer,large,158.4,75.0,0.031,-0.024,0.2755,FLAT,61.24,162.15,871.75,-19.97,51.98,48.46,1.008,MED,-,153.2175,151.3589,114.2726,1,173.9332,LEADER,46.4431
31,11,EUR.AX,EUROPEAN LITHIUM LTD,lithium,producer,small,0.24,100.0,-0.0387,0.0347,0.3533,STRONG_DOWN,172.73,515.38,252.94,-67.74,40.08,130.5,0.4539,LOW,-,0.243,0.2474,0.169,1,158.2882,LEADER,44.7012
49,45,SEDG,Solar Edge Technologies inc.,lithium,producer,mid,51.28,92.5,0.0669,0.2631,0.6239,STRONG_DOWN,36.86,218.51,-19.15,-37.26,53.2,91.22,1.0524,MED,-,40.688,37.4256,32.6448,1,127.4358,LEADER,39.9212
55,-8,LTR.AX,LIONTOWN LTD,lithium,producer,large,1.73,77.5,0.141,-0.0916,0.0261,FLAT,91.16,166.15,51.75,-34.62,49.21,75.63,1.1688,MED,-,1.5898,1.771,1.2586,1,108.111,LEADER,39.1769
56,-23,LAR.TO,LITHIUM ARGENTINA AG,lithium,producer,mid,10.0,90.0,0.1589,-0.0905,0.2504,FLAT,110.08,208.64,51.06,-32.65,50.4,83.56,1.0679,MED,-,9.4155,9.9186,6.4837,1,125.8444,LEADER,39.1024
