rank,delta_rank,ticker,name,commodity,type,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
10,2,AUGO,"ticker
AUGO    Aura Minerals
AUGO    Aura Minerals
Name: name, dtype: object",copper,producer,large,87.69,95.83,0.1847,0.1898,0.7974,STRONG_DOWN,140.48,268.73,268.73,-31.42,60.56,84.8,1.1974,MED,-,75.2671,73.9113,,0,191.916,LAGGARD,53.5483
12,7,SAG.V,Sterling Metals,copper,producer,small,1.32,97.22,-0.1593,-0.2002,-0.3015,STRONG_UP,-23.26,300.0,120.0,-53.52,35.6,69.72,1.718,HIGH,-,1.5785,1.6806,1.3182,1,153.1842,LEADER,51.5254
21,1,LUN.TO,Lundin Mining,copper,producer,large,35.04,91.67,0.0269,0.0643,0.1397,STRONG_DOWN,70.43,231.83,150.66,-33.67,56.8,70.77,0.5157,LOW,-,33.5408,35.5352,24.5282,1,186.0697,LEADER,48.6096
22,2,1208.HK,MMG Ltd.,copper,producer,large,7.57,80.56,-0.0549,-0.0538,-0.1191,FLAT,20.93,199.21,109.7,-37.38,57.96,67.49,0.3981,LOW,-,8.051,9.3286,6.8864,1,171.0799,LEADER,47.8401
25,6,0358.HK,Jiangxi Copper H,copper,producer,large,34.8,77.78,-0.0992,-0.0652,-0.1611,FLAT,30.99,179.93,,-35.42,54.29,57.06,0.408,LOW,-,37.496,42.0524,30.6414,1,171.1984,LEADER,47.0033
28,-14,2099.HK,China Gold International Resources,copper,producer,large,157.2,81.94,-0.0409,-0.034,0.0318,STRONG_DOWN,18.2,201.01,205.09,-40.87,55.51,68.1,0.7279,LOW,-,160.085,185.392,135.4747,1,163.8462,LEADER,46.9037
36,23,ARG.TO,Amerigo Resources,copper,producer,mid,5.26,84.72,0.0336,0.0756,0.1361,STRONG_DOWN,99.34,210.25,284.88,-28.72,57.2,63.18,0.9925,LOW,-,5.095,5.5418,3.5889,1,190.3509,LEADER,44.8142
39,8,KCP.V,King Copper Discovery,copper,producer,small,0.88,100.0,0.0196,-0.0405,-0.0422,STRONG_UP,66.04,340.0,576.92,-47.77,42.8,90.81,0.1784,LOW,-,0.882,1.0467,0.678,1,160.2467,LEADER,42.6522
49,7,5713.T,Sumitomo Metal Mining Co Ltd,copper,producer,large,9214.0,86.11,-0.0853,-0.0258,0.4829,STRONG_DOWN,96.38,214.34,101.33,-35.85,55.56,82.73,0.8299,LOW,-,9472.4004,9590.7185,5811.4449,1,143.95,LEADER,41.6387
60,-22,GGP.L,"ticker
GGP.L    Greatland Resources
GGP.L    Greatland Resources
Name: name, dtype: object",copper,producer,mid,662.2,75.0,0.2291,0.0971,0.2603,FLAT,77.06,167.02,470.86,-35.27,53.57,68.62,1.0165,MED,-,588.21,640.386,441.9828,1,130.3855,LEADER,40.3619
