rank,delta_rank,ticker,name,commodity,type,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
12,0,SCZ.V,Santacruz Silver Mining,silver,producer,mid,11.09,96.67,-0.0526,-0.0397,-0.1894,FLAT,13.16,443.63,890.18,-57.28,49.8,106.94,0.3785,LOW,-,11.033,13.51,10.3001,1,206.5892,LEADER,57.337
24,-8,DSV.TO,Discovery Silver Corp,silver,producer,large,9.78,93.33,-0.0135,0.1762,0.2182,STRONG_DOWN,86.29,321.55,998.88,-36.96,55.02,86.42,0.3989,LOW,-,8.7485,9.5576,6.7101,1,204.7185,LEADER,53.4876
38,-2,HL,Hecla Mining Co,silver,producer,large,19.46,70.0,-0.0145,0.0968,-0.0155,FLAT,52.23,237.29,254.2,-45.95,54.62,82.59,0.299,LOW,-,18.633,21.0435,15.1123,1,156.9285,CONTENDER,47.845
49,-23,KCN.AX,"ticker
KCN.AX    Kingsgate Consolidated Ord Shs
KCN.AX    Kingsgate Consolidated Ord Shs
Name: name, dtype: object",silver,producer,mid,5.22,83.33,0.1693,-0.0748,0.0186,FLAT,32.01,242.37,268.52,-43.14,56.4,85.35,0.4064,LOW,-,5.0572,5.6565,4.2902,1,160.1591,LEADER,44.2565
52,7,CDE,Coeur Mining Inc,silver,producer,large,20.24,80.0,0.0635,0.0821,0.1188,STRONG_DOWN,0.95,241.89,322.55,-40.44,53.41,86.93,0.5192,LOW,-,18.773,21.3292,16.9742,1,148.619,LEADER,44.1013
68,5,AG,First Majestic Silver,silver,producer,large,20.58,66.67,-0.0706,-0.0336,0.2153,STRONG_DOWN,49.82,227.56,159.7,-42.92,52.61,90.73,,LOW,-,20.702,23.4793,15.3442,1,131.9509,CONTENDER,41.2451
83,-11,ASM,"ticker
ASM    Avino Silver & Gold Mines
ASM    Avino Silver & Gold Mines
Name: name, dtype: object",silver,producer,mid,7.04,86.67,0.0146,0.0901,0.2531,STRONG_DOWN,37.5,253.77,791.14,-52.4,51.41,107.36,0.5257,LOW,-,6.367,8.0546,5.7597,1,121.5188,LEADER,38.9577
84,-15,SKE,"ticker
SKE    Skeena Resources Ltd
SKE    Skeena Resources Ltd
Name: name, dtype: object",silver,producer,mid,33.43,53.33,0.0538,0.1687,0.43,STRONG_DOWN,86.03,194.02,605.27,-31.09,56.63,69.57,0.7488,LOW,-,29.347,31.8318,22.3289,1,157.9318,CONTENDER,38.5401
99,16,MUX,"ticker
MUX    McEwen Mining Inc
MUX    McEwen Mining Inc
Name: name, dtype: object",silver,producer,mid,23.04,50.0,0.0316,0.092,0.2339,STRONG_DOWN,20.88,189.45,94.76,-36.28,57.03,76.47,0.8977,LOW,-,20.7435,23.7116,17.9845,1,141.2865,CONTENDER,36.8725
109,15,SVM,Silvercorp Metals,silver,producer,mid,11.5,56.67,0.0108,0.1454,0.3767,STRONG_DOWN,67.64,206.77,205.8,-34.46,57.03,85.05,0.5645,LOW,-,10.4955,11.153,7.7229,1,138.6503,CONTENDER,36.089
127,-46,SSRM,"ticker
SSRM    SSR Mining Inc
SSRM    SSR Mining Inc
Name: name, dtype: object",silver,producer,mid,33.13,60.0,0.0143,0.2731,0.6319,STRONG_DOWN,44.99,211.08,520.41,-30.88,56.22,90.62,0.9783,LOW,-,28.419,28.293,22.0208,1,130.9524,CONTENDER,33.8049
145,18,PAAS,Pan American Silver,silver,producer,large,57.64,36.67,0.0026,0.1085,0.1916,STRONG_DOWN,49.91,124.27,201.71,-31.9,56.63,68.13,0.3312,LOW,-,53.4055,57.456,43.7218,1,103.2962,LAGGARD,30.7944
165,-5,GSVR.V,Guanajuato Silver Co Ltd,silver,producer,small,0.62,63.33,0.0256,0.1028,-0.0447,FLAT,47.62,226.32,121.43,-53.85,43.37,111.13,0.3658,LOW,-,0.5765,0.6594,0.5076,1,88.3228,CONTENDER,28.3861
168,2,EXK,Endeavour Silver Corp,silver,producer,mid,9.42,40.0,-0.0469,0.0227,0.0137,FLAT,24.11,139.09,230.53,-41.64,53.41,87.58,0.5335,LOW,-,9.3085,10.919,8.4823,1,84.8207,LAGGARD,28.2119
171,-33,MKR.AX,"ticker
MKR.AX    Manuka Resources Ord Shs
MKR.AX    Manuka Resources Ord Shs
Name: name, dtype: object",silver,producer,small,0.099,76.67,0.0871,-0.1359,-0.121,FLAT,70.69,241.38,13.79,-60.0,44.0,140.17,0.4629,LOW,-,0.1019,0.127,0.0826,1,75.7701,LEADER,27.9836
181,-24,ITRG,"ticker
ITRG    Integra Resources
ITRG    Integra Resources
Name: name, dtype: object",silver,producer,mid,3.0,26.67,0.0092,0.0088,-0.1172,STRONG_UP,-2.6,93.55,222.93,-45.67,50.2,72.79,0.5968,LOW,-,2.849,3.4056,2.9817,1,64.5161,LAGGARD,26.1124
184,-5,SLVR.V,Silver Tiger Metals,silver,producer,small,0.85,43.33,0.0114,0.104,0.0121,FLAT,9.68,157.58,304.76,-50.38,48.19,90.23,0.2732,LOW,-,0.79,0.8896,0.7777,1,84.158,LAGGARD,25.9978
192,-89,USL.AX,Unico Silver,silver,producer,small,0.63,46.67,0.0336,-0.1844,-0.2159,STRONG_UP,3.28,173.91,270.59,-50.88,45.6,101.73,0.4894,LOW,-,0.662,0.7836,0.6377,0,77.9557,WEAK,25.517
201,-19,SVRS.V,Silver Storm Mining,silver,producer,small,0.475,73.33,-0.0629,-0.0502,0.0034,STRONG_DOWN,106.52,239.29,216.67,-50.0,36.55,117.33,0.4872,LOW,-,0.4572,0.5659,0.362,1,74.541,CONTENDER,24.4777
215,0,VZLA,Vizsla Silver Corp,silver,producer,mid,3.25,16.67,-0.0474,-0.0316,-0.3073,FLAT,-27.78,53.3,119.59,-56.27,54.22,79.77,0.433,LOW,EARLY,3.2715,3.8452,4.1798,0,36.2295,WEAK,22.2441
