rank,delta_rank,ticker,name,commodity,type,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
20,0,PAF.L,Pan African Resources,gold,producer,mid,168.04,83.81,0.0469,-0.0067,0.3172,FLAT,87.58,251.99,604.9,-31.51,59.2,63.51,1.1337,MED,-,144.915,152.2592,105.0549,1,234.8849,LEADER,60.7061
24,0,HBM,"ticker
HBM    Hudbay Minerals Inc
HBM    Hudbay Minerals Inc
Name: name, dtype: object",gold,producer,large,25.88,87.62,0.033,0.1965,0.1277,FLAT,50.08,273.57,229.14,-36.16,57.43,70.82,0.8339,LOW,-,21.913,23.3323,17.5685,1,221.8418,LEADER,56.928
27,0,FRES.L,"ticker
FRES.L    Fresnillo Ord Shs
FRES.L    Fresnillo Ord Shs
Name: name, dtype: object",gold,producer,large,3782.0,85.71,0.046,-0.0549,-0.0841,STRONG_UP,60.8,264.04,520.41,-31.03,54.0,63.86,0.6238,LOW,-,3387.8,3624.8,2733.2702,1,223.2694,LEADER,56.1386
32,0,ARIS,Aris Mining Corp,gold,producer,mid,20.96,89.52,-0.019,0.0609,0.1351,STRONG_DOWN,91.24,280.4,448.69,-28.97,62.25,72.97,0.5937,LOW,-,19.0335,19.452,13.4389,1,239.2059,LEADER,54.06
42,0,APM.TO,Andean Precious Metals,gold,producer,mid,7.34,90.48,-0.0341,-0.019,-0.3602,FLAT,-1.87,290.43,672.63,-51.34,55.82,90.3,0.2273,LOW,PROGRESS,6.8495,8.0932,7.4035,0,179.5299,LAGGARD,49.3537
52,1,USAS,Americas Gold & Silver,gold,producer,mid,6.55,95.24,0.1219,-0.0832,-0.0198,FLAT,33.4,329.51,907.69,-53.44,51.81,110.11,0.8892,LOW,-,5.668,7.0922,4.8416,1,155.0433,LEADER,46.6034
55,1,LGD.TO,Liberty Gold Corp,gold,producer,mid,1.55,99.05,-0.0156,0.3589,0.6619,STRONG_DOWN,115.28,384.37,355.88,-41.21,38.96,87.93,0.6693,LOW,-,1.247,1.311,0.8295,1,170.3088,LEADER,45.2996
61,1,PZG,Paramount Gold Nevada Ord Shs,gold,producer,small,1.79,98.1,0.0511,-0.1216,0.3331,FLAT,52.99,356.63,305.9,-43.07,49.8,99.07,0.2176,LOW,-,1.663,2.0208,1.3182,1,179.2703,LEADER,44.4191
65,2,TAU.V,Thesis Gold Inc A,gold,producer,mid,3.48,84.76,-0.0111,0.013,0.2853,STRONG_DOWN,86.1,262.5,397.14,-25.14,50.6,80.28,1.1855,MED,-,3.11,3.1086,2.0897,1,165.4522,LEADER,43.8836
82,-1,NG,Novagold Resources,gold,producer,mid,10.94,82.86,0.0914,0.1937,0.0711,FLAT,5.19,251.77,256.35,-45.56,54.22,101.08,0.6504,LOW,-,9.026,10.2458,8.6184,1,135.0503,LEADER,40.3961
83,1,MKO.V,Mako Mining Corp,gold,producer,mid,11.2,66.67,0.1168,0.1648,0.216,STRONG_DOWN,40.35,147.79,243.56,-31.85,52.21,54.01,1.2054,MED,-,9.1815,9.7356,7.8912,1,142.8623,CONTENDER,40.0741
87,0,CGAU,Centerra Gold Inc,gold,producer,mid,20.03,77.14,-0.0046,0.0213,0.2223,STRONG_DOWN,58.4,187.84,243.96,-24.61,58.63,66.05,0.5794,LOW,-,18.111,18.4611,13.0614,1,166.7403,LEADER,39.2504
90,0,IE,"ticker
IE         Ivanhoe Electric
IE    Ivanhoe Electric Inc.
Name: name, dtype: object",gold,producer,mid,15.4,70.48,0.1135,0.1633,-0.1506,FLAT,-4.35,154.13,46.39,-45.93,55.82,78.85,1.2332,MED,-,12.5015,14.0376,13.2825,1,109.1095,CONTENDER,38.6852
92,0,EDV.L,Endeavour Mining,gold,producer,large,4987.0,60.95,0.0096,-0.0616,0.1948,FLAT,48.63,130.97,188.88,-24.49,59.2,51.71,0.7796,LOW,-,4517.15,4609.3767,3515.5728,1,149.9377,CONTENDER,38.3566
100,0,AU,Anglo Gold Ashanti,gold,producer,large,109.15,72.38,-0.0284,0.0826,0.0978,STRONG_DOWN,42.75,158.36,395.32,-36.59,55.82,71.35,0.5692,LOW,-,98.6535,103.9444,78.6648,1,123.8879,CONTENDER,37.3975
104,0,BVN,Buenaventura Mining,gold,producer,large,35.74,63.81,-0.0844,-0.0727,0.0076,STRONG_DOWN,33.56,141.98,127.69,-30.64,59.04,62.57,0.8829,LOW,-,35.306,36.9334,27.1332,1,133.9671,CONTENDER,36.8855
106,0,KGC,Kinross Gold Corp,gold,producer,large,34.94,61.9,0.0133,0.0831,0.0164,FLAT,26.84,135.16,446.21,-30.2,59.04,62.36,0.6261,LOW,-,31.152,32.4175,26.3313,1,127.9616,CONTENDER,36.4872
112,2,IAUX,I-80 Gold Corp,gold,producer,mid,1.66,75.24,-0.0346,0.0664,0.0146,FLAT,50.91,170.36,38.33,-38.94,52.61,74.38,0.7377,LOW,-,1.5425,1.719,1.2142,1,120.4968,LEADER,35.5443
116,1,IAG,Iamgold Corp,gold,producer,large,19.25,65.71,-0.0757,-0.0537,0.0982,STRONG_DOWN,31.49,147.43,428.85,-34.6,60.24,78.69,0.5975,LOW,-,18.6815,20.3078,14.4954,1,112.8624,CONTENDER,34.5769
118,0,WGX.TO,Westgold Resources,gold,producer,mid,6.29,53.33,-0.0443,0.0821,-0.0658,FLAT,26.81,119.16,162.08,-37.45,56.22,64.9,1.3435,MED,-,5.8205,6.332,4.9224,1,103.2263,CONTENDER,34.4857
130,0,NEM,Newmont Corp,gold,producer,large,116.5,50.48,-0.0286,-0.019,-0.0076,STRONG_DOWN,19.14,113.76,213.16,-27.25,60.24,55.07,0.6412,LOW,-,109.972,115.1428,92.7435,1,124.4348,CONTENDER,33.6186
133,0,GFI,Gold Fields Ltd,gold,producer,large,49.96,48.57,-0.0082,0.0349,0.0177,FLAT,10.29,113.34,198.26,-34.63,56.22,73.21,1.1745,MED,-,45.6175,48.8625,40.4002,1,87.0377,LAGGARD,33.2465
150,-2,NGD,New Gold Inc,gold,producer,large,9.08,64.76,-0.1488,-0.4504,0.0645,FLAT,36.54,146.74,418.86,-32.34,53.48,81.17,0.0,LOW,-,11.2625,11.1432,7.5461,1,96.6811,CONTENDER,31.6703
153,-2,WRN,Western Copper and Gold Ord Shs,gold,producer,mid,2.88,68.57,-0.0181,0.024,-0.1683,FLAT,16.6,152.63,104.26,-42.72,51.81,86.42,0.7809,LOW,-,2.6115,2.8844,2.305,1,91.5048,CONTENDER,30.7053
157,-3,TRX,TRX Gold,gold,producer,small,1.45,96.19,-0.1051,-0.1427,0.4875,FLAT,81.25,339.39,215.22,-42.2,39.36,131.46,0.603,LOW,-,1.4435,1.6072,0.9061,1,101.6168,LEADER,30.0945
160,-3,EQX,Equinox Gold Corp,gold,producer,large,15.61,55.24,0.0086,0.0667,0.0743,STRONG_DOWN,22.83,122.26,166.63,-36.03,55.02,78.33,0.6606,LOW,-,14.1305,15.3238,12.1072,1,85.8742,CONTENDER,29.9078
163,-3,GORO,Gold Resources Corp.,gold,producer,small,1.58,92.38,0.0933,0.2196,0.2937,STRONG_DOWN,43.64,315.79,243.48,-44.3,40.56,124.3,0.3398,LOW,-,1.2835,1.4028,0.9464,1,103.0444,LEADER,29.6867
164,-3,ARTG.V,Artemis Gold Inc,gold,producer,large,41.42,43.81,0.0135,0.064,-0.0114,FLAT,10.31,107.1,384.44,-29.9,53.41,59.96,0.2905,LOW,-,37.828,39.2294,34.8878,1,95.4004,LAGGARD,29.5909
166,-1,HSTR.V,"ticker
HSTR.V    Heliostar Metals Ord Shs
HSTR.V    Heliostar Metals Ord Shs
Name: name, dtype: object",gold,producer,mid,2.63,58.1,0.0082,0.1645,-0.1597,FLAT,36.98,128.7,874.07,-44.21,48.59,74.51,0.5152,LOW,-,2.358,2.5458,2.1285,1,83.9259,CONTENDER,29.4398
171,0,LUG.TO,Lundin Gold Inc,gold,producer,large,117.43,45.71,-0.0178,0.0054,-0.0468,FLAT,12.36,110.15,550.34,-25.33,59.04,65.02,0.6593,LOW,-,107.3015,109.3644,97.6993,1,100.0195,LAGGARD,28.873
178,1,GTWO.TO,G2 Golfields,gold,producer,mid,12.34,86.67,0.0097,1.1865,0.8161,FLAT,179.19,265.09,1011.71,-39.35,50.2,174.78,0.7943,LOW,-,7.5785,6.8438,4.9795,1,76.1383,LEADER,28.1956
181,1,600489.SS,Zhongjin Gold Ord. A,gold,producer,large,26.9,40.0,-0.0301,-0.1859,0.0522,FLAT,5.49,91.42,111.42,-41.68,48.13,69.32,,LOW,-,26.443,29.5298,22.4452,1,63.471,LAGGARD,27.9118
182,1,3939.HK,"ticker
3939.HK    Wanguo Gold Group
3939.HK       Wanguo Gold GP
Name: name, dtype: object",gold,producer,large,13.0,52.38,-0.0994,-0.303,0.2642,FLAT,45.66,117.45,488.98,-40.16,49.38,93.44,0.3815,LOW,-,13.1535,14.8882,10.1471,1,62.0696,CONTENDER,27.8902
184,0,ODV,Osisko Development,gold,producer,mid,3.65,49.52,0.0591,0.0056,0.032,FLAT,-1.88,113.45,65.16,-40.79,53.41,73.66,0.7331,LOW,-,3.2015,3.6698,3.273,1,82.2615,LAGGARD,27.6008
186,2,AYA.TO,Aya Gold & Silver,gold,producer,mid,24.82,56.19,0.0366,0.1916,0.0464,FLAT,45.06,123.4,76.28,-41.38,53.41,86.47,0.7462,LOW,-,21.4565,22.9894,18.156,1,76.222,CONTENDER,27.2789
192,2,AEM,Agnico Eagle Mines,gold,producer,large,220.1,33.33,-0.0161,-0.0023,0.0936,STRONG_DOWN,19.13,80.1,257.34,-28.97,58.23,55.03,0.7307,LOW,-,204.44,214.0282,173.0255,1,84.7572,LAGGARD,26.1979
204,2,ALK.AX,Alkane Resources,gold,producer,mid,1.81,54.29,-0.0146,-0.0727,0.1524,FLAT,58.77,119.39,166.18,-26.23,50.4,70.95,0.8445,LOW,-,1.591,1.6135,1.2119,1,84.8126,CONTENDER,24.659
206,2,DRD,Drdgold Ltd,gold,producer,mid,32.03,40.95,-0.0179,0.0121,-0.1382,FLAT,2.09,93.66,291.17,-32.64,53.82,64.94,0.4951,LOW,-,29.7675,32.0221,26.5953,1,77.6189,LAGGARD,24.3428
210,2,EMAS.JK,Merdeka Gold Resources,gold,producer,large,8625.0,62.86,0.0543,-0.1051,0.6935,FLAT,98.28,139.58,139.58,-25.26,45.93,91.5,0.6612,LOW,-,8340.0,7892.0,,0,70.0663,LAGGARD,23.7529
211,3,EVN.AX,Evolution Mining,gold,producer,large,13.58,22.86,-0.0014,-0.1875,0.024,FLAT,19.96,57.08,256.5,-34.17,52.8,69.46,1.2011,MED,-,13.024,14.2015,11.3379,1,43.3893,LAGGARD,23.5594
214,2,CMCL,Caledonia Mining Corp Plc,gold,producer,small,26.19,38.1,0.0047,-0.0045,-0.0626,STRONG_UP,-29.31,86.85,177.0,-43.16,55.82,63.68,0.4123,LOW,-,23.6928,26.2789,27.2847,0,76.1291,WEAK,23.4229
220,1,1818.HK,Zhaojin Mining,gold,producer,large,31.0,20.0,-0.096,-0.1784,-0.1923,STRONG_UP,-3.55,55.41,144.35,-33.91,51.44,60.66,0.579,LOW,-,31.319,32.4364,29.1328,1,46.9881,LAGGARD,22.5879
224,1,PRU.AX,Perseus Mining,gold,producer,large,5.61,24.76,-0.0233,-0.1104,-0.06,FLAT,12.49,59.49,158.28,-28.47,51.2,50.82,0.5946,LOW,-,5.2505,5.4782,4.879,1,59.9355,LAGGARD,22.1582
227,9,GAU,Galiano Gold,gold,producer,mid,2.59,36.19,-0.055,-0.0575,-0.0989,STRONG_UP,-15.08,85.0,72.67,-38.94,49.4,82.84,0.622,LOW,-,2.473,2.7708,2.4009,1,50.6881,LAGGARD,21.9397
228,0,BGL.AX,Bellevue Gold,gold,producer,mid,1.705,37.14,-0.0459,-0.1311,0.0295,FLAT,26.3,86.34,-13.23,-36.93,51.2,76.72,0.4837,LOW,-,1.5727,1.6702,1.3342,1,57.6192,LAGGARD,21.7827
229,0,AGI,Alamos Gold Inc,gold,producer,large,49.35,28.57,-0.0046,0.0544,0.2467,STRONG_DOWN,31.81,66.17,229.97,-30.78,55.82,67.42,0.7636,LOW,-,45.015,46.3084,36.4318,1,54.7849,LAGGARD,21.2969
230,0,GMD.AX,Genesis Minerals,gold,producer,large,6.58,17.14,-0.0163,-0.127,-0.1292,STRONG_UP,-6.27,48.53,260.55,-36.46,52.4,72.56,0.8064,LOW,-,6.099,6.6338,6.0042,1,35.0484,LAGGARD,21.2891
233,0,PSAB.JK,J Resources Asia,gold,producer,large,550.0,30.48,0.0407,-0.0523,-0.0823,STRONG_UP,-5.98,70.81,195.7,-35.21,40.25,79.18,0.564,LOW,-,512.9,525.26,529.66,1,35.9939,LAGGARD,21.2203
234,1,GGD.TO,Gogold Resources Inc,gold,producer,mid,2.9,26.67,0.0312,0.0072,-0.1544,STRONG_UP,1.05,62.92,114.81,-41.22,52.61,74.83,0.5008,LOW,-,2.64,2.9888,2.7225,1,44.2375,LAGGARD,21.1722
