rank,delta_rank,ticker,name,commodity,type,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
12,0,SCZ.V,Santacruz Silver Mining,silver,producer,mid,12.62,100.0,0.0145,0.0745,-0.1062,FLAT,43.41,506.73,917.74,-57.28,50.6,106.69,0.422,LOW,-,11.2115,13.0306,10.5085,1,240.3278,LEADER,63.7042
39,0,NEWP,New Pacific Metals,silver,explorer,mid,5.49,93.1,0.0289,0.3743,0.5885,STRONG_DOWN,91.29,385.84,178.68,-41.19,53.01,101.53,0.9268,LOW,-,4.3755,4.372,2.9895,1,201.4519,LEADER,50.9246
44,0,AGMR.TO,Silver Mountain Resources,silver,explorer,small,4.33,96.55,0.0442,0.0227,0.1593,FLAT,37.03,477.33,4711.11,-43.49,51.0,120.39,0.9054,LOW,-,3.888,4.2589,3.1429,1,202.2095,LEADER,49.0412
46,3,HL,Hecla Mining Co,silver,producer,large,19.54,68.97,-0.0609,-0.0619,-0.1417,STRONG_UP,28.28,229.55,273.16,-45.95,53.82,78.73,0.5079,LOW,-,18.7085,20.6397,15.4479,1,156.923,CONTENDER,48.6904
64,2,CDE,Coeur Mining Inc,silver,producer,large,20.38,79.31,-0.0715,-0.056,0.031,STRONG_DOWN,-11.77,242.52,359.01,-40.44,53.41,87.51,0.5641,LOW,-,18.8395,21.2032,17.2572,1,148.0179,LEADER,43.983
72,1,ASM,"ticker
ASM    Avino Silver & Gold Mines
ASM    Avino Silver & Gold Mines
Name: name, dtype: object",silver,producer,mid,7.75,86.21,0.0611,0.2185,0.2292,STRONG_DOWN,19.6,295.41,947.3,-52.4,51.81,108.2,0.9638,LOW,-,6.5415,7.7694,5.8529,1,141.4519,LEADER,42.6909
73,1,AG,First Majestic Silver,silver,producer,large,21.49,72.41,-0.0408,-0.0374,0.1282,STRONG_DOWN,40.22,233.04,218.86,-42.92,53.01,89.31,0.8194,LOW,-,20.712,23.3825,15.6684,1,138.3224,CONTENDER,42.5187
76,2,MUX,"ticker
MUX    McEwen Mining Inc
MUX    McEwen Mining Inc
Name: name, dtype: object",silver,producer,mid,25.91,62.07,0.0468,0.1739,0.2633,STRONG_DOWN,14.04,221.07,134.69,-36.28,57.43,77.08,0.8744,LOW,-,21.476,23.6514,18.3576,1,164.7094,CONTENDER,41.4233
80,3,SVM,Silvercorp Metals,silver,producer,mid,12.84,75.86,0.0286,0.2037,0.2637,STRONG_DOWN,71.89,235.38,263.43,-34.46,57.43,85.01,0.6512,LOW,-,10.983,11.3228,7.9277,1,159.0164,LEADER,40.6569
81,1,KCN.AX,"ticker
KCN.AX    Kingsgate Consolidated Ord Shs
KCN.AX    Kingsgate Consolidated Ord Shs
Name: name, dtype: object",silver,producer,mid,5.59,65.52,0.0292,-0.2994,-0.0064,FLAT,39.63,223.81,263.12,-43.14,56.0,87.35,0.5026,LOW,-,4.889,5.612,4.3712,1,143.4841,CONTENDER,40.414
113,-2,SVRS.V,Silver Storm Mining,silver,producer,small,0.57,89.66,0.0796,0.2743,0.1463,FLAT,119.23,375.0,235.29,-50.0,38.15,116.93,0.8483,LOW,-,0.475,0.5546,0.3721,1,122.3488,LEADER,35.23
120,0,GSVR.V,Guanajuato Silver Co Ltd,silver,producer,small,0.71,82.76,0.0666,0.2146,-0.0122,FLAT,77.5,294.44,184.0,-53.85,44.58,113.13,0.6484,LOW,-,0.6015,0.6466,0.5181,1,116.0287,LEADER,34.4291
125,0,SKE,"ticker
SKE    Skeena Resources Ltd
SKE    Skeena Resources Ltd
Name: name, dtype: object",silver,producer,mid,33.41,44.83,-0.0641,0.0959,0.369,STRONG_DOWN,69.94,169.65,615.42,-31.09,56.22,69.84,0.4623,LOW,-,30.241,32.0628,22.7641,1,136.5677,LAGGARD,34.0002
138,1,EXK,Endeavour Silver Corp,silver,producer,mid,10.18,48.28,-0.0156,0.0207,-0.0094,FLAT,0.3,173.66,302.37,-41.64,54.22,86.04,0.6161,LOW,-,9.347,10.7388,8.6065,1,109.4331,LAGGARD,32.9229
142,1,SSRM,"ticker
SSRM    SSR Mining Inc
SSRM    SSR Mining Inc
Name: name, dtype: object",silver,producer,mid,31.75,55.17,-0.0846,0.1672,0.5167,STRONG_DOWN,23.06,201.23,517.7,-30.88,56.22,91.31,0.56,LOW,-,29.631,29.054,22.5017,1,123.9004,CONTENDER,32.4132
