rank,delta_rank,ticker,name,commodity,type,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
11,4,047040.KS,Daewoo Eng & Co,uranium,producer,large,28100.0,100.0,0.1541,0.4871,5.3326,STRONG_DOWN,646.35,754.1,657.41,-27.11,50.62,147.34,0.5399,LOW,-,20806.5,14086.6,6423.325,1,259.0791,LEADER,61.3642
13,-4,OKLO,Oklo Inc.,uranium,producer,large,68.13,88.52,0.1214,0.1024,-0.1598,STRONG_UP,-58.3,234.13,441.57,-73.83,51.2,89.45,1.302,MED,SHIFT,53.924,59.726,85.73,0,134.0154,LAGGARD,60.554
14,5,ARE.TO,Aecon Group,uranium,producer,mid,46.15,73.77,-0.0553,-0.0613,0.4514,FLAT,89.67,179.94,193.06,-21.01,58.0,36.32,0.4193,LOW,-,43.96,40.8282,29.5146,1,287.3474,CONTENDER,60.3429
28,2,034020.KS,Doosan Enerbility,uranium,producer,large,111000.0,93.44,0.0717,-0.0614,0.2529,FLAT,32.62,326.1,605.66,-24.79,53.11,74.0,0.8897,LOW,-,100290.0,99746.0,79902.0,1,234.0455,LEADER,55.2865
29,12,000720.KS,Hyundai En & Co,uranium,producer,large,174300.0,95.08,-0.0586,-0.0266,0.7681,STRONG_DOWN,186.31,349.28,424.56,-32.92,50.21,92.01,1.2288,MED,-,164084.2125,149835.3514,89738.9546,1,190.6035,LEADER,55.0895
30,7,UUUU,Energy Fuels Inc,uranium,producer,mid,21.51,96.72,0.0592,0.1242,-0.0001,FLAT,2.14,379.06,305.85,-51.28,53.6,99.71,0.7623,LOW,-,18.674,19.9184,16.3313,1,203.7696,LEADER,55.0121
39,-4,CCJ,Cameco Ord Shs,uranium,producer,large,123.62,83.61,0.0235,0.0573,0.1557,STRONG_DOWN,43.04,212.7,162.43,-25.69,55.6,56.36,0.7442,LOW,-,112.549,114.394,95.2766,1,209.8324,LEADER,49.7893
40,-4,PDN.AX,Paladin Energy,uranium,producer,large,13.75,90.16,-0.0034,0.1049,0.2495,STRONG_DOWN,49.46,245.48,-10.13,-28.43,53.78,76.0,1.118,MED,-,12.049,12.2262,9.5621,1,173.7075,LEADER,49.4364
49,-11,UEC,Uranium Energy Corp,uranium,producer,large,15.13,85.25,0.0291,0.0914,-0.0801,FLAT,1.75,217.86,127.18,-39.97,52.4,72.37,0.6058,LOW,-,13.698,14.4032,12.9544,1,157.741,LEADER,46.473
58,-15,NXE.TO,Nexgen Energy,uranium,producer,large,17.35,72.13,0.0143,-0.0229,0.134,FLAT,42.1,179.84,64.3,-22.39,52.8,50.71,0.7851,LOW,-,16.161,16.4274,13.1697,1,187.2507,CONTENDER,44.6365
59,39,URG,Ur-Energy Inc,uranium,producer,mid,1.71,65.57,0.0338,0.0193,-0.0268,STRONG_UP,6.21,159.09,3.64,-45.71,49.6,69.21,2.5591,HIGH,-,1.5265,1.5518,1.4963,1,114.014,CONTENDER,44.5055
64,-1,LEU,Centrus Energy -A,uranium,producer,mid,199.61,86.89,-0.0114,-0.0948,-0.2856,STRONG_UP,-47.5,218.71,375.26,-61.35,52.8,88.34,0.7529,LOW,PROGRESS,188.5035,201.2032,251.5922,0,130.7228,LAGGARD,43.8212
72,12,DNN,Denison Mines Corp,uranium,producer,mid,3.96,81.97,0.0115,0.0292,0.1614,STRONG_DOWN,35.62,211.81,98.0,-29.5,53.6,67.05,0.3965,LOW,-,3.6135,3.7998,2.9476,1,169.3225,LEADER,41.1634
77,-2,1164.HK,CGN Mining Co,uranium,producer,large,4.28,78.69,-0.026,-0.1146,0.2837,FLAT,11.17,202.37,112.99,-30.04,49.59,70.43,0.36,LOW,-,4.0725,4.4176,3.3854,1,142.4867,LEADER,39.9533
101,4,028260.KS,Samsung C&T,uranium,producer,large,300000.0,68.85,-0.0315,-0.0707,0.1227,FLAT,39.88,165.1,110.58,-29.58,53.11,69.34,0.3922,LOW,-,284325.0,296960.0,230852.8129,1,126.4523,CONTENDER,36.1718
106,9,CXU.AX,Cauldron Energy,uranium,producer,small,0.051,98.36,-0.1657,1.0574,0.8468,FLAT,121.74,537.5,30.77,-44.44,34.66,175.08,1.2636,MED,-,0.042,0.0339,0.0216,1,106.4071,LEADER,35.6332
118,47,COSA.V,Cosa Resources,uranium,producer,small,0.78,91.8,0.1139,1.0372,0.7132,FLAT,164.41,280.49,90.24,-42.74,39.2,119.03,1.5563,HIGH,-,0.6597,0.5484,0.3719,1,92.3727,LEADER,34.5097
129,-3,SLX.AX,Silex Systems,uranium,producer,mid,6.02,62.3,0.0035,0.0135,-0.0719,FLAT,-23.41,146.72,23.61,-53.38,54.58,85.65,0.4839,LOW,PROGRESS,5.4855,6.0238,6.4154,0,93.4974,LAGGARD,33.3829
148,-17,052690.KS,Kepco En & Co,uranium,producer,large,179000.0,75.41,-0.0104,-0.0525,0.501,FLAT,87.53,182.17,212.69,-27.13,48.55,86.14,0.4594,LOW,-,166870.0,161764.0,112907.2431,1,102.6761,LEADER,31.5987
157,-29,HAR.AX,Haranga Resources,uranium,producer,small,0.14,70.49,0.1757,0.0574,-0.1174,STRONG_UP,-28.21,169.23,16.67,-54.35,40.64,92.25,1.0705,MED,-,0.1185,0.1281,0.1278,1,74.5533,CONTENDER,29.7738
164,-10,DYL.AX,Deep Yellow Ltd.,uranium,producer,mid,1.97,59.02,-0.0243,0.0303,-0.0178,FLAT,-15.09,135.93,41.22,-44.5,49.4,82.44,0.8153,LOW,-,1.8197,2.1181,1.9195,1,81.4514,CONTENDER,29.1226
180,11,ISO.TO,IsoEnergy Ltd.,uranium,producer,mid,16.69,60.66,0.0379,0.0987,0.1438,STRONG_DOWN,35.36,140.49,-0.65,-29.99,56.8,79.93,0.4499,LOW,-,14.905,14.8654,12.9448,1,99.8352,CONTENDER,27.7265
192,0,SMR,Nuscale Power Corp,uranium,producer,mid,12.79,9.84,0.2061,-0.0456,-0.2442,STRONG_UP,-71.1,-6.23,159.43,-82.86,48.4,93.18,1.3225,MED,SHIFT,10.685,12.2686,26.8708,0,-3.2369,WEAK,25.3665
194,-18,TOE.AX,Toro Energy Ltd.,uranium,producer,small,0.58,77.05,0.0034,-0.0589,0.2036,FLAT,27.47,197.44,34.88,-30.39,41.04,91.16,0.3996,LOW,-,0.543,0.5236,0.3919,1,88.8851,LEADER,24.8365
198,-8,MGA.TO,Mega Uranium Ltd.,uranium,producer,small,0.76,80.33,-0.018,0.1971,0.2574,STRONG_DOWN,90.0,204.0,100.0,-31.58,40.0,92.04,0.5712,LOW,-,0.629,0.6352,0.4665,1,88.6571,LEADER,24.183
201,6,LI.V,American Lithium Ord Shs,uranium,producer,small,0.66,50.82,0.0963,0.0622,-0.1409,STRONG_UP,-28.26,100.0,-4.35,-56.41,40.0,66.43,0.9015,LOW,-,0.5735,0.6272,0.6301,1,60.2138,CONTENDER,23.977
211,21,7011.T,Mitsubishi Heavy Ind.,uranium,producer,large,4506.0,45.9,-0.0962,-0.1634,0.014,FLAT,13.49,75.22,237.13,-18.5,49.79,45.13,0.8517,LOW,-,4608.8318,4744.2475,4158.1359,1,82.9816,LAGGARD,23.1418
213,-26,SASK.V,Atha Energy Corp.,uranium,producer,small,0.98,67.21,0.1113,0.0964,0.3949,FLAT,40.0,164.86,34.25,-40.43,44.0,101.95,0.2881,LOW,-,0.8155,0.8354,0.7139,1,71.1531,CONTENDER,22.7343
214,0,JLL.AX,Jindalee Lithium,uranium,producer,small,0.61,63.93,-0.1208,0.4667,-0.2242,FLAT,-29.48,154.17,-6.87,-60.94,44.03,133.27,0.1381,LOW,-,0.5035,0.5279,0.5282,1,50.9339,CONTENDER,22.6893
215,-26,NNE,Nano Nuclear Energy,uranium,producer,mid,25.53,24.59,0.0438,0.05,-0.1634,FLAT,-46.63,37.85,391.91,-66.45,47.6,77.67,0.8258,LOW,SHIFT,21.993,23.7326,33.0742,0,23.1969,WEAK,22.6742
216,1,006360.KS,Gs En & Co,uranium,producer,large,38050.0,57.38,-0.029,0.0347,1.1239,STRONG_DOWN,109.16,134.25,168.66,-25.18,51.87,104.59,0.5456,LOW,-,31965.0,26079.9929,20677.2381,1,66.5772,CONTENDER,22.5816
221,5,MYRUF,Myriad Uranium Corp.,uranium,producer,small,0.3813,55.74,-0.0827,-0.0082,0.0656,STRONG_DOWN,11.2,128.05,106.55,-56.73,48.8,105.88,0.2282,LOW,-,0.3424,0.3691,0.2851,1,59.0182,CONTENDER,22.2882
227,-5,AEC.V,Anfield Energy Inc.,uranium,producer,small,8.0,52.46,-0.04,0.0252,-0.1973,FLAT,-27.99,113.33,33.33,-60.29,41.2,93.0,0.4476,LOW,-,7.7125,8.4654,9.1186,0,50.2079,LAGGARD,21.6127
233,-2,YCA.L,Yellow Cake PLC,uranium,producer,mid,611.5,34.43,-0.0326,-0.1011,0.0084,FLAT,15.05,52.04,-1.69,-22.37,49.0,33.69,0.5083,LOW,-,594.925,613.36,566.669,1,75.6872,LAGGARD,20.9117
234,6,8001.T,Itochu Corp,uranium,producer,large,1975.5,32.79,-0.0498,-0.1446,0.0354,FLAT,19.84,50.5,57.71,-13.68,54.73,33.85,0.7048,LOW,-,2023.4593,2071.7434,1817.2285,1,81.6428,LAGGARD,20.8851
240,-38,I88.AX,Infini Resources,uranium,producer,small,0.17,37.7,0.3183,0.0543,-0.2759,STRONG_UP,-67.31,54.55,-2.86,-84.0,36.25,99.58,0.5102,LOW,-,0.1363,0.1445,0.2335,0,19.8561,WEAK,20.3453
252,4,BVR.AX,Bellavista Resources,uranium,producer,small,0.62,47.54,0.0092,-0.1795,-0.1965,STRONG_UP,82.35,77.14,202.44,-48.35,34.26,93.37,2.0163,HIGH,-,0.5527,0.7078,0.5221,1,28.3058,LAGGARD,19.7264
255,-9,EU,Encore Energy Corp,uranium,producer,small,2.13,40.98,0.0506,0.0784,-0.2281,FLAT,-34.46,65.12,-49.16,-58.72,49.6,75.62,0.5266,LOW,-,1.8885,2.159,2.6532,0,42.7105,WEAK,19.2259
271,11,EL8.AX,Elevate Uranium Ltd.,uranium,producer,small,0.32,39.34,0.0431,0.0036,-0.0641,STRONG_UP,-28.89,60.0,-32.63,-48.96,45.82,91.85,1.2731,MED,-,0.2843,0.3188,0.3203,0,29.9314,WEAK,17.7633
274,-2,PNN.AX,Power Minerals,uranium,producer,small,0.125,42.62,-0.045,0.0305,0.1751,STRONG_DOWN,-30.56,73.61,4.17,-64.89,37.85,95.36,0.6279,LOW,-,0.1195,0.1134,0.1004,1,29.2175,LAGGARD,17.4122
279,-8,BOE.AX,Boss Energy Ltd.,uranium,producer,mid,1.675,1.64,-0.074,-0.0617,0.0213,STRONG_DOWN,-8.22,-29.62,-64.81,-74.73,44.22,87.36,0.4493,LOW,SHIFT,1.5895,1.6225,1.8731,0,-14.994,WEAK,16.449
280,0,GLO.TO,Global Atomic Corp,uranium,producer,small,0.83,29.51,-0.0328,-0.1389,0.0882,FLAT,59.62,45.61,-54.64,-56.6,43.6,70.71,0.4475,LOW,-,0.7875,0.8084,0.6879,1,28.1258,LAGGARD,16.3384
281,-1,ASN.AX,Anson Resources,uranium,producer,small,0.059,19.67,0.2137,0.0441,-0.1201,STRONG_UP,-38.54,9.26,-46.36,-63.33,33.07,66.18,1.5712,HIGH,-,0.0492,0.0524,0.0761,0,4.6268,WEAK,16.3377
282,-21,AGE.AX,Alligator Energy Ltd.,uranium,producer,small,0.045,49.18,-0.0223,-0.0098,0.3044,STRONG_DOWN,66.67,87.5,-13.46,-52.5,40.64,103.44,0.6254,LOW,-,0.0399,0.0425,0.0308,1,34.3774,LAGGARD,16.3039
289,-6,ERA.AX,Energy Resources Of Australia,uranium,producer,mid,0.003,31.15,-0.295,-0.3065,0.2882,FLAT,50.0,50.0,-94.34,-50.0,25.1,198.3,0.2531,LOW,-,0.0033,0.0033,0.0027,1,6.3288,LAGGARD,15.6058
291,-28,1AE.AX,Aurora Energy Metals,uranium,producer,small,0.08,36.07,0.0542,0.3215,-0.3657,FLAT,-23.81,53.85,-11.11,-66.67,37.85,145.02,0.5717,LOW,-,0.0601,0.0754,0.0843,0,14.0538,WEAK,15.264
296,-3,AEE.AX,Aura Energy Ltd.,uranium,producer,small,0.145,27.87,-0.0093,-0.0036,-0.1738,FLAT,-36.96,45.0,-14.71,-59.26,39.84,93.45,0.5907,LOW,-,0.128,0.1368,0.1796,0,19.1846,WEAK,14.6922
299,0,ETM.AX,Energy Transition Minerals,uranium,producer,small,0.069,14.75,0.0536,-0.3323,-0.5341,STRONG_UP,-26.6,-1.43,76.92,-74.36,35.06,139.02,0.3419,LOW,-,0.0706,0.089,0.0866,0,-0.3603,WEAK,14.3458
308,1,SYH.V,Skyharbour Resources Ltd.,uranium,producer,small,0.54,44.26,0.0604,0.19,0.2621,STRONG_DOWN,50.0,74.19,22.73,-40.0,33.6,96.24,0.7485,LOW,-,0.467,0.4856,0.4112,1,25.903,LAGGARD,12.3287
309,-1,PR2.AX,Piche Resources,uranium,producer,small,0.06,6.56,-0.0281,-0.4229,-0.5174,STRONG_UP,-66.67,-22.08,-61.29,-69.19,32.27,117.37,0.0,LOW,-,0.0661,0.0955,0.1248,0,-6.0702,WEAK,12.1406
310,0,FUU.V,F3 Uranium Corp,uranium,producer,small,0.2,22.95,0.0694,0.1303,0.0882,FLAT,33.33,14.29,-48.05,-57.41,37.2,102.91,0.4362,LOW,-,0.1733,0.1886,0.1871,1,5.164,LAGGARD,12.0626
315,-8,LOT.AX,Lotus Resources Ltd.,uranium,producer,small,1.555,11.48,-0.0287,-0.0075,-0.3164,FLAT,-35.61,-3.42,-67.02,-62.81,38.65,108.72,0.8226,LOW,-,1.3925,1.7182,2.0806,0,-1.2144,WEAK,11.1794
316,-1,PEN.AX,Peninsula Energy Ord Shs,uranium,producer,small,0.6,13.11,-0.0281,-0.0826,-0.2507,STRONG_UP,-11.76,-3.23,-70.66,-54.84,27.09,112.53,0.0,LOW,-,0.5722,0.6362,0.5945,1,-0.7766,LAGGARD,11.0996
317,4,LAM.TO,Laramide Resources,uranium,producer,small,0.8,26.23,0.0542,-0.0677,0.231,FLAT,26.98,40.35,15.94,-35.62,41.6,84.57,0.5596,LOW,-,0.6955,0.7614,0.6481,1,19.8486,LAGGARD,10.9762
320,0,JAGU,Jaguar Uranium Corp,uranium,producer,small,2.99,3.28,0.264,0.769,,STRONG_DOWN,,-25.25,-25.25,-61.25,41.67,,0.9367,LOW,-,2.2815,,,0,,WEAK,10.0182
321,-3,AEU.AX,Atomic Eagle,uranium,producer,small,0.395,21.31,-0.1673,-0.2232,-0.0493,FLAT,12.86,12.86,2721.43,-50.68,16.73,128.24,0.529,LOW,-,0.4283,0.4388,0.3836,1,1.6773,LAGGARD,10.0047
323,-9,FSY.TO,Forsys Metals Corp,uranium,producer,small,0.38,8.2,-0.0707,-0.046,-0.0337,STRONG_DOWN,-7.32,-15.56,-56.82,-65.79,42.0,114.99,0.244,LOW,-,0.371,0.3906,0.4347,0,-5.6817,WEAK,9.9391
