rank,delta_rank,ticker,name,commodity,type,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
21,-10,ARE.TO,Aecon Group,uranium,producer,mid,50.73,87.3,0.0532,0.1896,0.4612,STRONG_DOWN,94.42,170.13,221.57,-21.01,56.8,38.35,1.0195,MED,-,50.511,45.9392,32.4669,1,251.9808,LEADER,59.6937
33,-11,UUUU,Energy Fuels Inc,uranium,producer,mid,18.41,96.83,-0.0691,0.0018,-0.0226,FLAT,18.93,321.28,195.98,-51.28,52.0,82.42,0.7845,LOW,-,21.1835,19.707,17.5678,1,202.7012,LEADER,54.5994
38,-9,047040.KS,Daewoo Eng & Co,uranium,producer,large,28500.0,100.0,-0.0165,0.1033,3.1243,STRONG_DOWN,729.69,673.41,657.98,-27.11,49.17,154.11,0.3961,LOW,-,32090.0,22643.0,8852.15,1,214.8554,LEADER,53.1004
65,-21,028260.KS,Samsung C&T,uranium,producer,large,396500.0,92.06,-0.0271,0.3927,0.3383,FLAT,78.7,223.79,167.96,-29.58,52.07,81.51,1.3522,MED,-,352475.0,310260.0,247330.9576,1,142.9582,LEADER,44.6807
80,-3,UEC,Uranium Energy Corp,uranium,producer,large,13.65,84.13,-0.0756,0.0151,-0.0195,FLAT,17.77,158.03,95.56,-39.97,50.4,73.24,1.0854,MED,-,14.924,14.1264,13.6477,1,108.7509,LEADER,41.5569
86,4,000720.KS,Hyundai En & Co,uranium,producer,large,155000.0,93.65,0.0309,-0.033,0.4787,FLAT,146.94,249.37,351.85,-32.92,50.0,90.76,0.7159,LOW,-,167655.0,162792.8409,97564.625,1,137.3775,LEADER,40.5126
88,-65,034020.KS,Doosan Enerbility,uranium,producer,large,110800.0,90.48,-0.0387,0.1666,0.2649,STRONG_DOWN,39.2,223.03,512.15,-24.79,50.83,72.07,0.9842,LOW,-,122315.0,109080.0,85079.0,1,157.3015,LEADER,40.1277
95,17,1164.HK,CGN Mining Co,uranium,producer,large,3.45,77.78,-0.0309,-0.1301,-0.1593,STRONG_UP,2.37,132.28,33.9,-34.41,49.59,60.07,1.1369,MED,EARLY,3.992,4.1034,3.5293,0,109.2015,LAGGARD,39.1849
101,-31,OKLO,Oklo Inc.,uranium,producer,large,62.25,53.97,-0.1076,0.035,0.0078,FLAT,-38.75,65.03,545.75,-73.83,49.2,95.3,1.058,MED,-,70.7665,61.4678,86.3882,0,33.5736,LAGGARD,38.0782
117,-45,URG,Ur-Energy Inc,uranium,producer,mid,1.66,79.37,0.0081,0.1217,0.1654,STRONG_DOWN,37.19,133.8,-3.49,-45.71,48.8,67.55,1.0802,MED,-,1.773,1.6092,1.5457,1,96.6629,LEADER,35.6562
130,-8,CXU.AX,Cauldron Energy,uranium,producer,small,0.055,98.41,-0.0173,0.0854,1.1245,STRONG_DOWN,189.47,587.5,37.5,-44.44,35.97,179.07,0.1249,LOW,-,0.0574,0.0445,0.0262,1,118.0118,LEADER,33.4514
136,-4,DNN,Denison Mines Corp,uranium,producer,mid,3.28,76.19,-0.0524,-0.0531,-0.0567,STRONG_UP,31.73,129.37,56.19,-29.5,52.0,59.08,0.5194,LOW,-,3.7495,3.6904,3.1129,1,113.8672,LEADER,32.5663
141,-26,NXE.TO,Nexgen Energy,uranium,producer,large,15.49,69.84,-0.009,-0.0052,0.0654,STRONG_DOWN,35.52,103.01,49.23,-22.39,51.2,49.98,1.0367,MED,-,16.844,16.48,13.8736,1,105.529,CONTENDER,31.8827
143,13,LEU,Centrus Energy -A,uranium,producer,mid,182.6,65.08,-0.048,-0.0018,0.0019,STRONG_DOWN,-28.07,90.7,318.42,-61.35,51.2,77.37,1.0986,MED,EARLY,205.565,198.3786,250.652,0,60.0245,LAGGARD,31.5863
