rank,delta_rank,ticker,name,commodity,type,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
1,0,HYMC,Hycroft Mining Holding,gold,explorer,mid,32.32,100.0,-0.0465,-0.0607,-0.0971,STRONG_UP,230.47,942.58,867.66,-46.18,55.6,107.21,0.4429,LOW,-,37.3715,37.1223,23.3486,1,488.8302,LEADER,107.9517
16,40,TMQ,"ticker
TMQ         Trilogy Metals
TMQ    Trilogy Metals Inc.
Name: name, dtype: object",gold,explorer,mid,4.07,93.33,0.0752,0.0849,0.1443,STRONG_DOWN,2.26,223.02,730.61,-69.62,48.8,73.36,1.0626,MED,-,4.285,4.0372,4.028,1,148.353,LEADER,53.8033
28,6,MFRISCOA-1.MX,Minera Frisco Sab De Cv,gold,explorer,large,10.38,88.57,0.0389,0.171,-0.0405,FLAT,29.43,207.1,214.55,-41.62,45.78,57.55,0.1083,LOW,-,9.901,9.909,8.9101,1,164.7448,LEADER,48.2891
33,-10,MAU.TO,Montage Gold,gold,explorer,mid,14.32,92.38,-0.0153,0.0639,0.0899,STRONG_DOWN,103.7,222.52,922.86,-25.76,54.0,61.72,0.3282,LOW,-,14.2595,14.7882,10.4288,1,194.6892,LEADER,44.9492
58,-25,OGC.TO,Oceanagold Corp,gold,explorer,large,39.85,72.38,-0.0464,-0.0135,-0.0828,FLAT,27.39,123.27,346.51,-31.6,58.0,51.1,,LOW,-,42.5901,43.8784,38.5027,1,139.9134,CONTENDER,39.279
61,2,DPM.TO,Dundee Precious Metals,gold,explorer,large,45.52,70.48,0.043,0.0138,0.0272,FLAT,35.78,118.79,327.46,-29.52,57.2,49.2,0.6433,LOW,-,46.2045,48.1723,40.7137,1,138.1019,CONTENDER,38.1466
62,9,BRC.V,"ticker
BRC.V    Blackrock Silver
BRC.V    Blackrock Silver
Name: name, dtype: object",gold,explorer,small,1.17,97.14,-0.0604,0.0258,-0.1533,FLAT,85.71,265.62,254.55,-51.53,48.8,94.34,0.2293,LOW,-,1.272,1.2896,1.1112,1,137.4019,LEADER,38.0517
69,-33,FF.TO,First Mining Gold,gold,explorer,mid,0.465,84.76,-0.0445,0.0791,-0.0476,FLAT,47.62,181.82,232.14,-50.62,44.8,74.7,0.2994,LOW,-,0.4788,0.4844,0.435,1,109.0422,LEADER,36.7784
80,-21,THM,International Tower Hill Mines,gold,explorer,mid,2.39,83.81,0.0305,-0.0016,0.0198,FLAT,59.33,181.18,251.47,-46.74,45.6,77.95,0.3676,LOW,-,2.477,2.4184,2.1104,1,105.9865,LEADER,35.1686
87,12,SA,Seabridge Gold Inc,gold,explorer,mid,29.93,77.14,0.0641,0.0844,0.0154,FLAT,24.81,144.93,107.99,-37.92,56.4,70.49,0.5689,LOW,-,29.8065,29.6126,27.2757,1,115.9575,LEADER,34.4286
