rank,delta_rank,ticker,name,commodity,type,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
2,-1,PLS.AX,PLS GROUP LTD,lithium,producer,large,6.55,94.74,0.0334,0.1237,0.2185,STRONG_DOWN,67.09,477.09,71.47,-21.33,56.92,50.93,0.9293,LOW,-,6.3045,5.8258,4.1883,1,533.2045,LEADER,107.5907
4,5,EUR.AX,EUROPEAN LITHIUM LTD,lithium,producer,small,0.485,100.0,0.0447,0.117,0.8162,STRONG_DOWN,203.13,977.78,910.42,-67.74,40.32,129.39,1.8101,HIGH,-,0.4428,0.3409,0.2336,1,304.6912,LEADER,88.8806
5,-1,2308.TW,Delta Electronics Inc,lithium,producer,large,2360.0,97.37,-0.0806,0.1293,0.5978,STRONG_DOWN,147.38,532.93,626.02,-17.21,54.13,67.64,0.9658,LOW,-,2213.75,1945.7,1225.24,1,426.4885,LEADER,87.1219
9,1,MIN.AX,MINERAL RESOURCES LTD,lithium,producer,large,72.77,81.58,0.0158,0.1309,0.1429,STRONG_DOWN,54.21,293.35,1.25,-21.51,56.52,50.51,0.9556,LOW,-,69.803,63.3374,52.4832,1,328.2561,LEADER,69.8629
15,0,LTR.AX,LIONTOWN LTD,lithium,producer,large,2.5,89.47,0.0917,0.0853,0.4868,FLAT,81.82,334.78,87.97,-34.62,50.99,68.46,0.5644,LOW,-,2.3925,2.1721,1.59,1,249.3509,LEADER,61.5209
23,0,5802.T,Sumitomo Electric Industries,lithium,producer,large,13015.0,92.11,0.0736,0.3165,0.105,FLAT,130.95,348.42,436.88,-22.02,56.2,82.18,0.9013,LOW,-,11676.0,10550.2066,7180.44,1,238.2731,LEADER,55.1345
28,-2,300450.SZ,WUXI LEAD INTELLIGENT EQUI-A,lithium,producer,large,48.19,52.63,-0.0424,-0.1055,-0.2786,STRONG_UP,3.23,145.55,150.34,-32.4,50.41,41.19,1.019,MED,EARLY,52.159,52.0564,50.6783,0,178.1248,LAGGARD,51.7238
29,-10,ENS,ENERSYS,lithium,producer,large,237.51,65.79,-0.0095,0.164,0.2598,STRONG_DOWN,67.22,181.0,125.44,-18.32,59.2,44.79,0.9312,LOW,-,230.2325,206.94,156.6497,1,239.2289,CONTENDER,51.575
31,1,PMET.TO,PMET RESOURCES INC,lithium,producer,mid,7.28,76.32,0.1156,0.2288,0.253,STRONG_DOWN,48.27,248.33,-10.01,-45.14,49.6,63.82,0.5331,LOW,-,6.958,5.8072,4.9824,1,192.995,LEADER,49.641
35,-10,ALB,ALBEMARLE CORP,lithium,producer,large,171.77,68.42,-0.0492,-0.0774,-0.1602,STRONG_UP,34.59,206.59,47.18,-21.62,57.2,58.96,0.986,LOW,-,184.073,184.9256,141.0192,1,200.4203,CONTENDER,47.6989
