rank,delta_rank,ticker,name,commodity,type,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
33,-12,MAH.AX,Machahon Holdings,gold,royalties_financial_services,mid,0.92,95.15,-0.0124,0.1752,0.6279,STRONG_DOWN,66.72,223.64,242.1,-22.01,45.85,53.49,0.5398,LOW,-,0.9155,0.8469,0.6404,1,191.6976,LEADER,43.3787
105,4,ASA,ASA Gold & Precious Metals,gold,royalties_financial_services,mid,57.39,57.28,0.0147,-0.0301,0.0392,FLAT,-0.23,67.58,235.35,-35.5,57.2,55.98,1.7784,HIGH,EARLY,60.1455,63.9749,58.0428,0,69.0488,LAGGARD,29.0924
108,23,MTA,Metalla Royalty & Str.,gold,royalties_financial_services,mid,7.31,75.73,0.0081,0.1298,0.0921,FLAT,-7.59,101.38,148.64,-33.04,54.0,58.98,0.8297,LOW,-,7.183,7.0226,7.188,1,92.8176,LEADER,28.7421
114,56,FISH.V,Sailfish Royalty Corp.,gold,royalties_financial_services,small,4.37,61.17,0.0422,0.3095,0.383,STRONG_DOWN,26.3,77.91,289.94,-26.84,44.4,38.0,1.8551,HIGH,-,4.1335,3.8318,3.4921,1,91.0285,CONTENDER,27.558
207,9,TFPM,Triple Flag Precious Metals,gold,royalties_financial_services,large,29.16,24.27,0.0185,0.0012,-0.0325,STRONG_UP,-15.69,16.41,97.5,-34.87,54.8,48.44,1.1405,MED,EARLY,30.1483,32.5619,32.67,0,18.5676,WEAK,19.2606
212,-35,GROY,Gold Royalty Corp,gold,royalties_financial_services,mid,2.88,31.07,0.0012,-0.045,-0.0946,STRONG_UP,-29.76,25.76,97.26,-48.18,52.0,54.57,0.6088,LOW,EARLY,3.0845,3.3902,3.8378,0,24.5508,WEAK,18.9978
225,-2,OR,Osisko Gold royalties_financial_services,gold,royalties_financial_services,large,33.83,33.01,-0.0055,0.0289,0.0107,FLAT,-5.65,26.71,108.67,-33.96,58.0,51.88,0.5964,LOW,EARLY,35.1865,37.5988,37.5586,0,29.8575,WEAK,18.3623
228,-41,VROY.V,Vizsla royalties_financial_services,gold,royalties_financial_services,small,3.36,46.6,-0.01,0.0088,0.203,STRONG_DOWN,-28.51,42.98,162.5,-52.48,50.8,75.26,6.8031,HIGH,-,3.5765,3.2076,3.7151,0,29.0104,WEAK,18.051
234,-54,FNV,Franco-Nevada Corp,gold,royalties_financial_services,large,209.46,28.16,-0.0296,0.0292,-0.0052,FLAT,-1.85,22.41,82.06,-25.68,55.2,38.05,1.0551,MED,EARLY,222.5783,235.7586,224.2172,0,32.5105,WEAK,17.4789
249,-46,RGLD,Royal Gold Inc,gold,royalties_financial_services,large,207.57,21.36,0.0033,0.0101,-0.0003,FLAT,-4.64,14.86,75.43,-35.12,53.2,44.08,0.7657,LOW,EARLY,216.54,236.8192,227.0058,0,17.94,WEAK,16.3392
