rank,delta_rank,ticker,name,commodity,type,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
2,0,HYMC,Hycroft Mining Holding,gold,explorer,mid,23.62,100.0,-0.0411,-0.1845,-0.2113,STRONG_UP,-0.63,652.23,844.8,-61.07,54.4,87.2,0.8166,LOW,EARLY,24.842,31.8189,26.3679,0,406.8953,LAGGARD,95.2677
4,0,MFRISCOA-1.MX,Minera Frisco Sab De Cv,gold,explorer,large,12.99,95.28,0.0651,0.3201,0.504,STRONG_DOWN,44.82,252.99,313.69,-41.62,48.19,45.58,0.0234,LOW,-,11.54,10.6694,9.9859,1,267.4758,LEADER,66.1884
10,0,MAU.TO,Montage Gold,gold,explorer,mid,17.06,98.11,0.117,0.1731,0.1975,STRONG_DOWN,72.85,279.96,1182.71,-25.76,54.0,69.72,1.1872,MED,-,15.6385,15.1024,11.8638,1,216.833,LEADER,54.7166
13,0,LGD.TO,Liberty Gold Corp,gold,producer,mid,1.52,99.06,0.0272,-0.0303,0.4343,FLAT,83.13,360.61,360.61,-41.21,44.0,78.71,0.7965,LOW,-,1.4665,1.4868,1.113,1,201.5839,LEADER,51.7891
15,0,FF.TO,First Mining Gold,gold,explorer,mid,0.69,97.17,0.1338,0.4912,0.5152,STRONG_DOWN,38.0,272.97,452.0,-50.62,45.6,94.62,2.1999,HIGH,-,0.5435,0.5059,0.4808,1,131.5532,LEADER,49.4867
18,0,TAU.V,Thesis Gold Inc A,gold,producer,mid,3.13,93.4,0.0821,0.009,0.1449,FLAT,42.27,199.52,381.54,-31.98,54.0,66.12,1.1464,MED,-,2.9858,3.2773,2.647,1,162.9486,LEADER,46.3898
24,0,DPM.TO,Dundee Precious Metals,gold,explorer,large,48.57,85.85,0.0466,0.1083,0.0795,FLAT,15.24,126.12,348.16,-31.44,57.6,53.07,1.2347,MED,-,45.7454,46.1442,43.478,1,136.8904,LEADER,43.7516
28,0,IAUX,I-80 Gold Corp,gold,producer,mid,1.49,87.74,0.0136,0.0569,0.0328,FLAT,2.05,135.76,39.25,-38.94,52.0,52.43,1.0461,MED,-,1.4625,1.51,1.4303,1,134.6461,LEADER,42.4291
33,0,EQX,Equinox Gold Corp,gold,producer,large,10.14,59.43,0.0085,-0.0155,-0.1713,STRONG_UP,-27.62,75.2,86.11,-49.95,54.0,58.99,1.5292,HIGH,EARLY,10.3115,12.1857,13.3661,0,68.8413,LAGGARD,40.4554
35,0,MAH.AX,Machahon Holdings,gold,royalties_financial_services,mid,0.89,92.45,-0.1089,-0.0012,0.3544,STRONG_DOWN,35.82,193.21,249.0,-22.01,45.85,50.89,0.8834,LOW,-,0.9422,0.8835,0.6784,1,174.0734,LEADER,40.0482
36,0,TMQ,"ticker
TMQ         Trilogy Metals
TMQ    Trilogy Metals Inc.
Name: name, dtype: object",gold,explorer,mid,3.41,91.51,-0.0211,-0.1529,0.0397,FLAT,-20.88,152.59,568.63,-69.62,49.2,73.85,0.9337,LOW,EARLY,3.6985,4.0854,4.3241,0,101.6595,LAGGARD,39.7354
38,0,THM,International Tower Hill Mines,gold,explorer,mid,2.32,90.57,0.0383,0.0185,0.1267,FLAT,24.73,149.46,,-47.65,47.6,83.25,4.2916,HIGH,-,2.1235,2.3556,2.2237,1,85.4584,LEADER,38.7991
