rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
1,0,SNDK,Sandisk,Technology,Electronic Components,large,1383.29,100.0,-0.0304,0.4739,1.0473,STRONG_DOWN,420.27,3342.73,3742.47,-31.34,58.8,95.48,0.7526,LOW,-,1262.4785,954.6586,435.1055,1,2058.5744,LEADER,396.1888
2,0,WBD,Warner Bros. Discovery,Consumer Discretionary,Miscellaneous Amusement & Recreation Services,large,27.09,100.0,-0.0146,0.0112,-0.0853,FLAT,19.13,193.5,234.86,-21.31,48.4,11.05,0.4278,LOW,-,27.0865,27.2734,23.5798,1,847.5452,LEADER,164.0619
3,0,WDC,Western Digital,Technology,Electronic Components,large,455.8,97.73,-0.0637,0.1304,0.422,STRONG_DOWN,180.94,804.14,729.06,-20.59,62.4,68.34,0.6995,LOW,-,449.2865,366.6884,215.296,1,734.2479,LEADER,144.7927
4,1,MU,Micron Technology,Technology,Semiconductors,large,698.74,95.45,-0.1167,0.4977,0.495,FLAT,189.03,613.98,445.46,-30.28,57.2,78.15,1.3602,MED,-,629.7885,498.6023,312.8097,1,449.3864,LEADER,107.9262
5,-1,STX,Seagate Technology,Technology,Electronic Components,large,733.35,93.18,-0.089,0.2526,0.6164,STRONG_DOWN,181.8,594.4,689.77,-21.0,57.6,66.99,0.9121,LOW,-,717.607,554.4065,342.9587,1,511.0845,LEADER,103.8907
6,0,EA,Electronic Arts,Consumer Discretionary,Miscellaneous Amusement & Recreation Services,large,201.7,75.0,-0.0001,0.0102,-0.0248,FLAT,0.65,33.34,58.72,-7.46,53.6,5.23,0.7303,LOW,-,201.515,201.8638,195.7331,1,341.652,LEADER,67.0354
7,0,INTC,Intel,Technology,Semiconductors,large,110.8,90.91,-0.0651,0.615,1.3033,STRONG_DOWN,219.22,420.92,247.36,-24.17,52.0,87.89,1.2591,MED,-,101.922,72.0992,45.6876,1,249.0376,LEADER,63.4974
8,2,GOOGL,Alphabet Inc. (Class A),Technology,Computer Software,large,387.66,79.55,-0.0234,0.1095,0.101,FLAT,36.2,137.23,120.93,-20.37,54.4,35.0,1.3287,MED,-,378.6365,336.3352,293.0823,1,213.2894,LEADER,54.4898
9,2,GOOG,Alphabet Inc. (Class C),Technology,Computer Software,large,384.9,77.27,-0.0217,0.1075,0.0889,FLAT,34.95,133.63,117.45,-20.75,54.0,34.1,1.2808,MED,-,375.791,334.2576,292.9888,1,211.6072,LEADER,54.2413
10,-2,LRCX,Lam Research,Technology,Industrial Machinery,large,273.38,86.36,-0.0609,-0.0219,-0.0383,FLAT,85.92,226.71,195.56,-20.01,59.6,58.3,0.8401,LOW,-,274.6985,250.685,185.2105,1,231.7643,LEADER,52.7282
11,-2,AMD,Advanced Micro Devices,Technology,Semiconductors,large,414.05,88.64,-0.0568,0.3983,0.856,STRONG_DOWN,72.15,264.77,148.93,-27.76,54.8,72.7,0.966,LOW,-,385.492,288.0112,226.624,1,199.5787,LEADER,48.9597
12,0,AMAT,Applied Materials,Technology,Semiconductors,large,406.91,81.82,-0.0542,-0.049,-0.091,FLAT,78.49,147.72,88.23,-21.37,57.2,51.19,1.2277,MED,-,413.1275,383.9414,283.1262,1,165.0658,LEADER,45.3604
13,0,MRVL,Marvell Technology,Technology,Semiconductors,large,176.27,84.09,0.0088,0.1078,1.0354,STRONG_DOWN,111.49,187.77,138.12,-26.36,53.6,69.99,1.0142,MED,-,166.898,131.43,94.0997,1,143.7965,LEADER,42.2722
14,0,KLAC,KLA Corporation,Technology,Electronic Components,large,1740.58,75.0,-0.044,-0.1047,0.0002,FLAT,53.93,121.67,128.79,-22.41,60.0,49.26,1.14,MED,-,1805.9067,1665.585,1310.5648,1,148.1915,LEADER,42.189
15,0,ADI,Analog Devices,Technology,Semiconductors,large,414.31,68.18,-0.028,0.0469,0.0237,FLAT,81.38,87.37,96.62,-15.73,54.8,34.98,1.6207,HIGH,-,407.219,360.3292,291.0981,1,136.8776,CONTENDER,40.0715
16,0,CSCO,Cisco,Telecommunications,Computer Communications Equipment,large,115.38,100.0,0.1365,0.4326,0.6771,STRONG_DOWN,49.94,86.12,157.97,-13.57,56.4,37.78,1.4039,MED,-,97.531,87.3612,76.5246,1,128.5609,LEADER,34.0487
17,0,MPWR,Monolithic Power Systems,Technology,Semiconductors,large,1468.11,72.73,-0.0966,-0.1201,0.0718,FLAT,64.27,111.27,97.21,-22.45,53.2,53.74,1.0925,MED,-,1579.131,1344.7481,1064.3919,1,110.1543,CONTENDER,33.9425
18,2,BKR,Baker Hughes,Energy,Oil Equipment & Services,large,65.47,100.0,-0.0379,-0.0104,-0.1528,FLAT,37.71,78.36,105.79,-16.86,57.6,35.1,0.9856,LOW,-,66.2066,62.5849,52.6949,1,128.593,LEADER,32.7168
19,0,INSM,Insmed Incorporated,Health Care,Biotechnology,large,107.41,100.0,-0.0847,-0.2044,-0.2013,FLAT,-45.59,56.78,320.56,-52.06,54.4,70.57,1.2724,MED,EARLY,124.9555,139.2968,156.0446,0,43.7698,LAGGARD,32.3491
20,3,DDOG,Datadog,Technology,Computer Software,large,215.15,65.91,0.0662,0.6069,0.6041,FLAT,19.36,85.01,77.38,-48.62,47.6,83.41,1.2782,MED,-,166.3885,139.4642,140.6935,1,48.514,CONTENDER,31.785
21,-3,AVGO,Broadcom,Technology,Semiconductors,large,411.07,63.64,0.0045,-0.0588,0.0535,FLAT,20.45,78.87,196.65,-28.67,54.4,41.81,0.8623,LOW,-,420.034,372.3909,347.0978,1,102.6167,CONTENDER,31.1612
22,-1,ASML,ASML Holding,Technology,Industrial Machinery,large,1459.4399,70.45,-0.0634,-0.0784,-0.1887,STRONG_UP,43.58,96.44,58.04,-17.85,56.4,48.96,0.7959,LOW,-,1477.7903,1420.9508,1160.4097,1,111.097,CONTENDER,29.8964
23,4,ARM,Arm Holdings,Technology,Semiconductors,large,223.15,61.36,0.027,0.2144,0.5782,STRONG_DOWN,59.1,70.29,102.02,-41.47,52.4,82.46,1.3782,MED,-,213.37,171.9357,144.8266,1,44.6674,CONTENDER,27.0538
