rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
1,0,SNDK,Sandisk,Technology,Electronic Components,large,1980.1,100.0,0.2151,0.395,1.5674,STRONG_DOWN,719.54%,4559.06%,5400.28%,-31.34%,60.00%,96.57%,0.7312,LOW,-,1623.759,1293.355,573.0593,1,2832.5932,LEADER,539.9018
2,0,WDC,Western Digital,Technology,Electronic Components,large,562.925,97.73,0.0775,0.1141,0.7206,STRONG_DOWN,200.93%,913.38%,840.14%,-20.59%,62.40%,70.77%,0.8083,LOW,-,518.0101,449.0192,253.6147,1,805.3507,LEADER,157.9844
3,0,WBD,Warner Bros. Discovery,Consumer Discretionary,Miscellaneous Amusement & Recreation Services,large,26.98,100.0,0.0188,0.0133,-0.0372,STRONG_UP,-8.51%,168.99%,270.10%,-21.31%,48.00%,12.20%,0.6935,LOW,-,26.934,27.1082,24.8616,1,664.8906,LEADER,131.9923
4,1,STX,Seagate Technology,Technology,Electronic Components,large,931.04,93.18,0.0711,0.1199,1.0921,STRONG_DOWN,203.76%,640.98%,826.58%,-21.00%,58.00%,66.42%,0.8063,LOW,-,851.039,714.0074,403.5891,1,559.7198,LEADER,112.8163
5,-1,MU,Micron Technology,Technology,Semiconductors,large,981.61,95.45,0.0432,0.2279,0.976,STRONG_DOWN,280.10%,751.18%,590.58%,-30.28%,56.80%,93.65%,0.7874,LOW,-,893.1275,677.6468,381.575,1,455.5986,LEADER,97.8421
6,0,EA,Electronic Arts,Consumer Discretionary,Miscellaneous Amusement & Recreation Services,large,203.27,81.25,-0.0039,0.0318,0.0034,FLAT,-0.00%,37.44%,50.97%,-7.46%,53.60%,3.95%,0.8904,LOW,-,201.9704,202.0797,198.2912,1,508.042,LEADER,97.1128
7,2,INTC,Intel,Technology,Semiconductors,large,124.57,90.91,0.1388,0.0375,1.4755,FLAT,215.29%,518.52%,311.56%,-24.17%,52.00%,93.87%,1.1494,MED,-,113.679,95.6858,53.5036,1,287.2383,LEADER,72.5279
8,-1,LRCX,Lam Research,Technology,Industrial Machinery,large,366.81,84.09,0.1397,0.1891,0.4251,STRONG_DOWN,117.68%,312.75%,259.73%,-20.01%,59.60%,64.36%,0.9208,LOW,-,317.56,285.9288,204.2544,1,289.6233,LEADER,62.5117
9,-1,AMAT,Applied Materials,Technology,Semiconductors,large,567.25,81.82,0.1617,0.2521,0.3939,STRONG_DOWN,110.53%,234.96%,142.82%,-21.37%,59.20%,58.39%,1.0354,MED,-,467.812,426.8725,308.5939,1,238.2212,LEADER,59.3605
10,2,AMD,Advanced Micro Devices,Technology,Semiconductors,large,511.57,88.64,0.0525,0.1005,1.3556,STRONG_DOWN,131.03%,340.40%,219.93%,-27.76%,55.60%,77.49%,0.8181,LOW,-,481.9735,386.7798,253.9316,1,244.2419,LEADER,57.2785
11,0,MRVL,Marvell Technology,Technology,Semiconductors,large,279.7,86.36,-0.0237,0.4949,1.809,STRONG_DOWN,213.14%,317.41%,286.14%,-26.36%,54.80%,100.42%,1.1679,MED,-,233.66,182.992,108.4535,1,173.2119,LEADER,48.7312
12,-2,KLAC,KLA Corporation,Technology,Electronic Components,large,254.54,79.55,0.2166,0.3093,0.5253,STRONG_DOWN,104.78%,195.25%,211.51%,-22.41%,60.80%,59.97%,0.8903,LOW,-,200.9388,186.302,140.8992,1,197.9535,LEADER,46.3812
13,1,ASML,ASML Holding,Technology,Industrial Machinery,large,1863.55,75.0,0.0746,0.1391,0.111,FLAT,66.55%,146.80%,80.09%,-17.85%,57.20%,54.01%,1.3889,MED,-,1657.032,1536.0868,1241.8727,1,155.4713,LEADER,41.8935
14,8,ARM,Arm Holdings,Technology,Semiconductors,large,380.81,77.27,0.1085,0.6295,1.8824,STRONG_DOWN,179.72%,180.94%,140.94%,-41.47%,53.60%,106.76%,1.5155,HIGH,-,324.1435,243.0001,162.2666,1,90.8413,LEADER,41.3175
15,-2,GOOGL,Alphabet Inc. (Class A),Technology,Computer Software,large,359.68,70.45,-0.002,-0.1483,-0.1534,STRONG_UP,15.27%,106.51%,106.93%,-20.37%,54.00%,35.88%,0.8347,LOW,-,376.2506,362.0613,307.5641,1,160.2951,CONTENDER,39.6738
16,-1,GOOG,Alphabet Inc. (Class C),Technology,Computer Software,large,358.16,68.18,0.0005,-0.1433,-0.154,STRONG_UP,14.32%,104.22%,104.20%,-20.75%,53.20%,35.16%,0.834,LOW,-,373.0534,359.2883,307.132,1,157.694,CONTENDER,39.2862
17,1,ROST,Ross Stores,Consumer Discretionary,Clothing/Shoe/Accessory Stores,large,240.13,93.75,0.0574,0.1466,0.1457,FLAT,31.66%,83.78%,68.18%,-7.79%,57.20%,30.25%,1.0031,MED,-,226.9148,224.5638,188.6366,1,158.413,LEADER,38.5807
18,-2,MPWR,Monolithic Power Systems,Technology,Semiconductors,large,1577.3199,72.73,0.0208,-0.0684,0.2202,FLAT,61.30%,136.15%,96.03%,-22.45%,53.60%,60.26%,0.7696,LOW,-,1570.6655,1519.2166,1128.8627,1,121.1016,CONTENDER,32.612
19,2,DDOG,Datadog,Technology,Computer Software,large,229.9,65.91,0.0015,0.0964,0.5697,STRONG_DOWN,53.37%,90.87%,92.32%,-48.62%,47.20%,84.08%,1.0023,MED,-,231.4025,177.1788,149.5932,1,51.0103,CONTENDER,31.3037
20,-1,CSCO,Cisco,Telecommunications,Computer Communications Equipment,large,121.1,100.0,-0.0844,0.0629,0.7263,STRONG_DOWN,54.42%,93.30%,180.33%,-13.57%,56.80%,42.04%,0.6231,LOW,-,120.81,101.9812,81.1124,1,126.0601,LEADER,30.2231
21,6,ADI,Analog Devices,Technology,Semiconductors,large,417.79,63.64,0.0436,-0.0641,0.1007,FLAT,48.29%,88.15%,84.02%,-15.73%,55.20%,41.29%,0.7063,LOW,-,410.5951,392.4717,305.449,1,117.849,CONTENDER,29.2853
22,-5,AAPL,Apple Inc.,Technology,Computer Manufacturing,large,291.13,54.55,-0.0265,-0.0694,-0.1787,STRONG_UP,4.91%,48.78%,37.07%,-13.80%,54.00%,23.06%,0.812,LOW,-,303.881,285.3621,266.4564,1,114.2369,CONTENDER,28.5242
23,2,CSX,CSX Corporation,Industrials,Railroads,large,47.57,90.0,-0.004,-0.0363,0.2147,FLAT,28.86%,50.19%,50.55%,-11.89%,56.00%,24.60%,0.8572,LOW,-,46.3126,44.7638,38.5702,1,114.2602,LEADER,28.0519
24,6,MAR,Marriott International,Consumer Discretionary,Hotels/Resorts,large,402.54,87.5,0.0279,0.1596,0.242,STRONG_DOWN,36.31%,59.26%,70.56%,-12.65%,51.20%,27.04%,0.7559,LOW,-,378.6966,365.1844,315.5478,1,112.2114,LEADER,27.0012
25,-5,ODFL,Old Dominion Freight Line,Industrials,Trucking Freight/Courier Services,large,245.75,100.0,-0.0189,0.1757,0.364,STRONG_DOWN,55.05%,54.42%,43.89%,-26.06%,55.20%,36.62%,0.5178,LOW,-,226.2732,214.7314,174.4901,1,82.0368,LEADER,26.6409
26,-3,BKR,Baker Hughes,Energy,Oil Equipment & Services,large,63.14,100.0,0.0044,0.0178,0.0883,STRONG_DOWN,33.99%,64.52%,107.75%,-16.86%,57.20%,36.87%,0.8188,LOW,-,64.574,64.2564,54.5323,1,100.1013,LEADER,26.6349
27,-3,INSM,Insmed Incorporated,Health Care,Biotechnology,large,97.85,55.56,0.0396,-0.1415,-0.2269,STRONG_UP,-49.88%,-0.89%,58.77%,-56.54%,53.20%,73.33%,1.396,MED,EARLY,103.5175,124.6392,154.402,0,-0.6466,LAGGARD,25.1263
28,-2,APP,AppLovin,Technology,Computer Software,large,496.77,38.64,-0.1107,-0.0217,-0.2354,FLAT,-30.71%,36.29%,556.67%,-49.99%,54.00%,66.89%,0.9434,LOW,-,533.713,484.2184,541.8544,0,29.2982,WEAK,24.1322
29,-1,MNST,Monster Beverage,Consumer Staples,Soft Drinks,large,92.83,100.0,0.0181,0.0164,0.1114,FLAT,28.06%,47.21%,90.54%,-17.70%,57.20%,34.96%,0.8539,LOW,-,88.693,82.0198,75.5395,1,77.2413,LEADER,23.6602
