rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
1,0,SNDK,Sandisk,Technology,Electronic Components,large,1589.9399,100.0,0.1121,0.4767,1.1836,STRONG_DOWN,600.54,4021.15,4316.5,-31.34,59.6,97.61,0.6172,LOW,-,1393.43,1041.3504,472.0125,1,2455.2871,LEADER,470.0466
2,0,WDC,Western Digital,Technology,Electronic Components,large,530.6,97.73,0.1248,0.2475,0.6255,STRONG_DOWN,252.0,917.94,825.94,-20.59,62.4,67.92,0.7759,LOW,-,474.17,389.3064,225.847,1,843.3348,LEADER,164.838
3,1,MU,Micron Technology,Technology,Semiconductors,large,928.41,95.45,0.2387,0.7315,0.9797,STRONG_DOWN,314.94,867.59,604.7,-30.28,58.4,86.64,1.5157,HIGH,-,708.519,538.1059,330.3788,1,584.8051,LEADER,148.54
5,0,STX,Seagate Technology,Technology,Electronic Components,large,870.66,93.18,0.1296,0.3941,0.8736,STRONG_DOWN,245.12,651.56,837.35,-21.0,58.0,66.69,0.831,LOW,-,775.709,597.7526,359.6784,1,566.6597,LEADER,114.1036
7,0,INTC,Intel,Technology,Semiconductors,large,121.77,90.91,-0.0094,0.3312,1.4233,STRONG_DOWN,240.23,497.79,294.53,-24.17,52.8,88.0,0.7745,LOW,-,112.8465,79.5202,48.2014,1,298.6745,LEADER,66.3662
8,0,LRCX,Lam Research,Technology,Industrial Machinery,large,318.93,86.36,0.0623,0.1599,0.0803,FLAT,112.69,282.46,234.43,-20.01,60.4,60.59,0.8905,LOW,-,286.6335,260.007,190.4691,1,281.5747,LEADER,61.902
9,0,AMD,Advanced Micro Devices,Technology,Semiconductors,large,495.54,88.64,0.0775,0.4236,1.1776,STRONG_DOWN,130.43,339.07,188.76,-27.76,56.0,73.32,0.7173,LOW,-,422.9755,315.378,234.1477,1,258.9771,LEADER,59.9297
10,1,MRVL,Marvell Technology,Technology,Semiconductors,large,198.7,84.09,0.0341,0.1872,1.2519,STRONG_DOWN,137.43,208.46,155.2,-26.36,54.0,71.75,1.8947,HIGH,-,176.0055,142.0332,97.0989,1,156.8931,LEADER,49.4761
11,-1,AMAT,Applied Materials,Technology,Semiconductors,large,448.25,81.82,0.0218,0.0681,-0.0669,FLAT,94.61,179.43,105.95,-21.37,58.4,52.35,0.7464,LOW,-,421.6684,392.8484,289.212,1,200.1715,LEADER,47.2684
12,1,GOOGL,Alphabet Inc. (Class A),Technology,Computer Software,large,388.83,75.0,-0.0332,-0.0167,0.0105,STRONG_DOWN,22.22,126.37,122.25,-20.37,54.0,34.33,0.782,LOW,-,389.3625,344.5376,297.861,1,198.7823,LEADER,45.405
13,1,GOOG,Alphabet Inc. (Class C),Technology,Computer Software,large,384.83,70.45,-0.0332,-0.0231,-0.0076,STRONG_DOWN,21.0,122.72,117.95,-20.75,53.2,33.51,0.8702,LOW,-,385.971,342.1172,297.6502,1,194.8363,CONTENDER,44.2792
14,-2,KLAC,KLA Corporation,Technology,Electronic Components,large,1957.1899,79.55,0.0402,-0.0472,0.0303,FLAT,72.62,153.35,152.9,-22.41,61.2,51.85,0.9566,LOW,-,1819.3551,1712.6526,1335.7816,1,181.0045,LEADER,44.0832
