rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
3,1,WBD,Warner Bros. Discovery,Consumer Discretionary,Miscellaneous Amusement & Recreation Services,large,27.01,100.0,0.0035,0.0288,-0.0543,FLAT,13.11,170.91,234.28,-21.31,47.6,10.21,0.9188,LOW,-,27.115,27.2154,24.1131,1,796.8116,LEADER,154.8414
6,0,EA,Electronic Arts,Consumer Discretionary,Miscellaneous Amusement & Recreation Services,large,201.72,81.25,0.0116,0.028,0.0265,FLAT,0.18,40.85,55.12,-7.46,53.6,5.08,1.7727,HIGH,-,200.9101,201.8813,196.772,1,431.0169,LEADER,101.763
25,-6,ROST,Ross Stores,Consumer Discretionary,Clothing/Shoe/Accessory Stores,large,231.73,93.75,-0.0151,0.0475,0.1702,STRONG_DOWN,30.99,67.07,69.14,-11.84,56.0,32.78,3.408,HIGH,-,222.6055,221.4904,184.7531,1,114.5717,LEADER,33.389
35,-4,MAR,Marriott International,Consumer Discretionary,Hotels/Resorts,large,375.6,87.5,0.0244,0.0708,0.1611,STRONG_DOWN,23.77,43.62,67.14,-12.65,50.0,28.55,1.5664,HIGH,-,360.9621,352.4445,309.4172,1,76.3991,LEADER,25.0407
37,-1,AMZN,Amazon,Consumer Discretionary,Catalog/Specialty Distribution,large,270.64,75.0,0.0231,0.0513,0.321,STRONG_DOWN,18.1,32.01,50.93,-21.74,56.0,28.52,1.216,MED,-,268.7385,246.6696,231.5206,1,62.8588,LEADER,23.4558
50,-4,TSLA,"Tesla, Inc.",Consumer Discretionary,Automobiles & Parts,large,435.79,68.75,0.0299,0.1722,0.1028,FLAT,2.16,25.78,143.74,-29.93,53.2,40.26,0.7396,LOW,-,421.3945,391.795,412.128,1,34.0708,CONTENDER,19.1667
59,-3,SBUX,Starbucks,Consumer Discretionary,Restaurants,large,99.16,62.5,-0.0403,-0.0452,0.0531,FLAT,15.78,21.24,32.44,-18.53,49.2,31.21,1.0502,MED,-,104.3463,98.921,90.2238,1,33.4752,CONTENDER,16.434
60,1,WMT,Walmart,Consumer Discretionary,Department/Specialty Retail Stores,large,115.75,50.0,-0.0396,-0.1131,-0.0877,FLAT,6.73,18.23,81.72,-13.75,52.0,26.91,2.101,HIGH,-,127.3633,126.2572,114.6042,1,35.2292,CONTENDER,16.1026
62,-7,PCAR,Paccar,Consumer Discretionary,Motor Vehicles,large,110.37,56.25,0.0163,-0.0602,-0.1123,STRONG_UP,7.11,20.58,11.45,-15.29,46.0,28.01,1.3146,MED,-,112.2424,117.1112,109.62,1,33.7961,CONTENDER,16.0425
76,0,TTWO,Take-Two Interactive,Consumer Discretionary,Miscellaneous Amusement & Recreation Services,large,224.16,37.5,-0.0169,0.0789,0.0703,FLAT,-7.99,-0.94,40.29,-27.68,49.6,31.1,2.3355,HIGH,-,227.664,213.641,231.796,0,-1.4942,WEAK,12.667
79,2,ABNB,Airbnb,Consumer Discretionary,Diversified Commercial Services,large,133.31,43.75,0.0142,-0.0423,0.021,FLAT,14.19,3.34,-8.39,-21.54,54.0,30.03,1.004,MED,-,135.715,134.393,128.5877,1,6.0079,LAGGARD,11.2459
85,-5,NFLX,"Netflix, Inc.",Consumer Discretionary,Consumer Electronics,large,86.02,12.5,-0.0311,-0.0732,-0.1161,STRONG_UP,-18.96,-28.75,32.82,-43.35,46.4,30.84,0.9038,LOW,EARLY,88.0995,93.0388,101.2006,0,-43.2495,WEAK,8.8102
86,4,MELI,Mercado Libre,Consumer Discretionary,Catalog/Specialty Distribution,large,1695.65,6.25,0.0257,-0.0462,-0.0478,STRONG_UP,-16.61,-33.85,-0.25,-40.82,49.2,43.3,0.8582,LOW,PROGRESS,1679.325,1725.1762,2026.4181,0,-38.4609,WEAK,8.6557
91,0,BKNG,Booking Holdings,Consumer Discretionary,Transportation Services,large,167.43,18.75,0.0465,0.0247,0.026,FLAT,-14.42,-23.58,13.28,-33.35,50.0,39.17,1.0496,MED,PROGRESS,162.3295,170.4291,194.1464,0,-30.0935,WEAK,7.602
92,0,ORLY,O'Reilly Automotive,Consumer Discretionary,Auto & Home Supply Stores,large,86.88,31.25,-0.0549,-0.1181,-0.0878,FLAT,-14.41,-4.7,35.24,-19.42,52.0,27.53,1.7124,HIGH,EARLY,91.6995,92.0088,96.5612,0,-8.8814,WEAK,7.2797
97,-4,COST,Costco,Consumer Discretionary,Department/Specialty Retail Stores,large,956.32,25.0,-0.0719,-0.0481,-0.047,STRONG_DOWN,5.59,-7.54,18.56,-19.35,47.6,21.0,3.1604,HIGH,-,1024.1885,1006.5629,955.0701,1,-17.101,LAGGARD,4.6922
101,-1,CPRT,Copart,Consumer Discretionary,Retail,large,32.77,0.0,-0.0322,0.0176,-0.1467,FLAT,-15.43,-36.34,-37.62,-37.26,47.2,23.07,1.9288,HIGH,EARLY,33.2725,33.2084,39.5976,0,-74.3583,WEAK,-0.1551
