rank,delta_rank,ticker,name,sector,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
1,0,ARE.TO,AECON GROUP INC,Uranium,mid,53.04,97.83,-0.0263,0.1249,0.4922,STRONG_DOWN,84.08,201.3,231.5,-21.01,57.6,37.83,1.0635,MED,-,49.466,44.6609,31.6683,1,306.503,LEADER,70.9414
2,0,EFR.TO,ENERGY FUELS INC,Uranium,large,29.27,100.0,-0.0051,0.1215,0.0197,FLAT,33.17,340.81,246.8,-51.09,52.0,82.12,1.2384,MED,-,28.9665,27.2102,23.8689,1,215.8097,LEADER,68.4812
3,0,OKLO,OKLO INC,Uranium,large,72.51,86.96,0.058,0.4148,0.0513,FLAT,-32.07,158.13,297.75,-73.83,50.8,93.94,0.9398,LOW,SHIFT,68.567,60.8224,86.495,0,85.5145,LAGGARD,44.5632
4,0,SSW.JO,SIBANYE STILLWATER LTD,Uranium,large,5631.0,84.78,0.1347,0.073,-0.1373,STRONG_UP,21.36,146.49,153.59,-43.75,54.22,67.05,0.5292,LOW,-,5310.25,5475.6027,5250.0574,1,118.4594,LEADER,41.4141
5,1,UEC,URANIUM ENERGY CORP,Uranium,large,15.16,93.48,0.024,0.0923,-0.0457,FLAT,24.06,165.96,108.53,-39.97,50.8,70.49,0.7812,LOW,-,14.7855,14.0962,13.4892,1,119.6059,LEADER,39.5556
6,1,1164.HK,CGN MINING CO LTD,Uranium,large,4.04,89.13,-0.0025,-0.1051,-0.0325,FLAT,3.32,158.14,74.29,-30.04,50.0,65.3,0.7365,LOW,-,4.12,4.2292,3.4926,1,121.0892,LEADER,36.1341
7,2,URG,UR-ENERGY INC,Uranium,mid,1.74,82.61,-0.0169,0.1319,0.1209,FLAT,37.01,145.07,-3.33,-45.71,49.2,64.25,0.7124,LOW,-,1.721,1.5874,1.5335,1,111.089,LEADER,35.6898
8,0,CCO.TO,CAMECO CORP,Uranium,large,159.98,78.26,-0.0077,-0.0406,0.0631,FLAT,23.84,126.72,124.84,-24.86,54.4,54.39,0.7726,LOW,-,163.7275,157.7602,135.9979,1,126.7423,LEADER,35.0177
9,4,URC.TO,URANIUM ROYALTY CORP,Uranium,mid,5.49,69.57,0.0588,0.0765,0.05,FLAT,3.98,104.85,52.92,-38.43,50.4,57.73,1.2821,MED,-,5.184,5.1042,5.2107,1,91.5378,CONTENDER,32.6514
10,0,DML.TO,DENISON MINES CORP,Uranium,mid,5.12,80.43,0.003,0.0104,0.0368,STRONG_DOWN,41.83,135.94,75.34,-29.2,51.2,58.08,0.862,LOW,-,5.2135,5.136,4.252,1,119.841,LEADER,31.8533
11,1,URA,GLOBAL X URANIUM ETF,Uranium,small,55.18,73.91,0.0085,0.0547,0.0902,STRONG_DOWN,22.64,112.86,86.77,-28.43,55.2,52.02,1.2803,MED,-,55.252,51.9768,47.5716,1,119.7644,CONTENDER,31.6205
12,-7,LEU,CENTRUS ENERGY CORP-CLASS A,Uranium,mid,207.33,76.09,0.003,0.0793,-0.1817,FLAT,-25.36,121.51,371.1,-61.35,51.2,91.33,0.7506,LOW,SHIFT,205.8525,198.8286,251.598,0,68.117,LAGGARD,31.0934
13,-2,NXE.TO,NEXGEN ENERGY LTD,Uranium,large,16.61,71.74,-0.0195,0.0245,0.1331,STRONG_DOWN,40.17,108.41,50.86,-22.39,51.2,49.28,0.9708,LOW,-,16.9245,16.5596,13.7059,1,112.6302,CONTENDER,30.0262
14,0,SLX.AX,SILEX SYSTEMS LTD,Uranium,mid,5.84,67.39,0.031,-0.0132,-0.058,STRONG_UP,-37.94,97.97,-4.73,-53.38,53.36,80.08,0.8528,LOW,-,5.976,5.7944,6.5425,0,65.2781,LAGGARD,29.1086
15,6,BHP.AX,BHP GROUP LTD,Uranium,large,57.95,54.35,0.0556,0.0454,0.2726,FLAT,37.33,60.8,47.2,-18.98,54.15,33.41,0.8786,LOW,-,55.7815,53.4569,45.8207,1,98.5394,CONTENDER,26.7044
