rank,delta_rank,ticker,name,sector,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
1,0,EFR.TO,ENERGY FUELS INC,Uranium,large,25.45,100.0,0.0463,-0.03,-0.031,STRONG_UP,28.8,239.79,184.04,-51.09,51.6,83.11,0.9141,LOW,-,27.484,26.7502,24.5687,1,148.8747,LEADER,50.1175
2,0,ARE.TO,AECON GROUP INC,Uranium,mid,46.4,95.56,-0.0686,0.0397,0.3756,STRONG_DOWN,83.1,149.92,192.91,-21.01,56.8,40.21,0.522,LOW,-,50.244,46.6118,33.283,1,211.7753,LEADER,46.5632
3,1,OKLO,OKLO INC,Uranium,large,68.7,55.56,0.1706,-0.0013,0.1829,FLAT,-22.08,27.46,536.7,-73.83,49.2,99.06,1.5516,HIGH,SHIFT,68.274,61.759,85.9167,0,13.6377,LAGGARD,37.3698
4,3,UEC,URANIUM ENERGY CORP,Uranium,large,13.51,91.11,0.0755,-0.0293,0.0113,FLAT,23.94,105.32,80.37,-40.86,50.0,77.01,1.0031,MED,EARLY,14.3415,14.0238,13.7568,0,68.3802,LAGGARD,32.7635
5,9,URG,UR-ENERGY INC,Uranium,mid,1.63,77.78,0.0278,0.0161,0.1002,FLAT,39.32,75.27,-9.44,-45.71,48.4,69.41,1.8141,HIGH,-,1.715,1.6116,1.5554,1,52.4854,LEADER,30.3058
6,2,SSW.JO,SIBANYE STILLWATER LTD,Uranium,large,4974.0,86.67,-0.0208,0.0309,-0.0651,FLAT,-3.17,82.91,106.35,-43.75,53.01,68.15,0.7706,LOW,EARLY,5142.9,5209.83,5313.1043,0,64.4909,LAGGARD,29.694
7,2,DML.TO,DENISON MINES CORP,Uranium,mid,4.63,88.89,0.008,-0.0292,-0.0528,STRONG_UP,40.3,98.71,46.52,-29.2,51.6,57.47,0.7459,LOW,-,4.857,4.9644,4.3442,1,88.6299,LEADER,28.0572
8,2,SLX.AX,SILEX SYSTEMS LTD,Uranium,mid,6.21,82.22,0.0933,0.0841,-0.0008,STRONG_UP,-19.35,77.43,3.67,-53.38,52.96,75.95,0.5639,LOW,SHIFT,5.816,5.6968,6.6295,0,53.991,LAGGARD,27.2663
9,-3,BHP.AX,BHP GROUP LTD,Uranium,large,60.35,73.33,-0.014,0.184,0.2352,STRONG_DOWN,51.4,62.69,46.2,-18.98,54.55,33.65,0.6712,LOW,-,58.1205,54.8736,47.0958,1,101.6268,CONTENDER,26.7122
10,5,NXE.TO,NEXGEN ENERGY LTD,Uranium,large,15.18,75.56,-0.0234,-0.0126,0.0149,STRONG_DOWN,34.22,73.09,42.13,-22.98,51.6,50.24,1.0019,MED,-,16.1085,16.2114,14.0329,1,75.0686,LEADER,26.5253
11,1,LEU,CENTRUS ENERGY CORP-CLASS A,Uranium,mid,183.36,62.22,0.0261,-0.08,0.0175,FLAT,-24.15,43.41,259.74,-61.35,52.0,78.12,1.017,MED,EARLY,195.35,195.1928,249.3331,0,28.8934,LAGGARD,26.1217
12,-1,CCO.TO,CAMECO CORP,Uranium,large,149.47,84.44,-0.0206,-0.0158,0.0597,STRONG_DOWN,27.34,79.22,106.54,-24.86,53.2,53.93,0.7505,LOW,-,155.5915,155.9772,138.4553,1,78.1521,LEADER,25.3009
13,0,SASK.V,ATHA ENERGY CORP,Uranium,small,1.08,97.78,0.0546,0.1337,0.3605,STRONG_DOWN,63.64,160.24,44.0,-40.43,44.0,83.14,0.8637,LOW,-,1.0365,0.928,0.7673,1,84.804,LEADER,25.275
