rank,delta_rank,ticker,name,sector,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
1,0,ARE.TO,AECON GROUP INC,Uranium,mid,47.55,97.78,0.054,0.0101,0.5431,FLAT,68.67%,207.66%,198.23%,-21.01%,58.23%,36.36%,0.7839,LOW,-,44.7905,41.6153,30.0472,1,332.564,LEADER,69.4659
2,0,EFR.TO,ENERGY FUELS INC,Uranium,large,27.77,100.0,-0.0316,0.0155,-0.0156,FLAT,-7.09%,335.95%,277.82%,-51.09%,52.61%,98.00%,1.032,MED,-,26.648,27.2446,22.9356,1,180.3502,LEADER,61.3759
3,0,OKLO,OKLO INC,Uranium,large,71.0,93.33,0.0658,0.2511,-0.0227,FLAT,-43.06%,189.91%,454.25%,-73.83%,50.60%,97.24%,2.2386,HIGH,SHIFT,57.133,59.7386,86.0568,0,98.8242,LAGGARD,57.672
4,1,SSW.JO,SIBANYE STILLWATER LTD,Uranium,large,5317.0,77.78,-0.0154,-0.0609,-0.2272,STRONG_UP,9.59%,153.01%,139.67%,-43.75%,54.62%,67.67%,0.3681,LOW,-,5288.45,5670.292,5204.9215,1,123.5009,LEADER,42.2226
5,-1,CCO.TO,CAMECO CORP,Uranium,large,167.02,86.67,0.0136,0.0326,0.1317,STRONG_DOWN,35.62%,167.24%,148.84%,-24.86%,55.82%,56.66%,0.644,LOW,-,159.4745,157.489,133.0376,1,164.758,LEADER,41.2705
6,0,LEU,CENTRUS ENERGY CORP-CLASS A,Uranium,mid,205.63,95.56,0.0538,-0.057,-0.1554,STRONG_UP,-40.26%,192.21%,394.66%,-61.35%,51.81%,93.09%,0.8986,LOW,SHIFT,191.3945,197.5828,252.1988,0,106.9775,LAGGARD,39.5988
7,0,UEC,URANIUM ENERGY CORP,Uranium,large,14.05,84.44,-0.0492,-0.0441,-0.1196,FLAT,5.48%,159.23%,103.33%,-39.97%,51.41%,72.02%,0.8697,LOW,-,14.0185,14.266,13.1203,1,113.6596,LEADER,38.3037
8,0,1164.HK,CGN MINING CO LTD,Uranium,large,4.05,91.11,-0.0315,-0.032,0.1474,FLAT,18.42%,174.52%,108.78%,-30.04%,49.18%,71.10%,0.3985,LOW,-,4.152,4.382,3.4198,1,120.7145,LEADER,36.1539
9,0,NXE.TO,NEXGEN ENERGY LTD,Uranium,large,16.94,73.33,-0.0014,-0.0157,0.1398,FLAT,38.40%,130.16%,55.70%,-22.39%,51.81%,53.65%,0.8186,LOW,-,16.448,16.5442,13.3298,1,125.6989,CONTENDER,33.391
10,1,SLX.AX,SILEX SYSTEMS LTD,Uranium,mid,6.33,71.11,0.0751,0.0212,0.0126,STRONG_UP,-24.82%,129.35%,35.55%,-53.38%,54.37%,84.15%,0.4034,LOW,SHIFT,5.714,5.9852,6.4612,0,83.5727,LAGGARD,32.5906
11,-1,DML.TO,DENISON MINES CORP,Uranium,mid,5.2,80.0,-0.0166,0.0014,0.1509,STRONG_DOWN,31.98%,156.16%,87.73%,-29.20%,51.41%,67.02%,0.7514,LOW,-,5.1065,5.2196,4.1294,1,119.7861,LEADER,31.9104
12,0,URA,GLOBAL X URANIUM ETF,Uranium,small,55.31,75.56,0.0104,0.0651,0.1342,STRONG_DOWN,16.04%,131.34%,101.94%,-28.43%,56.63%,58.39%,0.6333,LOW,-,51.9325,51.5758,46.6858,1,127.3798,LEADER,30.3883
13,0,URG,UR-ENERGY INC,Uranium,mid,1.7,66.67,0.0178,0.0779,0.077,FLAT,10.39%,120.78%,0.59%,-45.71%,49.00%,70.62%,0.6967,LOW,-,1.5765,1.5586,1.5093,1,83.8032,CONTENDER,29.9521
14,1,PDN.AX,PALADIN ENERGY LTD,Uranium,large,12.61,68.89,-0.0607,-0.0223,0.0747,STRONG_DOWN,50.30%,123.19%,-4.18%,-28.43%,52.78%,71.30%,0.4486,LOW,-,12.515,12.3292,9.6749,1,91.1886,CONTENDER,28.3573
15,-1,URC.TO,URANIUM ROYALTY CORP,Uranium,mid,5.11,62.22,0.0477,-0.0122,-0.0585,STRONG_UP,-9.88%,97.30%,58.20%,-38.43%,49.80%,72.28%,1.1198,MED,PROGRESS,5.0415,5.209,5.122,0,67.0366,LAGGARD,28.0679
16,0,DYL.AX,DEEP YELLOW LTD,Uranium,mid,1.995,60.0,0.0363,-0.0093,-0.0328,STRONG_UP,14.00%,94.63%,50.57%,-44.50%,49.21%,83.48%,0.463,LOW,-,1.8852,2.0861,1.9263,1,55.7852,CONTENDER,25.2699
17,0,BHP.AX,BHP GROUP LTD,Uranium,large,56.1,46.67,0.031,-0.0014,0.3077,FLAT,32.91%,55.17%,42.20%,-18.98%,53.57%,35.40%,0.5434,LOW,-,53.955,52.7134,44.9636,1,83.4851,LAGGARD,23.3809
18,1,SASK.V,ATHA ENERGY CORP,Uranium,small,1.07,88.89,0.1155,0.3074,0.3715,STRONG_DOWN,55.07%,167.50%,46.58%,-40.43%,43.78%,99.85%,0.6876,LOW,-,0.8705,0.854,0.7233,1,73.4417,LEADER,23.0939
19,-1,7011.T,MITSUBISHI HEAVY INDUSTRIES,Uranium,large,4738.0,53.33,0.0751,-0.0828,0.1598,FLAT,7.67%,69.25%,257.64%,-18.50%,49.17%,45.20%,0.6994,LOW,-,4634.05,4724.0743,4179.9683,1,75.3339,CONTENDER,22.3219
20,0,BMN.AX,BANNERMAN ENERGY LTD,Uranium,mid,4.48,64.44,0.0349,0.085,0.199,STRONG_DOWN,40.88%,113.33%,27.64%,-34.17%,49.60%,87.88%,0.477,LOW,-,4.0405,4.0466,3.4927,1,63.966,CONTENDER,22.3041
21,0,SMR,NUSCALE POWER CORP,Uranium,mid,11.96,2.22,-0.0427,-0.0324,-0.2353,FLAT,-68.16%,-29.48%,97.36%,-82.86%,46.99%,100.01%,1.2814,MED,SHIFT,10.8905,11.9166,26.4048,0,-13.8518,WEAK,21.984
22,1,AEC,ANFIELD ENERGY INC,Uranium,small,5.4,55.56,-0.0386,-0.1371,-0.2523,STRONG_UP,-26.93%,80.00%,44.00%,-58.92%,39.76%,78.54%,0.1584,LOW,-,5.532,6.0078,6.5558,0,40.4991,LAGGARD,20.4414
23,1,MGA.TO,MEGA URANIUM LTD,Uranium,small,0.72,82.22,-0.0304,0.1664,0.2182,STRONG_DOWN,75.61%,157.14%,89.47%,-31.58%,39.76%,93.60%,0.358,LOW,-,0.6635,0.6438,0.4756,1,66.7521,LEADER,20.1033
24,-2,ISO.TO,ISOENERGY LTD,Uranium,mid,15.9,57.78,-0.0251,0.0287,0.1624,STRONG_DOWN,24.90%,81.92%,-5.36%,-29.99%,55.82%,80.92%,0.5033,LOW,-,15.3895,15.0604,13.0855,1,56.5113,CONTENDER,19.6567
25,2,AEC.V,ANFIELD ENERGY INC,Uranium,small,7.44,51.11,-0.0478,-0.1029,-0.2532,STRONG_UP,-33.21%,65.33%,24.00%,-60.29%,41.37%,91.66%,0.2633,LOW,-,7.737,8.3368,9.0917,0,29.4877,LAGGARD,18.5875
26,0,U-U.TO,SPROTT PHYSICAL URANIUM TR,Uranium,large,20.4,35.56,-0.0045,-0.0338,0.0691,FLAT,11.11%,37.37%,-3.55%,-22.78%,54.62%,40.57%,0.8236,LOW,-,20.33,20.2228,19.0596,1,50.3168,LAGGARD,18.524
27,-2,NNE,NANO NUCLEAR ENERGY INC,Uranium,mid,24.495,15.56,-0.0183,0.0388,-0.1383,FLAT,-42.35%,2.66%,371.97%,-66.45%,46.59%,84.75%,0.9128,LOW,SHIFT,22.7068,23.5453,32.8987,0,1.463,WEAK,18.4638
28,1,YCA.L,YELLOW CAKE PLC,Uranium,mid,600.5,37.78,0.0056,-0.1012,0.0269,FLAT,13.95%,39.98%,-4.76%,-22.37%,48.61%,34.04%,0.5572,LOW,-,601.55,610.71,569.073,1,57.0877,LAGGARD,17.5771
29,-1,8001.T,ITOCHU CORP,Uranium,large,1940.0,33.33,0.0057,-0.1699,0.0885,FLAT,14.78%,36.35%,47.67%,-14.04%,53.72%,33.75%,0.5135,LOW,-,2004.8,2062.7857,1826.907,1,57.8642,LAGGARD,16.6842
