rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
4,0,GTLS,CHART INDUSTRIES INC,Industrials,,mid,207.24,55.19,-0.0234,0.0645,-0.0172,FLAT,3.83,32.03,27.1,-26.69,53.6,1.73,1.4514,MED,-,207.091,207.1746,195.9374,1,992.2268,CONTENDER,208.7203
9,0,PL,PLANET LABS CLASS A,Industrials,,mid,35.37,100.0,0.2882,0.5009,0.6841,STRONG_DOWN,196.48,823.5,1309.16,-29.01,52.4,95.72,1.8771,HIGH,-,27.0995,25.6628,14.6694,1,450.8079,LEADER,115.1508
21,-1,BE,BLOOM ENERGY CLASS A CORP,Industrials,,large,150.22,99.59,-0.1228,-0.0768,0.6209,STRONG_DOWN,117.14,574.24,1290.93,-45.94,54.8,99.35,0.6122,LOW,-,155.199,152.4896,92.3021,1,316.7407,LEADER,77.9048
23,-1,NVRI,ENVIRI CORP,Industrials,,small,18.79,91.7,0.007,0.1175,0.0063,FLAT,56.71,164.28,119.51,-31.36,54.4,23.98,0.7428,LOW,-,18.1725,18.5888,14.0006,1,372.6688,LEADER,76.3568
24,-1,FIX,Comfort Systems USA,Industrials,Construction & Engineering,large,1470.64,97.93,-0.0059,0.0792,0.5021,STRONG_DOWN,86.02,326.72,365.19,-14.21,59.2,51.93,0.5711,LOW,-,1402.801,1298.409,909.8425,1,372.4616,LEADER,75.6304
31,-1,GEV,GE Vernova,Industrials,Heavy Electrical Equipment,large,923.69,94.19,0.0291,0.1199,0.3762,STRONG_DOWN,47.12,191.6,606.38,-17.93,55.6,41.02,1.0261,MED,-,852.0166,791.1022,645.9048,1,259.7059,LEADER,62.3194
33,-1,STRL,STERLING INFRASTRUCTURE INC,Industrials,,large,452.92,97.1,0.0253,0.0597,0.4118,STRONG_DOWN,31.64,260.72,,-31.02,55.2,55.35,0.8881,LOW,-,419.4895,400.8008,328.5047,1,260.0134,LEADER,61.1528
36,-1,AMPX,AMPRIUS TECHNOLOGIES INC,Industrials,,mid,17.93,99.17,-0.0857,0.686,1.0341,STRONG_DOWN,61.68,485.95,600.39,-46.41,51.6,104.61,0.9706,LOW,-,16.422,13.3126,10.1098,1,239.6989,LEADER,59.6754
37,-1,RHLD,RESOLUTE HOLDINGS MANAGEMENT INC,Industrials,,small,164.33,98.76,-0.023,-0.0752,-0.2568,STRONG_UP,140.28,396.17,357.87,-50.93,52.4,98.53,1.4816,MED,-,158.608,181.9314,119.6684,1,210.6878,LEADER,58.4074
38,-1,TPC,TUTOR PERINI CORP,Industrials,,mid,78.37,95.85,0.0601,-0.0253,0.1204,FLAT,21.19,213.39,463.16,-24.13,55.6,50.81,1.0874,MED,-,72.8606,77.3101,63.8035,1,233.506,LEADER,58.2668
44,-3,AGX,ARGAN INC,Industrials,,mid,437.48,97.51,-0.1123,0.0539,0.2924,STRONG_DOWN,68.43,268.91,796.82,-24.96,56.0,67.83,1.1833,MED,-,456.0305,411.3277,304.6448,1,222.0132,LEADER,55.4765
46,-3,POWL,POWELL INDUSTRIES INC,Industrials,,mid,584.56,96.27,0.0889,0.1296,0.7049,STRONG_DOWN,99.34,216.61,320.44,-30.88,56.0,58.71,1.0054,MED,-,522.1965,505.1091,342.2093,1,206.6162,LEADER,53.9391
48,-3,CSGS,CSG SYSTEMS INTERNATIONAL INC,Industrials,,mid,80.12,55.6,-0.0191,0.074,0.0232,FLAT,23.19,32.33,66.29,-8.35,54.4,6.49,0.8316,LOW,-,79.6661,79.486,70.8895,1,270.9897,CONTENDER,53.0894
67,-4,NXT,NEXTPOWER INC CLASS A,Industrials,,large,130.42,95.02,0.0747,0.1842,0.4104,STRONG_DOWN,79.25,198.65,130.14,-23.27,52.4,62.16,1.0687,MED,-,113.0137,112.8653,85.4491,1,167.4583,LEADER,46.0187
75,-5,ALNT,ALLIENT INC,Industrials,,small,66.03,93.78,0.0528,0.0584,0.1633,STRONG_DOWN,48.64,183.44,95.99,-14.85,54.0,45.04,0.8956,LOW,-,63.6486,63.8689,50.971,1,219.9338,LEADER,45.0955
82,-5,TE,T1 ENERGY INC,Industrials,,small,6.68,98.34,-0.1575,-0.0111,-0.0839,FLAT,203.64,377.14,342.38,-48.09,49.2,110.08,0.4121,LOW,-,7.1675,7.459,4.1473,1,168.5631,LEADER,43.4682
84,-5,CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,large,719.04,87.14,0.0204,0.0028,0.2153,FLAT,53.85,113.69,107.61,-19.69,56.8,35.37,0.5756,LOW,-,710.764,703.5834,537.7228,1,182.58,LEADER,43.3418
89,-5,NPKI,NPK INTERNATIONAL INC,Industrials,,small,14.93,90.04,0.0382,0.1089,0.1996,STRONG_DOWN,34.14,145.96,108.52,-20.16,52.8,38.61,0.8272,LOW,-,13.9835,14.032,11.6067,1,199.6086,LEADER,42.1797
91,-3,VICR,VICOR CORP,Industrials,,mid,186.0,96.68,-0.0457,0.0082,0.6848,STRONG_DOWN,252.21,247.86,399.06,-26.3,58.0,82.11,0.9576,LOW,-,184.9425,170.4116,93.5201,1,175.0798,LEADER,41.7699
