rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
6,-1,SNDK,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals",large,614.47,100.0,-0.1405,-0.0025,1.5393,STRONG_DOWN,551.68,1062.01,1612.72,-43.99,57.2,110.75,0.8992,LOW,-,650.5955,598.0338,249.1478,1,548.5045,LEADER,120.7052
11,0,LASR,NLIGHT INC,Information Technology,,mid,64.94,99.47,-0.0188,0.0868,0.7338,STRONG_DOWN,131.6,685.25,413.65,-22.13,55.6,86.38,0.712,LOW,-,65.742,56.3023,35.5681,1,441.0718,LEADER,90.1258
12,3,WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",large,275.65,98.95,-0.0658,0.0322,0.6181,STRONG_DOWN,157.44,560.56,442.56,-27.13,62.8,85.09,0.8522,LOW,-,278.9301,270.3097,154.3468,1,413.7153,LEADER,88.5999
13,1,CIEN,Ciena,Information Technology,Communications Equipment,large,395.015,98.42,0.0231,0.213,0.7262,STRONG_DOWN,187.97,528.4,683.9,-17.73,61.6,75.88,0.8739,LOW,-,361.4118,311.6497,187.5437,1,428.963,LEADER,87.8244
18,2,VISN,VISTANCE NETWORKS INC,Information Technology,,mid,18.29,90.0,0.0263,0.0815,0.0933,STRONG_DOWN,16.57,230.14,1342.13,-45.49,53.6,34.75,0.492,LOW,-,17.766,18.2152,15.4386,1,354.9854,LEADER,79.1106
28,2,SEMR,SEMRUSH HOLDINGS INC CLASS A,Information Technology,,small,11.9302,51.58,-0.0063,0.0653,0.089,STRONG_DOWN,60.14,21.12,-8.61,-38.47,47.6,3.05,,LOW,-,11.917,11.8834,9.6944,1,329.5913,CONTENDER,67.2339
29,-1,MU,Micron Technology,Information Technology,Semiconductors,large,356.79,92.11,-0.1626,-0.0865,0.3273,STRONG_DOWN,127.74,292.67,202.12,-28.91,56.8,69.82,1.217,MED,-,409.3295,404.2534,237.1681,1,238.0942,LEADER,62.7637
30,-3,CIFR,CIPHER DIGITAL INC,Information Technology,,mid,14.175,97.89,0.0059,-0.085,-0.047,FLAT,21.57,458.07,166.7,-48.6,50.8,101.62,0.7047,LOW,-,14.7213,15.8139,12.9785,1,228.9904,LEADER,59.1085
38,-3,TTMI,TTM TECHNOLOGIES INC,Information Technology,,large,97.66,96.32,0.061,-0.0372,0.4276,FLAT,79.16,353.39,529.43,-23.26,55.6,84.52,0.506,LOW,-,98.7595,98.6888,66.0185,1,232.4708,LEADER,54.6247
39,-5,STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",large,381.94,95.79,-0.0775,-0.0128,0.4211,STRONG_DOWN,74.73,341.36,321.03,-23.95,56.0,80.95,0.6628,LOW,-,391.951,393.9894,257.1267,1,236.147,LEADER,54.5856
41,6,BELFB,BEL FUSE INC CLASS B,Information Technology,,mid,207.64,86.84,0.0116,-0.0506,0.2613,FLAT,45.61,169.29,251.12,-21.32,60.4,47.86,1.2678,MED,-,208.146,213.6914,157.7259,1,213.6519,LEADER,53.1444
42,-13,WULF,TERAWULF INC,Information Technology,,mid,15.195,96.84,0.0005,-0.0953,0.3166,FLAT,38.51,418.6,465.74,-31.74,53.6,101.18,0.7665,LOW,-,15.3573,15.1101,11.3278,1,221.7533,LEADER,53.1179
44,-1,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,large,300.2,91.05,0.0264,-0.0428,0.595,FLAT,126.2,251.67,171.04,-20.68,56.4,64.96,0.5592,LOW,-,302.2365,287.517,176.5948,1,218.5085,LEADER,50.7288
45,0,AEIS,ADVANCED ENERGY INDUSTRIES INC,Information Technology,,large,317.15,89.47,-0.0065,-0.005,0.5427,STRONG_DOWN,89.67,217.82,212.18,-20.99,58.4,57.72,0.5649,LOW,-,320.2665,299.0679,205.9715,1,220.3901,LEADER,50.1468
46,-6,VSAT,VIASAT INC,Information Technology,,mid,48.105,93.68,0.0311,0.0993,0.4508,STRONG_DOWN,67.03,319.4,165.64,-32.87,52.4,80.34,0.5997,LOW,-,47.3732,45.7859,32.9004,1,208.3206,LEADER,49.6803
63,-10,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,large,212.93,87.89,-0.0739,-0.0534,0.2844,STRONG_DOWN,66.66,186.71,124.43,-21.01,60.0,60.75,0.7848,LOW,-,221.8372,227.2445,154.8988,1,184.4081,LEADER,43.5512
64,1,HUT,HUT CORP,Information Technology,,mid,50.25,92.63,0.0529,-0.0285,0.034,FLAT,44.07,303.29,411.16,-38.62,54.4,102.88,0.8051,LOW,-,50.7045,53.9097,39.2849,1,160.3714,LEADER,43.443
68,18,NVTS,NAVITAS SEMICONDUCTOR CORP,Information Technology,,mid,8.99,95.26,0.0216,0.0005,0.2559,FLAT,38.1,340.69,96.29,-58.25,45.2,120.82,0.5843,LOW,-,9.3015,9.1774,8.4039,1,127.4542,LEADER,42.9172
69,-13,FORM,FORMFACTOR INC,Information Technology,,mid,101.58,90.53,0.0957,0.0943,0.8285,FLAT,185.34,241.79,127.69,-24.04,52.0,69.89,0.981,LOW,-,94.3395,88.7418,53.6449,1,179.8982,LEADER,42.7405
74,-20,GLW,Corning Inc.,Information Technology,Electronic Components,large,136.23,88.42,0.0877,-0.037,0.6045,FLAT,73.07,197.0,330.03,-23.01,58.0,68.6,0.7822,LOW,-,135.981,124.8914,86.4944,1,166.5602,LEADER,41.9872
75,20,SKYT,SKYWATER TECHNOLOGY INC,Information Technology,,small,27.845,91.58,0.0052,-0.0419,0.6396,FLAT,80.81,270.28,166.51,-42.64,46.8,74.98,0.4767,LOW,-,28.5293,29.8481,18.4635,1,168.6992,LEADER,41.9837
77,6,APLD,APPLIED DIGITAL CORP,Information Technology,,mid,25.72,94.21,-0.0144,-0.0474,0.0823,FLAT,13.86,321.64,491.84,-44.87,48.8,112.2,0.6108,LOW,-,27.1675,31.5753,23.9254,1,139.893,LEADER,41.4885
88,-24,AAOI,APPLIED OPTOELECTRONICS INC,Information Technology,,mid,98.81,97.37,0.1229,0.8955,1.4923,STRONG_DOWN,275.13,455.74,608.31,-47.64,50.0,178.69,0.9985,LOW,-,101.25,66.7924,37.3344,1,127.5216,LEADER,39.66
123,-25,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,large,340.33,85.26,-0.0531,-0.0393,0.3889,STRONG_DOWN,71.05,132.51,66.53,-21.37,56.8,53.34,0.74,LOW,-,352.3675,343.4506,244.1259,1,141.1083,LEADER,35.6156
125,14,CRDO,CREDO TECHNOLOGY GROUP HOLDING LTD,Information Technology,,large,97.24,84.74,-0.0659,-0.0957,-0.2735,STRONG_UP,-32.91,129.18,360.42,-48.76,54.0,86.09,0.5301,LOW,EARLY,108.204,119.6266,129.9538,0,81.0266,LAGGARD,35.5147
138,-65,VIAV,VIAVI SOLUTIONS INC,Information Technology,,mid,34.87,88.95,0.1033,0.2214,0.9919,STRONG_DOWN,183.73,206.15,263.99,-21.21,54.4,78.34,0.7257,LOW,-,32.0305,27.3734,16.9226,1,143.1494,LEADER,34.3264
139,-10,AEHR,AEHR TEST SYSTEMS,Information Technology,,small,35.1297,93.16,0.0118,-0.0625,0.674,FLAT,13.76,308.48,182.34,-42.31,50.4,124.42,0.701,LOW,-,38.7065,33.107,24.7594,1,124.9609,LEADER,34.2498
146,34,AVGO,Broadcom,Information Technology,Semiconductors,large,310.97,74.74,-0.0048,0.0218,-0.033,FLAT,-7.3,81.89,140.1,-25.26,55.2,36.87,0.4908,LOW,EARLY,324.2055,328.1502,325.852,0,122.6025,LAGGARD,33.299
153,-52,FN,FABRINET,Information Technology,,large,559.01,87.37,0.0983,0.049,0.2427,FLAT,54.87,170.58,191.51,-20.55,56.0,78.55,0.66,LOW,-,538.313,514.3134,410.5582,1,121.6073,LEADER,32.878
171,-19,DOCN,DIGITALOCEAN HOLDINGS INC,Information Technology,,mid,86.03,85.79,0.0351,0.6407,0.8319,STRONG_DOWN,144.89,142.13,119.23,-27.55,50.8,70.74,1.2827,MED,-,69.8685,63.5634,44.2042,1,102.0692,LEADER,31.4712
180,-29,FSLY,FASTLY INC CLASS A,Information Technology,,mid,28.85,94.74,0.139,0.6615,1.8194,STRONG_DOWN,245.92,331.24,128.42,-35.49,49.2,162.29,0.9192,LOW,-,24.0278,16.8176,10.6221,1,100.4193,LEADER,30.9984
184,-18,JBL,Jabil,Information Technology,Electronic Manufacturing Services,large,266.09,80.0,0.0433,0.0337,0.2174,FLAT,26.68,91.18,96.51,-17.86,57.6,44.71,0.5343,LOW,-,258.834,255.2499,224.7228,1,117.4675,LEADER,30.7604
186,-18,KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,large,1453.55,84.21,-0.0364,0.0087,0.222,STRONG_DOWN,37.65,109.22,112.36,-22.41,60.0,58.5,0.635,LOW,-,1470.6525,1478.6117,1157.5249,1,112.025,LEADER,30.6811
192,31,RGTI,RIGETTI COMPUTING INC,Information Technology,,mid,14.3,69.47,-0.0453,-0.178,-0.3375,STRONG_UP,-55.45,68.83,830.38,-74.62,47.6,81.91,0.5109,LOW,EARLY,16.341,18.0991,22.3668,0,39.9996,LAGGARD,30.174
193,-2,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",large,177.0,77.37,0.1168,0.5125,0.467,FLAT,36.23,85.67,63.88,-32.34,52.4,65.02,1.1183,MED,-,155.091,133.0227,132.2343,1,69.0422,LEADER,30.1585
194,9,AMD,Advanced Micro Devices,Information Technology,Semiconductors,large,204.445,80.53,0.0096,0.0589,0.033,FLAT,26.77,91.7,13.9,-27.76,52.8,63.16,1.0968,MED,-,200.8658,214.3681,194.7728,1,76.6563,LEADER,29.9406
202,13,QBTS,D WAVE QUANTUM INC,Information Technology,,mid,14.6907,75.26,-0.0724,-0.2157,-0.3871,STRONG_UP,-44.23,82.27,603.1,-67.19,47.2,84.34,0.5366,LOW,EARLY,17.5375,20.2816,22.4685,0,46.0397,LAGGARD,29.4041
213,-83,SMTC,SEMTECH CORP,Information Technology,,mid,75.49,83.68,0.0198,-0.1109,0.0815,FLAT,22.49,104.3,170.71,-34.13,52.4,61.26,0.7008,LOW,-,83.2935,83.7888,67.0426,1,89.2178,LEADER,28.5276
