rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
83,-3,DHC,DIVERSIFIED HEALTHCARE TRUST,Real Estate,,small,6.985,100.0,0.0366,0.0381,0.3154,STRONG_DOWN,60.13,212.64,164.66,-15.7,53.01,44.08,0.48,LOW,-,7.0028,6.6151,4.842,1,255.7161,LEADER,51.8975
139,12,OUT,OUTFRONT MEDIA INC,Real Estate,,mid,27.32,98.78,0.0457,-0.0169,0.1108,FLAT,54.07,108.16,90.26,-11.25,53.41,29.96,0.26,LOW,-,26.9565,26.4137,21.0613,1,192.8147,LEADER,41.2922
164,12,CBL,CBL ASSOCIATES PROPERTIES INC,Real Estate,,small,41.01,96.34,0.0442,0.1486,0.0675,FLAT,40.6,86.23,109.87,-12.31,55.82,29.48,1.0096,MED,-,37.9548,36.9339,32.0061,1,163.2732,LEADER,38.9466
182,-20,AHR,AMERICAN HEALTHCARE REIT INC,Real Estate,,mid,47.14,95.12,-0.0096,-0.0511,-0.023,FLAT,16.48,73.92,269.99,-11.77,57.43,24.7,0.649,LOW,-,49.5569,49.7966,44.505,1,171.8747,LEADER,37.5105
305,8,KW,KENNEDY WILSON HOLDINGS INC,Real Estate,,small,10.91,93.9,-0.0149,0.0487,0.1135,STRONG_DOWN,33.42,62.39,43.35,-17.27,49.8,22.47,0.8474,LOW,-,10.7858,10.443,8.8258,1,138.2649,LEADER,30.3593
314,-15,WELL,Welltower,Real Estate,Health Care REITs,large,200.91,87.8,0.0102,0.0136,0.056,STRONG_DOWN,15.64,47.14,127.3,-12.61,59.84,21.86,0.4323,LOW,-,202.204,200.5405,180.7847,1,129.0467,LEADER,30.0567
384,-18,PLD,Prologis,Real Estate,Industrial REITs,large,132.35,84.15,0.0092,0.0218,-0.0089,FLAT,14.86,44.89,12.24,-9.59,54.62,21.5,0.4313,LOW,-,131.5299,133.8909,120.3048,1,114.036,LEADER,27.0468
405,52,HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,large,19.23,90.24,0.0065,0.0408,0.0371,FLAT,17.17,57.13,4.21,-9.48,49.8,26.06,0.8071,LOW,-,18.8662,19.1092,17.0974,1,109.1831,LEADER,26.244
412,-3,XHR,XENIA HOTELS RESORTS REIT INC,Real Estate,,small,14.72,92.68,-0.0057,0.015,-0.0048,FLAT,12.33,61.14,3.35,-16.23,51.81,29.05,0.5557,LOW,-,14.5685,14.9924,13.7574,1,109.0435,LEADER,25.8039
427,56,SPG,Simon Property Group,Real Estate,Retail REITs,large,190.23,78.05,0.0247,0.0178,0.0154,STRONG_UP,5.16,39.32,39.55,-11.54,52.61,21.33,0.5985,LOW,-,186.5715,190.9363,177.069,1,96.9815,LEADER,25.431
497,15,DLR,Digital Realty,Real Estate,Data Center REITs,large,181.99,75.61,0.0203,0.0701,0.1408,STRONG_DOWN,4.73,37.04,34.75,-16.83,53.41,23.16,0.5062,LOW,-,178.363,174.3435,166.854,1,85.4285,LEADER,23.411
512,34,IRM,Iron Mountain,Real Estate,Other Specialized REITs,large,104.36,79.27,0.0507,0.0305,0.222,FLAT,1.44,39.32,41.23,-25.15,54.62,34.71,0.3758,LOW,-,103.4095,101.8149,95.1987,1,61.8803,LEADER,23.1525
517,-8,GNL,GLOBAL NET LEASE INC,Real Estate,,mid,9.32,81.71,-0.0064,0.0366,0.0466,STRONG_DOWN,19.16,43.94,58.23,-13.05,46.99,21.31,0.4648,LOW,-,9.3785,9.4974,8.1142,1,96.8894,LEADER,23.0155
522,-3,JOE,ST JOE,Real Estate,,mid,64.95,89.02,0.0182,-0.0266,0.0176,FLAT,32.51,51.64,14.4,-16.94,50.6,30.93,0.3581,LOW,-,66.163,67.6154,57.1319,1,84.4886,LEADER,22.9254
