rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
1,0,TERN,TERNS PHARMACEUTICALS INC,Health Care,,mid,52.62,100.0,-0.007,0.2188,0.4293,STRONG_DOWN,524.2,2466.83,854.99,-27.56,57.03,47.7,5.9245,HIGH,-,49.786,43.254,23.1554,1,2949.3349,LEADER,671.6299
2,1,FOLD,AMICUS THERAPEUTICS INC,Health Care,,mid,14.47,75.98,-0.0045,0.0377,0.0694,STRONG_DOWN,77.33,115.33,24.74,-26.56,49.0,2.61,0.3221,LOW,-,14.409,14.3546,10.2825,1,2165.1503,LEADER,399.1221
4,1,CELC,CELCUITY INC,Health Care,,mid,115.56,98.43,0.0073,0.0493,0.1565,STRONG_DOWN,141.73,1307.55,489.59,-27.68,56.22,51.53,0.8377,LOW,-,111.798,110.145,75.0724,1,1426.5585,LEADER,271.239
6,1,PRAX,PRAXIS PRECISION MEDICINES INC,Health Care,,mid,306.69,98.03,-0.0533,0.0232,0.1799,STRONG_DOWN,501.59,972.34,471.22,-36.33,54.62,58.87,0.6048,LOW,-,301.787,313.6478,177.193,1,902.1464,LEADER,177.952
7,1,COGT,COGENT BIOSCIENCES INC,Health Care,,mid,35.62,97.24,-0.0797,-0.0076,0.0802,STRONG_DOWN,124.03,760.39,446.32,-20.73,51.0,50.62,1.1344,MED,-,35.538,36.8192,25.0087,1,766.0946,LEADER,164.9343
9,1,KOD,KODIAK SCIENCES INC,Health Care,,mid,41.79,99.61,0.0912,0.6555,0.7244,STRONG_DOWN,185.26,1928.64,874.13,-32.4,55.42,170.65,1.2443,MED,-,29.52,26.7332,18.1413,1,626.3421,LEADER,145.2494
10,1,TNGX,TANGO THERAPEUTICS INC,Health Care,,mid,19.8,99.21,-0.0587,0.2343,1.1037,STRONG_DOWN,161.21,1536.36,166.49,-27.15,51.81,111.87,0.5466,LOW,-,19.1715,15.252,9.762,1,711.5312,LEADER,143.1891
11,1,ORKA,ORUKA THERAPEUTICS INC,Health Care,,mid,60.6,97.64,0.2304,0.8316,1.3326,STRONG_DOWN,198.08,793.81,212.99,-17.81,55.82,76.88,2.3773,HIGH,-,43.6085,37.5854,25.7618,1,576.3555,LEADER,138.9304
12,1,ERAS,ERASCA INC,Health Care,,mid,17.06,98.82,0.0493,0.1132,3.7558,STRONG_DOWN,632.19,1509.43,661.61,-31.65,53.41,120.39,0.5944,LOW,-,15.22,13.5955,5.4038,1,669.6476,LEADER,136.7755
13,1,HOLX,Hologic,Health Care,Health Care Equipment,large,76.01,42.52,0.001,0.0343,0.073,STRONG_DOWN,11.42,30.02,-1.77,-11.09,51.21,2.66,23.2153,HIGH,-,75.4715,75.2854,71.2777,1,577.9517,LAGGARD,132.5598
18,1,ARWR,ARROWHEAD PHARMACEUTICALS INC,Health Care,,mid,61.18,96.46,-0.0294,0.0391,-0.0833,FLAT,63.15,512.41,138.05,-24.64,57.43,52.36,0.3995,LOW,-,58.558,62.2563,43.8079,1,562.0291,LEADER,112.8159
21,1,RLAY,RELAY THERAPEUTICS INC,Health Care,,mid,13.48,96.85,0.3497,0.3601,0.706,STRONG_DOWN,141.14,574.0,87.48,-19.55,54.62,73.88,1.6814,HIGH,-,10.4875,9.5562,6.5939,1,424.3622,LEADER,105.0683
25,2,TYRA,TYRA BIOSCIENCES INC,Health Care,,mid,37.73,94.88,-0.02,0.1486,0.4853,STRONG_DOWN,180.94,434.42,120.64,-18.78,57.43,58.08,0.8646,LOW,-,37.1562,33.9047,20.5061,1,429.5575,LEADER,86.1796
27,2,STOK,STOKE THERAPEUTICS INC,Health Care,,small,33.78,95.28,0.0324,-0.0883,0.0152,FLAT,26.0,472.54,159.85,-37.16,56.63,66.16,0.5694,LOW,-,33.603,33.2954,26.1684,1,404.4751,LEADER,84.3202
30,2,KYMR,KYMERA THERAPEUTICS INC,Health Care,,mid,85.1,90.16,0.0166,0.0314,0.2146,STRONG_DOWN,47.87,304.28,133.98,-27.74,53.41,42.32,0.4637,LOW,-,80.609,81.6264,63.4928,1,384.0113,LEADER,79.8108
31,2,INBX,INHIBRX BIOSCIENCES INC,Health Care,,small,62.35,94.49,-0.0777,-0.1024,-0.128,STRONG_UP,78.35,433.36,398.53,-37.56,56.22,65.64,0.7211,LOW,-,65.9385,73.1602,54.1009,1,371.1701,LEADER,79.1383
33,2,INDV,INDIVIOR PHARMACEUTICALS INC,Health Care,,mid,30.47,87.4,-0.0055,-0.0354,-0.1053,STRONG_UP,34.05,234.47,43.12,-21.37,53.41,33.34,0.5867,LOW,-,30.47,32.43,27.64,1,375.6123,LEADER,78.0781
43,3,SYRE,SPYRE THERAPEUTICS INC,Health Care,,mid,51.2,91.73,0.01,0.2773,0.7442,STRONG_DOWN,207.14,333.9,37.89,-20.91,54.22,62.11,1.0874,MED,-,44.801,40.3212,26.5967,1,291.4823,LEADER,68.2819
44,3,MBX,MBX BIOSCIENCES INC,Health Care,,small,30.19,94.09,0.0063,0.1112,0.108,FLAT,85.67,421.42,27.65,-37.6,52.61,89.69,1.9253,HIGH,-,29.225,33.1213,23.4285,1,247.1927,LEADER,68.2573
47,3,AMLX,AMYLYX PHARMACEUTICALS INC,Health Care,,small,16.27,92.91,0.1654,0.1677,0.4858,STRONG_DOWN,28.21,391.54,504.83,-27.93,52.21,71.13,1.0663,MED,-,14.2345,14.3373,12.1655,1,287.3941,LEADER,67.0113
51,3,DNTH,DIANTHUS THERAPEUTICS INC,Health Care,,mid,86.2,95.67,0.0221,0.1187,1.4373,STRONG_DOWN,150.15,480.08,265.56,-22.91,51.0,78.72,0.3211,LOW,-,81.5575,64.5904,40.5826,1,311.0279,LEADER,66.0801
