rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
55,-3,DAN,DANA INCORPORATED INC,Consumer Discretionary,,mid,38.93,98.66,0.0508,0.1186,0.3306,STRONG_DOWN,97.72,204.24,236.15,-14.68,54.0,36.41,0.4356,LOW,-,35.6235,34.2277,24.6772,1,302.9175,LEADER,61.4859
75,36,FIGS,FIGS INC CLASS A,Consumer Discretionary,,mid,16.51,100.0,0.0548,0.0035,0.5178,FLAT,99.4,308.66,243.24,-21.73,51.6,74.88,1.4387,MED,-,15.001,14.3954,10.1236,1,212.7007,LEADER,53.8098
151,18,VSCO,VICTORIA S SECRET,Consumer Discretionary,,mid,52.78,97.99,-0.0241,0.1242,-0.0509,FLAT,61.21,184.68,210.65,-35.55,52.0,63.28,0.3808,LOW,-,49.8985,51.9804,40.6493,1,151.7612,LEADER,40.7122
171,18,GTX,GARRETT MOTION INC,Consumer Discretionary,,mid,21.01,97.32,0.0759,0.0791,0.2201,STRONG_DOWN,41.97,134.04,118.15,-19.87,50.4,39.23,0.7186,LOW,-,19.1675,18.9977,16.0626,1,172.2105,LEADER,39.0507
179,-6,TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",large,145.89,93.96,-0.0281,-0.0356,0.2108,FLAT,27.76,114.87,285.79,-15.71,58.0,40.87,0.4645,LOW,-,147.059,148.2086,122.6626,1,163.0156,LEADER,38.5252
193,0,LINC,LINCOLN EDUCATIONAL SERVICES CORP,Consumer Discretionary,,small,39.11,95.3,-0.0272,-0.1098,0.5425,FLAT,68.58,125.03,292.28,-27.35,56.8,44.29,0.4999,LOW,-,40.747,37.7206,26.2109,1,160.344,LEADER,37.3616
214,-11,ROST,Ross Stores,Consumer Discretionary,Apparel Retail,large,226.37,79.19,0.014,-0.0109,0.2609,FLAT,45.13,63.64,74.85,-17.68,57.2,24.78,0.3917,LOW,-,221.839,212.6514,174.3515,1,146.9124,LEADER,35.8784
250,12,CALY,CALLAWAY GOLF COMPANY,Consumer Discretionary,,mid,15.31,95.97,0.0295,0.0786,0.047,FLAT,53.1,128.17,-2.61,-24.56,52.4,51.73,0.3461,LOW,-,14.375,13.9684,11.5973,1,129.8269,LEADER,33.5605
252,3,BKE,BUCKLE INC,Consumer Discretionary,,mid,56.15,85.23,0.026,0.0722,0.201,STRONG_DOWN,7.6,74.83,80.77,-17.92,52.0,26.74,0.3358,LOW,-,53.0336,52.0212,51.4772,1,145.5127,LEADER,33.3022
259,-22,APEI,AMERICAN PUBLIC EDUCATION INC,Consumer Discretionary,,small,55.65,96.64,-0.0634,-0.0981,0.3699,FLAT,55.49,132.26,306.5,-22.3,56.4,52.92,0.8685,LOW,-,58.034,52.4644,39.6333,1,140.9596,LEADER,33.01
271,-10,RSI,RUSH STREET INTERACTIVE INC CLASS,Consumer Discretionary,,mid,23.65,91.28,0.0518,0.0361,0.4354,FLAT,24.21,93.06,297.48,-29.47,52.8,42.31,0.3618,LOW,-,22.2675,20.8294,19.2435,1,116.1341,LEADER,32.2143
272,83,PHIN,PHINIA INC,Consumer Discretionary,,mid,73.69,88.59,0.0211,0.0079,0.1282,FLAT,36.89,84.3,100.44,-20.37,54.0,35.13,0.5891,LOW,-,70.83,70.2552,60.5352,1,129.5757,LEADER,32.1076
273,-17,GCT,GIGACLOUD TECHNOLOGY INC CLASS A,Consumer Discretionary,,small,46.74,99.33,-0.0447,0.0075,0.1633,STRONG_DOWN,68.19,250.9,28.55,-23.85,51.6,94.69,0.8953,LOW,-,45.846,42.7086,34.6547,1,136.725,LEADER,32.0591
296,-76,KSS,KOHLS CORP,Consumer Discretionary,,small,14.69,94.63,0.0277,0.0705,-0.1129,FLAT,-7.93,115.74,-30.96,-50.57,49.2,55.58,0.8649,LOW,-,13.796,14.7094,16.1135,0,102.4557,LAGGARD,30.1074
