rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
63,11,KALU,KAISER ALUMINIUM CORP,Materials,,mid,177.86,91.3,0.1762,0.4916,0.4295,FLAT,93.73,200.02,114.66,-26.03,56.8,54.56,1.7768,HIGH,-,141.219,131.6276,103.6833,1,208.2316,LEADER,59.0143
80,-15,PRM,PERIMETER SOLUTIONS INC,Materials,,mid,30.85,92.75,0.0651,0.3821,0.111,FLAT,42.03,202.45,342.61,-30.2,58.0,52.05,0.5988,LOW,-,26.4415,24.8912,23.7833,1,225.5938,LEADER,52.5812
96,-1,ECVT,ECOVYST INC,Materials,,small,13.82,85.51,0.0193,0.0063,0.2437,FLAT,64.13,135.84,39.6,-16.33,54.8,31.0,0.4771,LOW,-,13.5515,12.4068,9.969,1,240.1233,LEADER,49.583
97,-1,NGVT,INGEVITY CORP,Materials,,mid,76.41,84.06,0.0226,0.0141,0.0927,FLAT,35.55,132.39,59.62,-23.94,54.4,32.69,0.4254,LOW,-,73.5465,70.9592,59.7777,1,220.3134,LEADER,49.4995
102,-1,HL,HECLA MINING,Materials,,large,18.8,94.2,-0.0217,0.0369,-0.3963,FLAT,45.47,221.95,275.38,-45.95,53.6,76.22,0.4361,LOW,-,18.9625,20.2186,15.768,1,156.0817,LEADER,48.5137
105,13,CSTM,CONSTELLIUM SE CLASS A,Materials,,mid,31.38,97.1,0.0424,0.2534,0.3787,STRONG_DOWN,87.9,237.42,54.05,-15.96,52.4,56.11,0.5057,LOW,-,28.571,26.4062,19.2207,1,221.7211,LEADER,47.2931
112,-7,ALB,Albemarle Corporation,Materials,Specialty Chemicals,large,188.33,95.65,-0.0277,0.0225,-0.0287,FLAT,94.5,231.95,69.67,-20.05,56.8,67.11,0.6679,LOW,-,185.2865,176.0416,126.4136,1,196.3178,LEADER,46.5231
116,11,CDE,COEUR MINING INC,Materials,,large,19.31,98.55,-0.0181,0.1374,-0.2649,FLAT,1.74,240.56,300.62,-40.44,53.6,84.74,0.3418,LOW,-,19.2315,20.9276,17.5088,1,152.1625,LEADER,45.97
127,28,CENX,CENTURY ALUMINUM,Materials,,mid,60.74,100.0,-0.0039,0.1982,0.3361,STRONG_DOWN,102.87,261.76,244.92,-23.56,52.0,72.77,0.4581,LOW,-,62.358,56.2902,37.4142,1,187.0506,LEADER,43.2407
157,14,MYE,MYERS INDUSTRIES INC,Materials,,small,21.49,76.81,0.008,-0.0359,0.0478,FLAT,27.95,115.3,4.91,-12.38,56.0,33.09,0.441,LOW,-,21.4525,21.5015,18.3639,1,195.132,LEADER,40.5538
186,-37,NUE,Nucor,Materials,Steel,large,214.29,68.12,0.0656,0.2384,0.1999,FLAT,55.84,87.99,25.73,-18.43,54.4,29.98,0.627,LOW,-,187.3132,177.7554,157.7151,1,159.6583,CONTENDER,37.8558
198,51,NEM,Newmont,Materials,Gold,large,120.7,82.61,0.0571,0.158,-0.0632,FLAT,36.43,126.68,188.13,-27.25,60.4,57.92,0.961,LOW,-,113.6675,114.7075,94.112,1,132.0998,LEADER,36.9746
228,16,SSRM,SSR MINING INC,Materials,,mid,30.55,89.86,-0.0372,0.182,0.1182,FLAT,32.71,198.05,453.44,-30.88,56.8,87.39,0.3796,LOW,-,31.1485,29.5748,22.9434,1,128.7238,LEADER,35.2495
261,118,CC,CHEMOURS,Materials,,mid,26.61,78.26,0.1472,0.1763,0.6824,STRONG_DOWN,94.09,120.82,6.46,-39.78,54.4,71.59,1.2754,MED,-,22.791,20.2485,15.511,1,91.8067,LEADER,32.8878
269,42,MTRN,MATERION CORP,Materials,,mid,185.89,81.16,0.0334,0.2646,0.3588,STRONG_DOWN,41.13,124.61,58.27,-20.73,54.4,50.1,0.5736,LOW,-,163.0255,154.6158,128.9249,1,135.3065,LEADER,32.3514
316,36,UAMY,UNITED STATES ANTIMONY CORP,Materials,,small,9.74,88.41,-0.0789,0.0438,0.0149,FLAT,-16.97,186.47,3958.33,-74.3,48.8,136.46,0.8507,LOW,-,9.312,9.1594,7.2477,1,66.6845,LEADER,28.9791
329,29,TRS,TRIMAS CORP,Materials,,small,36.92,62.32,-0.0296,-0.0525,0.0593,FLAT,-6.2,73.97,44.08,-22.24,55.2,32.96,0.7506,LOW,-,37.09,36.8326,35.7121,1,123.8739,CONTENDER,28.6353
330,11,DD,DuPont,Materials,Specialty Chemicals,large,46.33,60.87,-0.0086,-0.0539,0.042,FLAT,37.46,72.03,56.66,-17.31,52.4,33.83,0.4545,LOW,-,46.3485,46.9537,38.8798,1,111.5643,CONTENDER,28.5897
