rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
176,59,ORA,ORMAT TECH INC,Utilities,,mid,133.39,98.08,0.0914,0.1986,0.1111,FLAT,18.51,83.56,84.36,-20.05,57.2,40.25,2.8661,HIGH,-,115.876,112.7953,108.0056,1,118.7531,LEADER,36.9968
212,-65,OKLO,OKLO INC CLASS A,Utilities,,mid,69.66,100.0,-0.0282,0.1262,0.0918,FLAT,-33.16,88.22,523.63,-73.83,50.0,94.22,1.2782,MED,-,70.8445,61.4322,86.4741,0,46.8157,LAGGARD,34.365
237,-1,TXNM,TXNM ENERGY INC,Utilities,,mid,59.35,44.23,0.0045,0.0392,0.01,FLAT,4.24,15.05,66.5,-2.3,52.0,4.65,0.5869,LOW,-,58.9241,58.5426,57.2838,1,168.2741,LAGGARD,32.2286
356,-77,EVRG,Evergy,Utilities,Electric Utilities,large,82.46,84.62,-0.0012,0.0378,0.0325,FLAT,9.01,33.58,61.58,-7.3,59.2,17.94,0.8441,LOW,-,81.891,81.9088,76.1356,1,110.8173,LEADER,25.652
370,34,AEP,American Electric Power,Utilities,Electric Utilities,large,127.95,86.54,-0.0198,-0.0167,0.0213,STRONG_DOWN,5.84,33.89,,-8.14,52.4,20.83,4.1311,HIGH,-,132.7604,131.7347,119.1228,1,85.2532,LEADER,24.9667
429,29,NJR,NEW JERSEY RESOURCES CORP,Utilities,,mid,57.19,80.77,0.0326,0.0491,0.0755,STRONG_DOWN,26.35,30.75,40.54,-8.68,56.0,17.14,0.7434,LOW,-,55.8775,55.3162,48.8739,1,100.4565,LEADER,22.4943
444,-37,EIX,Edison International,Utilities,Electric Utilities,large,70.62,82.69,0.0326,0.0163,0.0366,FLAT,25.32,32.7,4.54,-17.58,52.8,24.72,0.6017,LOW,-,69.586,70.7912,60.6528,1,69.8457,LEADER,21.8824
465,0,ETR,Entergy,Utilities,Electric Utilities,large,112.35,96.15,0.0056,0.0093,0.1099,STRONG_DOWN,18.16,43.12,113.84,-6.73,53.2,24.85,0.751,LOW,-,113.5674,110.1619,97.1545,1,92.3121,LEADER,21.4037
473,-35,SWX,SOUTHWEST GAS HOLDINGS INC,Utilities,,mid,88.72,88.46,-0.0204,-0.0001,0.0277,STRONG_DOWN,11.2,34.52,26.51,-6.72,52.0,18.88,0.5814,LOW,-,90.8755,89.2312,82.2275,1,95.0642,LEADER,21.1105
484,-14,NEE,NextEra Energy,Utilities,Multi-Utilities,large,94.85,92.31,0.0191,0.0661,0.0408,FLAT,12.11,35.3,33.15,-10.75,54.8,25.29,0.52,LOW,-,94.3085,92.9868,83.3705,1,76.4836,LEADER,20.8189
487,-79,SRE,Sempra,Utilities,Multi-Utilities,large,91.68,73.08,0.0039,-0.0154,-0.0043,FLAT,-0.57,26.2,27.25,-8.81,54.4,19.55,1.1054,MED,-,93.353,94.6129,88.9809,1,72.9153,CONTENDER,20.7175
493,-46,NWE,NORTHWESTERN ENERGY GROUP INC,Utilities,,mid,71.18,94.23,-0.015,-0.0054,0.0471,STRONG_DOWN,8.17,37.26,51.83,-10.09,56.8,24.59,0.7036,LOW,-,71.7085,69.4225,63.3929,1,86.0698,LEADER,20.5583
509,-41,NI,NiSource,Utilities,Multi-Utilities,large,47.05,75.0,0.0033,0.026,0.0499,STRONG_DOWN,8.49,27.53,72.53,-9.14,56.4,18.62,0.4861,LOW,-,47.5469,46.9446,43.4245,1,83.3776,LEADER,20.2551
514,-47,BKH,BLACK HILLS CORP,Utilities,,mid,74.05,90.38,-0.0135,-0.0085,0.0231,STRONG_DOWN,4.86,34.78,42.42,-10.45,57.6,23.91,0.4948,LOW,-,74.693,72.8216,67.3745,1,83.7902,LEADER,20.1742
589,9,ATO,Atmos Energy,Utilities,Gas Utilities,large,179.95,59.62,-0.0085,-0.0096,0.0198,FLAT,1.86,20.82,60.85,-7.2,58.0,15.89,,LOW,-,185.147,185.5926,172.9679,1,76.0049,CONTENDER,18.393
592,2,NWN,NORTHWEST NATURAL HOLDING COMPANY,Utilities,,mid,49.71,78.85,-0.0075,-0.0532,0.0091,FLAT,6.15,30.42,43.25,-11.98,56.4,25.53,0.9035,LOW,-,51.9661,52.4131,46.471,1,67.1952,LEADER,18.2661
