rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
227,-12,ANDE,ANDERSONS INC,Consumer Staples,,mid,71.46,98.36,0.0003,0.0202,0.1288,STRONG_DOWN,46.41,101.47,40.9,-14.09,57.2,41.01,0.6357,LOW,-,74.581,72.3573,55.2611,1,141.5272,LEADER,31.9298
241,-25,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,large,80.4,95.08,0.009,0.2285,0.2319,STRONG_DOWN,38.86,66.04,39.12,-12.79,51.2,29.27,1.1577,MED,-,75.396,72.4296,63.9171,1,115.5187,LEADER,30.8975
282,-38,ODC,OIL DRI CORPORATION OF AMERICA,Consumer Staples,,small,76.47,91.8,0.0019,0.0737,0.2905,STRONG_DOWN,35.27,60.12,97.65,-32.73,55.6,29.93,0.876,LOW,-,74.4168,69.2148,60.8023,1,111.6888,LEADER,28.3646
314,46,PSMT,PRICESMART INC,Consumer Staples,,mid,159.26,88.52,0.0165,0.0136,0.1032,FLAT,37.78,53.64,87.01,-10.62,56.4,30.37,1.0549,MED,-,157.7995,153.4422,132.5034,1,99.6232,LEADER,26.6596
343,-14,BG,Bunge Global,Consumer Staples,Agricultural Products & Services,large,122.45,90.16,-0.0276,0.056,0.0641,STRONG_DOWN,28.03,54.81,24.9,-15.39,48.4,27.48,0.6298,LOW,-,125.5245,124.5284,101.9139,1,96.5291,LEADER,25.1714
346,-76,UNFI,UNITED NATURAL FOODS INC,Consumer Staples,,mid,50.57,93.44,-0.0308,0.0634,0.3449,STRONG_DOWN,30.94,62.45,358.06,-32.49,50.4,40.89,0.6255,LOW,-,49.937,45.9142,37.4493,1,76.9716,LEADER,24.9875
355,23,COCO,THE VITA COCO COMPANY INC,Consumer Staples,,mid,78.44,100.0,0.0845,0.6526,0.4472,FLAT,81.87,120.21,198.71,-23.23,54.0,79.18,0.8951,LOW,-,63.1188,56.4746,48.8066,1,81.9844,LEADER,24.6481
390,49,MO,Altria,Consumer Staples,Tobacco,large,73.09,80.33,0.0672,0.1682,0.1763,STRONG_DOWN,30.9,32.84,84.11,-16.4,55.2,25.35,1.0989,MED,-,69.337,67.0522,62.3408,1,71.5185,LEADER,23.1537
407,-7,TR,TOOTSIE ROLL INDUSTRIES INC,Consumer Staples,,mid,40.52,77.05,-0.0047,-0.0256,0.0552,FLAT,7.14,28.27,46.78,-20.03,55.2,23.42,1.0984,MED,-,41.7785,42.204,39.0781,1,66.6263,LEADER,22.5403
410,-8,EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,large,80.28,75.41,-0.0282,0.0828,-0.2234,FLAT,-10.1,25.15,-39.67,-43.62,52.4,49.76,0.6111,LOW,SHIFT,80.1965,79.19,93.4149,0,26.4825,LAGGARD,22.3896
417,-32,MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,large,87.09,85.25,0.0098,0.1644,0.11,FLAT,22.52,38.55,61.01,-17.7,56.0,36.95,1.074,MED,-,79.5475,76.6114,73.0404,1,58.4188,LEADER,22.1829
435,108,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,large,131.45,81.97,0.0322,0.0622,0.0836,STRONG_DOWN,28.96,34.92,109.2,-10.92,52.0,24.26,1.2601,MED,-,129.8929,126.3664,113.5732,1,74.857,LEADER,21.6385
455,19,IMKTA,INGLES MARKETS INC CLASS A,Consumer Staples,,small,86.16,83.61,0.0107,-0.0286,0.0593,FLAT,17.97,38.38,13.61,-11.7,52.8,26.6,1.3888,MED,-,88.295,88.4094,76.4666,1,76.1887,LEADER,20.9315
497,-43,DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,large,102.38,60.66,-0.0198,-0.1632,-0.2543,STRONG_UP,-0.85,11.66,-26.88,-34.57,48.8,35.88,1.0428,MED,EARLY,114.428,121.0894,120.4136,0,15.8602,LAGGARD,19.7479
499,42,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,large,121.54,78.69,0.0378,-0.0117,0.1122,FLAT,36.76,28.69,-18.23,-20.27,54.0,29.42,0.6609,LOW,-,125.9787,121.2791,102.4092,1,52.654,LEADER,19.6806
505,-59,HLF,HERBALIFE LTD,Consumer Staples,,small,12.83,96.72,-0.0487,-0.2176,-0.1366,FLAT,36.06,81.73,15.79,-35.72,48.4,66.99,0.9469,LOW,-,15.3995,15.3136,12.8333,0,59.0482,LAGGARD,19.5291
562,429,STKL,SUNOPTA INC,Consumer Staples,,small,6.5,55.74,0.0019,0.0323,0.0766,STRONG_DOWN,68.39,3.17,15.66,-50.22,41.63,4.77,1.8403,HIGH,-,6.4905,6.4771,5.5361,1,27.7062,CONTENDER,18.2919
571,-25,SENEA,SENECA FOODS CORP CLASS A,Consumer Staples,,small,138.82,86.89,0.0012,0.0189,0.179,STRONG_DOWN,15.91,52.8,120.31,-21.04,58.4,46.19,0.7974,LOW,-,137.9525,145.0312,122.1586,1,66.759,LEADER,18.0835
583,-180,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,large,186.98,67.21,-0.0102,-0.0007,-0.0893,FLAT,6.47,20.58,-5.21,-22.97,51.6,24.27,0.8386,LOW,EARLY,188.224,201.2652,192.0736,0,43.7587,LAGGARD,17.894
618,114,DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,large,89.58,57.38,-0.0032,-0.1258,-0.2445,STRONG_UP,-13.16,3.55,-26.15,-38.53,49.6,38.95,0.8142,LOW,EARLY,96.171,103.031,110.2099,0,4.519,LAGGARD,17.0762
704,75,PM,Philip Morris International,Consumer Staples,Tobacco,large,189.61,62.3,0.0431,0.2309,0.1011,FLAT,24.43,15.19,103.8,-20.64,55.2,34.98,1.076,MED,-,170.9395,166.6623,162.585,1,23.9693,CONTENDER,15.4086
765,58,KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,large,80.82,63.93,0.0294,0.0963,0.0822,FLAT,15.31,15.5,35.27,-7.89,48.4,16.67,1.1208,MED,-,78.0345,77.0034,71.7905,1,45.0146,CONTENDER,14.4835
788,13,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,large,65.79,70.49,-0.0176,0.0442,0.1138,STRONG_DOWN,23.22,21.77,15.46,-11.29,50.4,27.09,1.2143,MED,-,65.829,63.8968,58.3244,1,40.5018,CONTENDER,14.1172
809,-41,PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,large,149.12,65.57,-0.0003,-0.0256,-0.0124,FLAT,4.76,17.51,-12.48,-12.02,46.4,19.91,0.9398,LOW,-,154.162,155.1408,148.61,1,40.8132,CONTENDER,13.7845
820,1,TPB,TURNING POINT BRANDS INC,Consumer Staples,,small,89.56,72.13,-0.0323,0.1291,-0.2656,FLAT,-8.43,22.01,168.08,-50.58,54.8,79.63,0.6195,LOW,-,83.1025,83.9194,99.1171,0,15.1485,LAGGARD,13.7019
861,70,SYY,Sysco,Consumer Staples,Food Distributors,large,72.57,54.1,0.0019,-0.0199,-0.1264,STRONG_UP,-1.88,3.06,0.66,-23.98,49.6,36.54,1.079,MED,EARLY,73.9375,76.5412,77.8292,0,4.1536,LAGGARD,13.013
863,-57,SPB,SPECTRUM BRANDS HOLDINGS INC,Consumer Staples,,small,77.08,68.85,-0.0236,-0.0615,0.0558,FLAT,33.88,21.42,-13.1,-21.82,51.2,35.61,1.0753,MED,-,81.879,78.3138,63.9444,1,30.7951,CONTENDER,12.9977
882,64,CHEF,CHEFS WAREHOUSE INC,Consumer Staples,,mid,80.34,73.77,-0.0027,0.2498,0.2328,FLAT,35.03,23.39,103.29,-20.49,54.4,49.47,0.7479,LOW,-,74.599,66.9862,63.6296,1,25.7223,CONTENDER,12.514
1018,55,COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,large,1048.95,52.46,0.0514,0.0798,0.0974,STRONG_DOWN,13.71,2.83,33.7,-19.35,48.0,17.6,1.0808,MED,-,1011.3567,1000.3212,951.9627,1,7.7165,CONTENDER,10.3238
1024,-13,CCEP,Coca-Cola Europacific Partners,Consumer Staples,Soft Drinks,large,89.36,50.82,-0.0421,-0.067,-0.0862,STRONG_UP,-0.95,2.8,24.54,-19.08,54.8,26.45,0.742,LOW,EARLY,94.3815,95.4316,92.3833,0,5.8104,LAGGARD,10.2327
1061,133,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,mid,44.06,29.51,0.0942,0.021,-0.0189,STRONG_UP,-22.49,-15.72,-46.55,-41.37,50.8,37.88,1.014,MED,SHIFT,42.9227,42.0488,50.3412,0,-21.0795,WEAK,9.7304
1091,-71,CENTA,CENTRAL GARDEN AND PET CLASS A,Consumer Staples,,small,33.63,59.02,-0.0156,-0.0061,0.041,STRONG_DOWN,16.45,4.96,-15.08,-29.51,50.0,22.43,1.1639,MED,-,33.9705,33.1216,31.356,1,11.0623,CONTENDER,9.3147
1116,-137,MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,large,60.44,39.34,-0.0141,0.0849,0.0778,FLAT,7.99,-4.39,-10.73,-25.93,49.6,25.73,0.8805,LOW,-,59.907,58.1781,58.1634,1,-8.4618,LAGGARD,8.9504
1210,-62,CL,Colgate-Palmolive,Consumer Staples,Household Products,large,88.13,44.26,0.018,0.0626,-0.0144,FLAT,13.24,-0.96,-2.36,-18.64,48.4,23.16,0.8109,LOW,-,85.84,85.8874,82.9621,1,-1.9987,LAGGARD,7.5795
1229,-153,CHD,Church & Dwight,Consumer Staples,Household Products,large,94.05,45.9,0.0386,-0.0006,0.001,FLAT,11.45,-0.89,-9.96,-17.63,51.6,22.08,0.9383,LOW,-,94.537,95.275,91.2378,1,-2.0684,LAGGARD,7.2619
1236,-52,KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,large,28.93,32.79,0.0096,0.1197,0.0613,FLAT,8.99,-11.59,-10.07,-27.48,50.0,27.93,0.7308,LOW,-,28.5255,27.3076,27.8707,1,-20.7469,LAGGARD,7.1569
1248,-52,KR,Kroger,Consumer Staples,Food Retail,large,66.02,40.98,0.0208,-0.0032,0.0072,FLAT,1.11,-2.62,25.8,-19.44,46.4,28.21,0.6904,LOW,EARLY,66.8935,69.8186,66.8624,0,-4.3146,WEAK,6.9176
1278,-56,STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,large,142.35,22.95,0.0015,-0.0884,-0.0031,FLAT,11.21,-25.26,-41.6,-33.85,44.4,30.63,1.0122,MED,EARLY,150.4526,151.9722,146.6999,0,-36.6112,WEAK,6.5197
1298,-297,FDP,FRESH DEL MONTE PRODUCE INC,Consumer Staples,,small,32.49,49.18,-0.0836,-0.198,-0.13,FLAT,-8.96,-0.53,40.73,-23.98,50.0,32.72,1.9277,HIGH,-,39.041,40.5374,37.4003,0,-0.8084,WEAK,6.1774
1303,-49,SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,large,100.54,36.07,0.0152,0.082,0.0059,FLAT,-7.01,-8.72,-6.9,-22.82,48.8,28.37,0.8553,LOW,SHIFT,97.7295,98.13,102.8108,0,-15.0026,WEAK,6.1218
1311,-55,CLX,Clorox,Consumer Staples,Household Products,large,90.45,13.11,0.0194,-0.0956,-0.1967,STRONG_UP,-11.19,-30.63,-28.71,-33.95,47.2,36.24,0.7311,LOW,EARLY,93.1274,100.3211,108.8045,0,-39.8969,WEAK,6.0411
1324,33,MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,large,46.35,6.56,-0.0136,-0.1107,-0.2657,STRONG_UP,-28.76,-36.73,-34.47,-39.5,47.2,33.67,0.8124,LOW,EARLY,49.323,52.1526,62.6467,0,-51.4941,WEAK,5.8117
1338,-185,CALM,CAL MAINE FOODS INC,Consumer Staples,,mid,76.88,26.23,0.0209,0.0375,0.0102,FLAT,-14.92,-18.81,49.17,-37.0,50.4,31.75,1.1953,MED,PROGRESS,76.5463,78.8519,87.2316,0,-29.8536,WEAK,5.5827
1384,-21,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,large,22.92,31.15,-0.0129,0.0492,0.0394,FLAT,-5.15,-12.1,-29.04,-23.19,51.2,26.19,0.7591,LOW,SHIFT,22.681,22.6096,24.0429,0,-23.6563,WEAK,4.6182
1393,62,SMPL,THE SIMPLY GOOD FOODS COMPANY,Consumer Staples,,small,11.55,0.0,0.0178,0.0006,-0.1969,STRONG_UP,-40.98,-68.43,-69.2,-71.46,44.8,60.58,0.6846,LOW,-,12.532,13.3135,19.9657,0,-50.6018,WEAK,4.3613
1397,-19,ENR,ENERGIZER HOLDINGS INC,Consumer Staples,,small,16.81,19.67,-0.0421,-0.1506,-0.2007,STRONG_UP,-28.57,-25.79,-40.54,-42.96,47.2,47.8,0.9008,LOW,-,18.826,18.0894,21.6977,0,-25.4661,WEAK,4.2849
1399,-51,KVUE,Kenvue,Consumer Staples,Personal Care Products,large,17.11,18.03,0.0105,0.0125,-0.001,FLAT,4.44,-25.95,-9.81,-41.09,48.4,20.87,0.9486,LOW,EARLY,17.2269,17.2642,17.268,0,-60.1769,WEAK,4.1773
1419,-96,UVV,UNIVERSAL CORP,Consumer Staples,,small,53.49,47.54,-0.0004,0.0488,0.0776,STRONG_DOWN,4.23,-0.55,,-20.74,47.2,16.37,0.88,LOW,-,53.453,52.4047,52.3119,1,-1.5974,LAGGARD,3.8242
1436,12,KMB,Kimberly-Clark,Consumer Staples,Household Products,large,95.91,16.39,0.0036,-0.001,-0.0385,STRONG_UP,-5.91,-27.97,-22.97,-32.43,46.4,24.66,0.9983,LOW,EARLY,97.459,98.0536,107.7709,0,-52.6234,WEAK,3.2645
1441,-6,MZTI,MARZETTI,Consumer Staples,,mid,114.01,11.48,0.0173,-0.1504,-0.2173,STRONG_UP,-33.33,-31.17,-38.19,-39.61,48.0,31.55,0.9576,LOW,EARLY,121.5315,135.279,159.8912,0,-47.4149,WEAK,3.1365
1445,46,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,large,32.99,4.92,-0.0223,-0.0421,-0.1954,STRONG_UP,-28.12,-36.76,-49.27,-36.76,45.2,26.32,1.2023,MED,EARLY,34.6015,36.115,43.5733,0,-63.1368,WEAK,2.98
1454,-113,DOLE,DOLE PLC,Consumer Staples,,small,14.1,42.62,-0.0713,-0.0419,-0.0434,FLAT,2.25,-2.53,14.48,-15.18,51.6,24.38,1.3206,MED,-,14.8625,14.7834,14.4102,0,-5.3474,WEAK,2.8248
1460,-13,HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,large,19.74,9.84,-0.0192,-0.0398,-0.0874,STRONG_UP,-10.52,-32.11,-40.37,-34.28,46.4,24.82,1.1344,MED,EARLY,20.8615,21.5385,23.2986,0,-60.0294,WEAK,2.7385
1463,-25,PG,Procter & Gamble,Consumer Staples,Personal Care Products,large,141.57,34.43,-0.0108,-0.0006,-0.0475,FLAT,-2.91,-10.8,-11.11,-17.62,48.4,22.03,0.7006,LOW,EARLY,145.006,145.2157,148.0789,0,-23.732,WEAK,2.6379
1473,21,WDFC,WD-40,Consumer Staples,,mid,201.37,27.87,-0.0223,-0.0277,-0.1026,STRONG_UP,2.73,-16.45,-12.73,-23.27,50.4,28.93,0.6229,LOW,EARLY,211.886,213.2461,209.2065,0,-28.6552,WEAK,2.471
1476,-22,IPAR,INTERPARFUMS INC,Consumer Staples,,mid,86.16,14.75,-0.0436,-0.0996,-0.0788,FLAT,0.31,-29.84,-27.25,-43.01,50.8,29.0,0.639,LOW,EARLY,91.601,91.7504,94.5113,0,-52.2636,WEAK,2.3705
1482,11,WMK,WEIS MARKETS INC,Consumer Staples,,small,70.3,37.7,0.0168,0.0231,0.0281,STRONG_DOWN,7.36,-5.8,6.15,-20.22,50.4,30.27,0.8408,LOW,-,69.749,68.3528,68.2044,1,-9.6637,LAGGARD,2.1114
1499,4,FIZZ,NATIONAL BEVERAGE CORP,Consumer Staples,,mid,34.4,24.59,-0.0027,0.0318,-0.0034,FLAT,4.88,-23.35,-22.27,-33.61,44.8,22.86,1.441,MED,SHIFT,34.3575,34.3298,36.0801,0,-45.7625,WEAK,1.2769
1503,8,CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,mid,20.01,3.28,-0.0284,-0.0181,-0.2082,FLAT,-33.81,-40.36,-53.02,-40.67,43.6,32.26,0.8724,LOW,EARLY,20.6795,21.1276,27.0463,0,-54.5413,WEAK,1.0196
1510,4,TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,mid,40.84,21.31,-0.0128,-0.0555,-0.1309,STRONG_UP,-11.07,-25.29,-23.71,-25.62,48.4,29.26,0.787,LOW,EARLY,42.27,43.0718,46.0404,0,-41.8357,WEAK,0.5651
1520,-5,EPC,EDGEWELL PERSONAL CARE,Consumer Staples,,small,15.93,1.64,-0.1885,-0.2906,-0.2152,FLAT,-12.01,-42.7,-58.81,-43.18,46.8,47.51,2.1692,HIGH,-,21.448,21.1322,20.1119,0,-42.0607,WEAK,0.0593
1532,5,JJSF,J AND J SNACK FOODS CORP,Consumer Staples,,small,71.4,8.2,0.0166,-0.0848,-0.0953,STRONG_UP,-11.94,-36.66,-54.55,-39.93,50.8,32.64,0.9477,LOW,-,79.961,79.9397,90.1886,0,-57.0614,WEAK,-2.1608
