rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
8,0,WBD,Warner Bros. Discovery,Communication Services,Broadcasting,large,27.18,100.0,0.0101,0.0255,0.0054,FLAT,13.87,173.44,226.29,-21.31,47.6,9.89,0.8802,LOW,-,27.14,27.203,24.2661,1,834.7599,LEADER,161.6812
36,-1,EA,Electronic Arts,Communication Services,Interactive Home Entertainment,large,202.01,86.36,0.0152,0.0192,0.0411,STRONG_DOWN,-0.02,38.68,53.29,-7.46,53.6,5.06,0.6773,LOW,-,200.9341,201.9451,197.012,1,409.7313,LEADER,78.6134
86,38,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,large,361.85,95.45,-0.0618,-0.0427,0.2333,STRONG_DOWN,15.07,118.5,110.68,-20.37,54.4,35.28,1.662,HIGH,-,389.613,350.1766,301.3673,1,182.7224,LEADER,52.3814
90,40,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,large,358.39,90.91,-0.0611,-0.0429,0.2207,STRONG_DOWN,13.89,114.44,107.16,-20.75,53.6,34.44,1.7374,HIGH,-,386.0415,347.583,301.0637,1,178.0986,LEADER,51.4048
472,22,TTD,Trade Desk (The),Communication Services,Advertising,large,21.1,0.0,-0.0458,-0.1114,-0.14,STRONG_UP,-46.69,-71.64,-77.34,-77.62,47.6,70.21,1.0139,MED,EARLY,21.9755,22.266,35.7488,0,-48.5693,WEAK,22.0236
568,3,PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,large,10.78,31.82,0.0237,-0.0183,-0.0791,STRONG_UP,-30.76,-8.81,-12.84,-55.05,45.6,48.93,0.7141,LOW,SHIFT,10.512,10.4706,13.1907,0,-8.2072,WEAK,19.7422
609,-23,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,large,65.69,72.73,0.0118,0.0708,0.1632,STRONG_DOWN,-0.57,19.99,92.7,-28.89,55.6,28.03,0.6795,LOW,-,64.8035,62.9234,63.3928,1,39.6445,CONTENDER,18.9679
665,3,LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,large,167.64,77.27,0.0151,0.0812,0.0955,STRONG_DOWN,27.87,22.69,,-27.84,50.4,35.81,0.6581,LOW,-,166.159,160.2248,153.4687,1,31.9308,LEADER,17.6961
683,-48,TKO,TKO Group Holdings,Communication Services,Movies & Entertainment,large,204.59,81.82,0.0989,0.1173,-0.0283,FLAT,6.29,27.18,92.28,-18.28,52.0,32.66,0.7938,LOW,-,192.2435,191.7162,195.7897,1,43.2746,LEADER,17.3088
710,-22,FOX,Fox Corporation (Class B),Communication Services,Broadcasting,large,58.65,63.64,0.0091,0.0634,0.1404,STRONG_DOWN,-0.63,16.84,85.86,-26.77,53.6,27.62,0.6756,LOW,-,58.148,56.5123,57.0427,1,32.6889,CONTENDER,16.7598
733,-69,CHTR,Charter Communications,Communication Services,Cable & Satellite,large,140.27,4.55,-0.0394,-0.1385,-0.3737,STRONG_UP,-28.78,-64.11,-50.99,-66.46,48.0,66.89,0.8688,LOW,EARLY,147.234,186.204,219.5847,0,-46.0029,WEAK,16.3782
834,78,VZ,Verizon,Communication Services,Integrated Telecommunication Services,large,47.87,59.09,0.0008,0.0237,-0.0293,FLAT,21.34,16.58,33.09,-13.32,48.4,18.43,0.4133,LOW,-,47.599,47.609,43.3055,1,43.5343,CONTENDER,14.6403
857,-112,MTCH,Match Group,Communication Services,Interactive Media & Services,mid,35.32,68.18,-0.014,-0.0616,0.1927,FLAT,5.93,18.77,17.96,-24.61,51.6,31.66,0.6116,LOW,-,36.1035,34.6948,33.3189,1,30.5872,CONTENDER,14.3596
984,-55,OMC,Omnicom Group,Communication Services,Advertising,large,75.22,54.55,0.0135,0.0029,-0.0929,STRONG_UP,6.54,9.4,-10.78,-17.85,50.8,24.94,0.5932,LOW,PROGRESS,74.4585,75.5496,75.857,0,19.1512,LAGGARD,12.2462
1032,74,TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,large,222.38,50.0,0.0265,0.0049,0.0694,FLAT,-10.81,-3.17,35.9,-27.68,49.2,31.28,1.3114,MED,-,228.0715,214.5806,231.6963,0,-4.9793,LAGGARD,11.5555
1058,-41,META,Meta Platforms,Communication Services,Interactive Media & Services,large,597.63,22.73,-0.0516,-0.0078,-0.0825,FLAT,-6.59,-10.1,26.01,-33.3,50.0,40.7,1.1009,MED,EARLY,612.2725,618.4868,664.0238,0,-12.4085,WEAK,11.2525
1182,54,NFLX,Netflix,Communication Services,Movies & Entertainment,large,83.33,9.09,-0.0384,-0.0714,-0.1337,STRONG_UP,-23.64,-31.58,31.48,-43.35,46.0,31.21,1.0638,MED,EARLY,87.4045,92.7512,100.829,0,-46.5471,WEAK,9.0461
1221,7,NWSA,News Corp (Class A),Communication Services,Publishing,large,26.41,45.45,0.0011,0.041,0.1424,STRONG_DOWN,3.92,-4.76,-1.75,-27.81,50.0,21.43,0.9353,LOW,-,26.3575,25.713,26.2218,1,-11.0996,LAGGARD,8.3646
1281,-8,NWS,News Corp (Class B),Communication Services,Publishing,large,30.18,40.91,-0.0019,0.0294,0.1737,STRONG_DOWN,4.52,-6.05,9.11,-26.84,52.8,21.98,0.9351,LOW,-,30.2545,29.5438,29.8526,1,-14.5221,LAGGARD,7.3382
1348,25,T,AT&T,Communication Services,Integrated Telecommunication Services,large,24.64,36.36,-0.0025,-0.0428,-0.1192,STRONG_UP,-2.33,-8.03,50.23,-20.59,48.8,23.15,0.8247,LOW,EARLY,24.9565,26.1463,25.9977,0,-16.9228,WEAK,5.8811
1355,4,CMCSA,Comcast,Communication Services,Cable & Satellite,large,24.85,18.18,-0.0071,-0.0689,-0.1949,STRONG_UP,2.1,-20.15,-27.73,-25.72,48.8,37.83,0.6693,LOW,EARLY,25.227,27.0701,27.9158,0,-25.9888,WEAK,5.7251
