rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
12,0,C,Citigroup,Financials,Diversified Banks,large,144.98,100.0,-0.022,0.1062,0.1612,STRONG_DOWN,22.63,75.73,,-14.76,56.8,29.18,,LOW,-,136.901,130.9043,113.4783,1,147.4194,LEADER,34.4329
18,0,BANC,BANC OF CALIFORNIA INC,Financials,,mid,21.05,96.0,0.0154,0.0639,0.0858,STRONG_DOWN,8.32,52.95,,-20.47,56.0,24.08,,LOW,-,19.6285,19.0265,18.2688,1,123.1426,LEADER,30.1152
25,0,PNC,PNC Financial Services,Financials,Diversified Banks,large,245.28,88.0,0.0247,0.0608,0.0683,STRONG_DOWN,17.51,36.67,,-17.21,52.8,22.46,,LOW,-,230.2125,223.7626,208.0592,1,86.1983,LEADER,23.9025
34,0,HWC,HANCOCK WHITNEY CORP,Financials,,mid,74.26,84.0,0.0249,0.0537,0.0444,FLAT,14.79,33.09,,-17.45,51.6,23.63,,LOW,-,70.0534,68.0503,64.1296,1,72.2654,LEADER,20.7148
36,0,BAC,Bank of America,Financials,Diversified Banks,large,58.19,56.0,0.003,0.0946,0.0778,FLAT,5.1,25.28,,-17.93,56.0,21.29,,LOW,-,54.7776,53.0423,51.8736,1,66.4934,CONTENDER,20.4766
37,0,STBA,S AND T BANCORP INC,Financials,,small,49.05,80.0,0.0148,0.0412,0.0648,STRONG_DOWN,22.34,32.93,,-13.38,50.4,18.81,0.8497,LOW,-,46.5225,44.9426,40.8635,1,88.2202,LEADER,20.3002
39,0,HTH,HILLTOP HOLDINGS INC,Financials,,mid,39.41,76.0,0.0086,-0.0153,-0.0268,STRONG_UP,14.86,31.97,,-13.52,48.8,23.4,,LOW,-,37.8215,37.4989,35.4183,1,66.6749,LEADER,19.3742
40,0,CCBG,CAPITAL CITY BANK INC,Financials,,small,48.57,60.0,-0.0125,-0.012,-0.0121,FLAT,14.35,28.25,,-12.94,56.0,19.17,,LOW,-,46.1634,46.0894,43.0197,1,82.5262,CONTENDER,19.3196
44,0,TFC,Truist Financial,Financials,Diversified Banks,large,50.67,52.0,0.016,-0.0164,0.004,FLAT,2.44,24.51,,-20.67,55.2,27.09,,LOW,-,49.008,49.0382,47.1516,1,49.9344,CONTENDER,18.4004
46,-4,FBK,FB FINANCIAL CORP,Financials,,mid,55.49,48.0,-0.003,-0.0141,-0.0667,STRONG_UP,-1.35,24.42,,-17.08,55.2,22.14,,LOW,-,53.615,53.3502,54.8358,1,60.8753,LAGGARD,17.9179
47,0,ASB,ASSOCIATED BANCORP,Financials,,mid,30.92,68.0,0.0265,0.0607,0.0942,STRONG_DOWN,18.91,30.45,,-16.37,52.0,23.53,,LOW,-,28.6475,28.0853,26.2743,1,67.2917,CONTENDER,17.884
49,0,FBP,FIRST BANCORP,Financials,,mid,26.54,64.0,0.0208,0.0558,0.1288,STRONG_DOWN,26.66,29.26,,-13.83,54.8,23.41,,LOW,-,24.908,24.128,21.7124,1,68.4825,CONTENDER,17.3615
52,0,FIHL,FIDELIS INSURANCE HOLDINGS LTD,Financials,,small,22.94,92.0,-0.0592,-0.0691,0.0907,FLAT,18.56,45.09,,-11.7,54.47,39.62,,LOW,-,22.3764,21.5571,19.1732,1,61.9956,LEADER,16.4738
54,0,HOPE,HOPE BANCORP INC,Financials,,small,13.55,72.0,0.0229,0.0313,0.0954,STRONG_DOWN,22.96,31.41,44.34,-15.54,51.6,24.26,,LOW,-,12.8265,12.5103,11.3247,1,66.8002,CONTENDER,16.2447
55,0,FCBC,FIRST COMMUNITY BANKSHARES INC,Financials,,small,44.32,40.0,-0.0147,-0.0192,-0.0547,STRONG_UP,36.6,19.78,,-23.43,54.4,20.59,,LOW,-,43.379,42.7838,37.0131,1,52.2623,LAGGARD,15.8054
60,0,ONB,OLD NATIONAL BANCORP,Financials,,mid,25.88,44.0,0.0112,0.0303,0.0635,STRONG_DOWN,13.71,23.77,,-17.73,52.0,23.26,,LOW,-,24.4454,24.0004,22.6018,1,53.1395,LAGGARD,14.7978
