rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
29,-26,GSAT,GLOBALSTAR VOTING INC,Communication,,mid,80.39,95.83,-0.019,-0.1147,-0.1619,STRONG_UP,31.7,222.59,387.21,-26.53,54.8,37.82,0.7051,LOW,-,80.7345,81.6606,63.9575,1,322.5293,LEADER,70.0378
34,0,SPHR,SPHERE ENTERTAINMENT CLASS A,Communication,,mid,163.79,100.0,-0.0564,0.0609,0.1034,STRONG_DOWN,72.27,277.14,337.94,-17.66,51.6,46.48,,LOW,-,155.141,143.3896,104.4683,1,307.6634,LEADER,63.4097
71,0,SATS,ECHOSTAR CORP CLASS A,Communication,,large,100.92,91.67,0.0262,-0.283,-0.3593,STRONG_UP,-7.58,221.81,448.78,-31.46,51.81,62.72,,LOW,EARLY,111.0155,120.3704,103.8268,0,183.2277,LAGGARD,48.1215
83,0,MSGE,MADISON SQUARE GARDEN ENTERTAINMEN,Communication,,mid,78.39,75.0,-0.0445,-0.0081,0.115,STRONG_DOWN,45.46,95.93,128.01,-13.43,55.6,24.47,,LOW,-,75.597,70.6612,57.8561,1,217.9602,LEADER,45.0547
88,0,SCHL,SCHOLASTIC CORP,Communication,,small,46.41,79.17,-0.012,0.0078,-0.0005,FLAT,58.3,120.06,41.08,-12.02,56.8,32.45,,LOW,-,43.8905,41.75,34.1328,1,210.1465,LEADER,43.2584
137,0,TDAY,USA TODAY INC,Communication,,small,8.83,83.33,0.0453,0.0161,0.0596,FLAT,71.46,131.76,83.2,-20.32,48.8,39.94,,LOW,-,8.077,7.7136,6.0331,1,160.9869,LEADER,35.9487
215,0,LION,LIONSGATE STUDIOS CORP,Communication,,mid,14.66,87.5,-0.1268,0.0002,0.3382,STRONG_DOWN,60.57,150.6,72.88,-22.85,48.8,63.26,,LOW,-,14.792,13.603,9.6294,1,116.1745,LEADER,29.6373
232,0,UNIT,UNITI GROUP INC,Communication,,mid,10.75,58.33,-0.0496,-0.1426,-0.1554,STRONG_UP,53.35,48.77,131.12,-44.37,48.0,38.03,1.3985,MED,-,11.642,11.4612,8.3981,1,61.5557,CONTENDER,28.9638
378,0,ZD,ZIFF DAVIS INC,Communication,,small,52.43,66.67,0.0277,0.0826,0.0298,FLAT,49.16,62.37,-3.53,-33.79,48.4,37.27,0.9624,LOW,-,47.727,45.6258,38.995,1,80.9986,CONTENDER,22.9721
481,0,STGW,STAGWELL INC CLASS A,Communication,,small,7.4,62.5,0.039,0.0284,-0.0177,STRONG_UP,51.33,62.28,7.25,-36.78,50.0,52.78,,LOW,-,6.8235,6.6594,5.7939,1,59.0003,CONTENDER,20.3897
544,0,LUMN,LUMEN TECHNOLOGIES INC,Communication,,mid,6.43,50.0,-0.2249,-0.4556,-0.2762,FLAT,-17.25,39.78,518.27,-47.34,49.2,72.83,,LOW,EARLY,8.22,8.9804,8.0491,0,26.875,LAGGARD,19.1053
603,0,IMAX,IMAX CORP,Communication,,mid,39.88,54.17,-0.0499,-0.0768,-0.2023,STRONG_UP,7.9,45.81,140.1,-22.74,50.8,47.17,,LOW,-,41.8215,38.6224,36.5552,1,49.3391,CONTENDER,17.968
