rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
19,0,NESR,NATIONAL ENERGY SERVICES REUNITED,Energy,,mid,28.62,100.0,-0.0105,0.2589,0.2836,STRONG_DOWN,62.06,350.0,218.0,-27.39,58.0,51.16,0.8167,LOW,-,26.7855,25.7038,19.5153,1,396.7944,LEADER,82.4003
77,0,CLMT,CALUMET INC,Energy,,mid,39.47,92.94,0.0259,0.1817,0.2122,STRONG_DOWN,96.08,135.22,132.59,-22.81,57.6,41.57,0.7067,LOW,-,35.27,34.4592,26.3516,1,187.3635,LEADER,42.5622
94,0,TTI,TETRA TECHNOLOGIES INC,Energy,,small,9.45,98.82,-0.041,-0.0472,0.1563,FLAT,-4.74,163.97,172.33,-37.66,55.6,54.13,0.4009,LOW,-,10.1105,10.1146,9.0677,1,168.4193,LEADER,40.8637
95,-90,FET,FORUM ENERGY TECHNOLOGIES INC,Energy,,small,49.67,94.12,0.0224,0.0002,-0.1381,STRONG_UP,25.72,138.23,209.09,-27.87,56.0,44.6,0.4847,LOW,-,49.855,53.2338,45.2112,1,173.5566,LEADER,40.7526
101,0,INSW,INTERNATIONAL SEAWAYS INC,Energy,,mid,88.48,97.65,-0.0086,0.1761,0.307,STRONG_DOWN,77.11,149.26,94.66,-16.16,53.6,44.25,0.659,LOW,-,83.059,80.558,60.529,1,180.7967,LEADER,39.684
110,0,NAT,NORDIC AMERICAN TANKERS LTD,Energy,,small,6.17,96.47,0.0137,0.2337,0.1644,FLAT,70.17,142.21,93.85,-18.45,54.8,44.33,0.7066,LOW,-,5.844,5.5014,4.4006,1,175.7975,LEADER,38.6062
123,0,KGS,KODIAK GAS SERVICES INC,Energy,,mid,67.84,90.59,-0.022,0.0629,0.1631,STRONG_DOWN,89.01,120.65,172.04,-14.2,57.6,40.61,0.5528,LOW,-,70.068,70.1589,50.1936,1,171.1234,LEADER,37.2196
160,0,NBR,NABORS INDUSTRIES LTD,Energy,,small,82.09,95.29,0.0308,-0.1596,0.0625,FLAT,26.88,140.59,8.24,-31.0,52.4,56.26,0.4511,LOW,-,85.411,94.626,70.5655,1,130.946,LEADER,32.7432
161,0,SEI,SOLARIS OILFIELD INFRASTRUCTURE IN,Energy,,mid,71.57,91.76,0.0161,0.0914,0.1884,STRONG_DOWN,42.18,131.72,527.8,-26.43,52.8,63.78,1.4378,MED,-,75.001,73.8276,57.5303,1,109.04,LEADER,32.6271
163,0,WTTR,SELECT WATER SOLUTIONS INC CLASS A,Energy,,mid,19.25,84.71,0.0189,0.0888,0.3143,STRONG_DOWN,72.97,104.74,91.59,-20.45,53.6,41.0,0.4729,LOW,-,18.749,18.4544,13.7639,1,136.9226,LEADER,32.5518
178,0,RIG,TRANSOCEAN LTD,Energy,,mid,5.2,75.29,0.0101,-0.0924,-0.1669,STRONG_UP,21.78,82.46,0.39,-35.75,54.0,53.18,1.0096,MED,-,5.291,6.0406,5.1737,1,83.7276,LEADER,31.8461
195,0,HP,HELMERICH & PAYNE INC,Energy,,mid,33.33,83.53,0.0471,-0.111,0.0064,FLAT,7.61,101.39,-3.01,-26.49,55.2,49.32,0.4504,LOW,-,34.1955,37.2492,31.9745,1,113.4821,LEADER,30.8444
204,0,DK,DELEK US HOLDINGS INC,Energy,,mid,55.51,89.41,0.0033,0.1988,0.3764,STRONG_DOWN,84.29,115.54,166.38,-36.02,52.0,59.78,0.6754,LOW,-,48.6825,46.9154,38.6454,1,100.4998,LEADER,30.3087
207,0,BORR,BORR DRILLING LTD,Energy,,small,4.33,88.24,-0.0777,-0.0017,-0.2305,FLAT,2.61,111.22,-30.43,-37.52,51.6,49.5,0.4107,LOW,-,4.382,5.1304,4.5388,0,115.9379,LAGGARD,30.0755
214,0,LBRT,LIBERTY ENERGY INC CLASS A,Energy,,mid,24.49,82.35,0.0069,-0.0901,-0.0755,FLAT,29.35,100.07,21.41,-31.16,50.8,50.79,0.3574,LOW,-,26.1265,29.451,23.4969,1,100.0899,LEADER,29.6291
215,0,STNG,SCORPIO TANKERS INC,Energy,,mid,79.32,74.12,0.0321,0.08,0.1102,STRONG_DOWN,42.86,78.33,6.99,-23.26,54.4,35.51,0.8779,LOW,-,76.2235,78.3091,66.755,1,120.0042,CONTENDER,29.5367
216,0,REX,REX AMERICAN RESOURCES CORP,Energy,,small,47.1,72.94,-0.0112,0.1172,0.1046,FLAT,44.04,72.28,104.69,-16.01,56.0,30.26,0.4329,LOW,-,44.6065,46.8078,38.3552,1,133.7542,CONTENDER,29.4847
223,0,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,large,273.35,67.06,-0.009,0.0455,0.1694,STRONG_DOWN,56.2,62.65,113.37,-16.01,57.6,29.49,0.6039,LOW,-,267.3325,264.529,212.9468,1,122.3709,CONTENDER,29.2914
226,0,GPRE,GREEN PLAINS INC,Energy,,small,16.89,87.06,0.0278,0.1731,0.1482,FLAT,63.98,110.86,1.75,-21.17,53.6,48.57,0.522,LOW,-,15.3115,15.9264,13.1306,1,122.3424,LEADER,29.1808
239,0,UUUU,ENERGY FUELS INC,Energy,,mid,13.58,85.88,-0.0601,0.0345,-0.2264,FLAT,-26.95,105.76,104.21,-53.61,50.0,82.25,0.6282,LOW,EARLY,14.629,17.159,18.4163,0,64.2903,LAGGARD,28.4235
240,0,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,large,280.69,77.65,-0.008,0.1306,0.2201,STRONG_DOWN,48.31,88.09,102.45,-13.2,54.0,40.27,0.6269,LOW,-,258.5635,252.9744,206.6934,1,118.1242,LEADER,28.2152
268,0,OII,OCEANEERING INTERNATIONAL INC,Energy,,mid,42.1,78.82,0.0382,0.1138,0.2022,STRONG_DOWN,56.51,91.97,67.46,-15.27,50.8,41.11,0.5628,LOW,-,38.738,38.3418,31.4403,1,113.6537,LEADER,26.7876
295,0,AROC,ARCHROCK INC,Energy,,mid,38.53,71.76,0.0101,0.1221,0.1175,FLAT,49.76,70.16,90.94,-16.85,55.2,37.26,0.3683,LOW,-,38.211,37.2446,30.9642,1,103.9418,CONTENDER,25.7501
296,0,PBF,PBF ENERGY INC CLASS A,Energy,,mid,53.18,80.0,0.035,0.2918,0.3557,STRONG_DOWN,67.85,92.03,40.57,-34.86,53.2,62.84,0.5006,LOW,-,44.376,42.7782,36.9248,1,77.9153,LEADER,25.6871
