rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
1,22,DNTH,DIANTHUS THERAPEUTICS INC,Health Care,,mid,100.03,100.0,0.0593,0.0197,0.0677,FLAT,162.61,385.35,249.27,-20.2,53.6,54.34,2.5969,HIGH,-,88.912,87.424,61.3246,1,380.0993,LEADER,95.873
2,49,SKYT,SKYWATER TECHNOLOGY INC,Information Technology,,small,33.39,100.0,-0.0398,-0.0758,0.0789,FLAT,19.0,225.76,,-42.64,49.2,45.12,,LOW,-,35.306,35.3414,26.7257,1,246.1702,LEADER,55.9414
3,53,LGND,LIGAND PHARMACEUTICALS INC,Health Care,,mid,322.61,83.33,0.0046,0.1629,0.5675,STRONG_DOWN,61.34,158.13,,-14.07,55.6,45.02,,LOW,-,288.4965,251.5696,210.4048,1,195.2907,LEADER,41.5208
4,118,BK,BNY Mellon,Financials,Asset Management & Custody Banks,large,146.62,96.0,0.0213,0.0041,0.1194,FLAT,27.36,59.49,152.4,-10.15,60.16,19.44,0.6765,LOW,-,144.062,139.1563,120.8471,1,184.0903,LEADER,40.1738
5,94,FET,FORUM ENERGY TECHNOLOGIES INC,Energy,,small,48.59,100.0,0.0776,-0.1026,-0.043,FLAT,27.03,134.85,,-27.87,56.0,44.32,,LOW,-,49.965,53.5126,45.0976,1,170.3852,LEADER,39.3754
6,147,AMRX,AMNEAL PHARMACEUTICALS INC CLASS A,Health Care,,mid,17.02,66.67,-0.0212,-0.0166,0.3284,STRONG_DOWN,28.36,102.86,,-22.25,53.6,37.14,,LOW,-,16.705,14.4182,12.8586,1,148.4471,CONTENDER,34.3307
7,211,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,large,222.13,92.0,0.0383,0.0175,0.1676,FLAT,21.52,58.98,126.91,-18.83,58.0,27.83,0.7002,LOW,-,217.862,206.334,178.4619,1,122.9293,LEADER,32.1964
8,201,WELL,Welltower,Real Estate,Health Care REITs,large,232.12,100.0,0.0173,0.1344,0.0901,FLAT,25.9,54.33,,-12.61,59.2,28.3,,LOW,-,221.732,215.6558,197.6454,1,113.647,LEADER,28.4244
9,301,FCFS,FIRSTCASH HOLDINGS INC,Financials,,mid,221.42,100.0,-0.0029,-0.0744,0.0294,FLAT,34.21,68.45,,-10.05,56.8,32.25,,LOW,-,220.364,222.3764,184.2948,1,120.5613,LEADER,27.8722
10,0,DRH,DIAMONDROCK HOSPITALITY,Real Estate,,small,11.85,75.0,0.0149,-0.005,0.1456,FLAT,34.07,51.16,,-11.92,50.8,24.26,,LOW,-,11.9812,11.2295,9.4827,1,107.1261,LEADER,24.3197
11,430,TPC,TUTOR PERINI CORP,Industrials,,mid,74.98,100.0,-0.0086,0.0618,-0.0887,FLAT,5.64,56.4,244.01,-29.33,52.8,53.39,1.1138,MED,-,77.909,79.0648,73.7738,1,55.7787,LEADER,23.7083
12,518,LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,large,182.58,100.0,-0.0533,0.1202,0.0195,FLAT,26.83,26.39,,-27.84,50.4,29.93,,LOW,-,176.921,169.015,154.3984,1,44.4354,LEADER,21.2694
13,606,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",large,171.73,75.0,0.1328,0.053,0.735,FLAT,65.48,63.7,,-24.83,49.2,61.31,,LOW,-,159.295,144.5078,116.5574,1,51.1155,LEADER,21.0617
14,425,MBIN,MERCHANTS BANCORP,Financials,,mid,47.78,80.0,-0.0217,-0.061,-0.0818,STRONG_UP,38.06,34.14,,-18.94,54.0,31.0,,LOW,-,49.1911,47.4807,40.0634,1,59.4722,LEADER,19.6677
15,480,CTRE,CARETRUST REIT INC,Real Estate,,mid,40.86,50.0,0.0111,0.1061,-0.0332,FLAT,11.95,38.7,,-14.28,55.6,28.07,,LOW,-,38.9627,39.4154,37.0842,1,76.657,CONTENDER,19.6436
16,571,CHEF,CHEFS WAREHOUSE INC,Consumer Staples,,mid,97.06,100.0,0.0055,0.1803,0.5352,STRONG_DOWN,61.55,53.16,,-20.49,55.2,45.49,,LOW,-,94.1765,84.6582,67.7255,1,64.512,LEADER,19.6327
17,552,VRRM,VERRA MOBILITY CORP CLASS A,Industrials,,mid,4.22,0.0,-0.0042,-0.0875,-0.7264,STRONG_UP,-81.61,-83.39,-85.14,-84.93,40.4,153.68,,LOW,EARLY,4.4557,8.2311,17.1554,0,-21.9208,WEAK,19.4988
18,885,JPM,JPMorgan Chase,Financials,Diversified Banks,large,335.47,68.0,0.0075,0.0387,-0.0032,FLAT,3.58,18.63,,-15.47,54.0,22.28,1.6914,HIGH,-,328.0298,313.2893,305.9838,1,45.1602,CONTENDER,19.464
