rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
1,0,FOLD,AMICUS THERAPEUTICS INC,Health Care,,mid,14.49,79.84,0.0286,0.0514,0.0645,STRONG_DOWN,67.13,119.88,48.62,-14.42,47.01,1.72,0.0,LOW,-,14.4595,14.403,10.8803,1,3276.4493,LEADER,595.946
2,0,TERN,TERNS PHARMACEUTICALS INC,Health Care,,mid,52.95,100.0,0.0269,0.0532,0.4524,STRONG_DOWN,191.09,1580.95,747.2,-27.56,55.79,30.88,0.0,LOW,-,52.83,49.9152,28.4599,1,2856.2607,LEADER,529.5617
3,0,SNDK,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals",large,1383.29,100.0,-0.0173,0.5011,1.067,STRONG_DOWN,420.27,3342.73,3742.47,-31.34,58.8,95.48,0.7526,LOW,-,1262.4785,954.6586,435.1055,1,2058.5744,LEADER,396.1888
4,-1,PKST,PEAKSTONE REALTY TRUST CLASS E,Real Estate,,small,20.99,95.24,0.0011,-0.0014,-0.0303,STRONG_UP,59.16,76.13,69.79,-16.14,51.25,2.22,1.8604,HIGH,-,20.9515,20.8946,15.9174,1,1757.6072,LEADER,395.4184
5,-1,CELC,CELCUITY INC,Health Care,,mid,130.96,99.6,0.0787,0.0846,0.277,STRONG_DOWN,41.99,1129.67,679.52,-27.68,55.2,63.87,0.7228,LOW,-,128.3485,120.4048,91.3712,1,976.3248,LEADER,189.5685
6,0,KW,KENNEDY WILSON HOLDINGS INC,Real Estate,,small,11.0,96.43,0.0033,0.0058,-0.0202,FLAT,18.15,77.2,18.69,-17.27,48.4,3.97,0.575,LOW,-,10.9505,10.8749,9.4392,1,941.2125,LEADER,175.8761
7,-2,WBD,Warner Bros. Discovery,Communication Services,Broadcasting,large,27.09,100.0,0.0113,0.0021,-0.0536,STRONG_UP,19.13,193.5,234.86,-21.31,48.4,11.05,0.4278,LOW,-,27.0865,27.2734,23.5798,1,847.5452,LEADER,164.9619
8,-1,WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",large,455.8,98.43,-0.0506,0.1576,0.4417,STRONG_DOWN,180.94,804.14,729.06,-20.59,62.4,68.34,0.6995,LOW,-,449.2865,366.6884,215.296,1,734.2479,LEADER,144.8053
9,-1,BE,BLOOM ENERGY CLASS A CORP,Industrials,,large,261.34,100.0,-0.0697,0.2044,0.7213,STRONG_DOWN,143.99,1267.56,1922.76,-45.94,55.6,116.28,0.8202,LOW,-,268.21,204.2928,129.2157,1,606.0898,LEADER,132.4982
10,-1,PRAX,PRAXIS PRECISION MEDICINES INC,Health Care,,mid,320.61,98.02,-0.0501,-0.0138,0.0173,STRONG_DOWN,62.27,707.58,612.31,-36.33,52.8,57.44,0.7142,LOW,-,332.7105,319.8676,219.4268,1,650.4234,LEADER,131.6722
11,-1,HOLX,Hologic,Health Care,Health Care Equipment,large,76.01,54.15,0.0321,0.0512,0.0652,STRONG_DOWN,12.87,34.6,1.55,-8.19,50.45,2.62,0.0,LOW,-,75.4925,75.3052,71.338,1,666.2952,CONTENDER,123.9849
12,-1,SLAB,SILICON LABORATORIES INC,Information Technology,,mid,216.46,61.78,0.0272,-0.0212,-0.1044,STRONG_UP,84.35,68.45,64.46,-24.37,52.4,5.83,0.7087,LOW,-,216.6345,211.5006,161.8041,1,615.2404,CONTENDER,120.5032
13,3,GTLS,CHART INDUSTRIES INC,Industrials,,mid,207.15,54.85,0.0296,0.0177,0.0786,FLAT,1.77,23.98,32.77,-14.66,52.0,2.01,0.425,LOW,-,207.616,207.4532,204.1121,1,620.4433,CONTENDER,117.6296
14,1,DBRG,DIGITALBRIDGE GROUP INC CLASS A,Financials,,mid,15.67,87.63,-0.0055,0.0234,0.0235,STRONG_DOWN,67.45,38.13,16.67,-33.69,41.2,2.73,0.6648,LOW,-,15.6145,15.516,13.5126,1,575.4247,LEADER,114.7581
15,-3,SATS,ECHOSTAR CORP CLASS A,Communication,,large,136.52,100.0,0.0243,0.1698,0.0992,FLAT,103.97,516.07,632.4,-27.84,54.4,52.78,0.6357,LOW,-,126.1535,121.86,93.631,1,531.9048,LEADER,110.8127
16,2,MU,Micron Technology,Information Technology,Semiconductors,large,698.74,96.86,-0.1036,0.5249,0.5148,FLAT,189.03,613.98,445.46,-30.28,57.2,78.15,1.3602,MED,-,629.7885,498.6023,312.8097,1,449.3864,LEADER,107.9544
17,-4,COGT,COGENT BIOSCIENCES INC,Health Care,,mid,31.25,97.23,-0.0631,-0.1037,-0.1355,STRONG_UP,-7.41,488.51,298.6,-25.79,46.4,42.94,0.8734,LOW,-,35.1042,35.6003,28.841,1,527.8754,LEADER,107.7073
18,-4,STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",large,733.35,96.34,-0.0759,0.2798,0.6361,STRONG_DOWN,181.8,594.4,689.77,-21.0,57.6,66.99,0.9121,LOW,-,717.607,554.4065,342.9587,1,511.0845,LEADER,103.9476
19,0,PL,PLANET LABS CLASS A,Industrials,,large,41.59,99.58,0.0496,0.1149,0.734,STRONG_DOWN,271.01,977.46,2043.81,-29.01,51.2,105.7,0.6088,LOW,-,38.6195,34.5836,20.4558,1,473.4722,LEADER,101.4407
20,0,CSGS,CSG SYSTEMS INTERNATIONAL INC,Industrials,,mid,80.69,57.81,0.033,0.0266,0.0945,FLAT,3.67,26.72,96.96,-7.98,52.82,2.91,0.0,LOW,-,80.417,80.1318,74.0592,1,484.9137,CONTENDER,91.5012
21,0,CIEN,Ciena,Information Technology,Communications Equipment,large,541.92,95.29,-0.0354,0.0412,0.5418,STRONG_DOWN,182.57,568.62,1008.9,-16.84,62.0,78.5,0.8422,LOW,-,537.4915,469.8434,265.2818,1,449.1045,LEADER,91.2215
22,1,TNGX,TANGO THERAPEUTICS INC,Health Care,,mid,20.3,99.21,-0.1787,-0.2235,0.6942,FLAT,154.39,880.68,164.67,-26.9,51.6,106.3,0.5507,LOW,-,23.5295,21.8304,12.4037,1,427.4967,LEADER,90.533
23,-6,VSAT,VIASAT INC,Information Technology,,mid,70.95,95.81,0.0347,0.1047,0.3876,STRONG_DOWN,112.68,573.79,266.1,-23.78,53.6,71.34,,LOW,-,66.431,57.7388,41.5344,1,431.106,LEADER,88.2923
24,0,ARWR,ARROWHEAD PHARMACEUTICALS INC,Health Care,,mid,73.18,96.05,-0.0348,0.0758,0.1965,STRONG_DOWN,82.27,349.23,194.84,-24.64,56.0,52.07,1.0041,MED,-,75.2015,67.0028,52.2133,1,375.5911,LEADER,86.3882
25,1,INBX,INHIBRX BIOSCIENCES INC,Health Care,,small,109.51,98.42,-0.046,0.3483,0.4012,STRONG_DOWN,41.58,737.87,775.61,-37.56,56.4,113.51,0.787,LOW,-,123.0042,91.5811,67.409,1,366.6288,LEADER,77.6895
26,5,ORKA,ORUKA THERAPEUTICS INC,Health Care,,mid,57.5,96.84,-0.0644,-0.1211,0.8241,FLAT,103.68,441.43,173.29,-24.73,54.8,85.35,1.6438,HIGH,-,66.248,57.0034,33.6551,1,283.4263,LEADER,76.2903
27,-5,NVTS,NAVITAS SEMICONDUCTOR CORP,Information Technology,,mid,19.43,99.48,-0.0553,0.2375,1.2445,STRONG_DOWN,151.36,871.5,412.66,-58.25,48.8,140.57,0.8541,LOW,-,18.353,13.2443,9.7768,1,302.5482,LEADER,75.5534
28,-1,ERAS,ERASCA INC,Health Care,,mid,10.32,97.63,0.0131,-0.494,-0.1176,FLAT,259.58,706.25,360.71,-59.46,54.0,128.32,0.5861,LOW,-,12.4235,14.758,7.3497,1,297.2062,LEADER,75.2372
29,15,TTMI,TTM TECHNOLOGIES INC,Information Technology,,large,161.41,94.24,-0.017,0.2587,0.4477,STRONG_DOWN,150.87,449.76,776.28,-23.26,56.0,87.16,1.0805,MED,-,154.63,124.3326,82.981,1,288.9703,LEADER,71.3419
30,9,BORR,BORR DRILLING LTD,Energy,,small,6.16,95.4,-0.0284,0.0345,-0.1176,FLAT,94.94,264.5,8.76,-23.33,52.4,50.39,1.5191,HIGH,-,6.0105,5.7132,4.1879,1,275.0475,LEADER,70.582
31,7,BELFB,BEL FUSE INC CLASS B,Information Technology,,mid,249.71,84.82,-0.0376,-0.0601,-0.0757,STRONG_UP,76.14,233.73,277.37,-19.54,63.6,56.28,1.5263,HIGH,-,274.331,240.4138,185.6376,1,264.1321,LEADER,70.3513
