rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
1,0,FOLD,AMICUS THERAPEUTICS INC,Health Care,,mid,14.49,82.1,0.0041,-0.0186,0.014,FLAT,67.13,142.31,52.85,-14.42,47.3,1.72,0.0,LOW,-,14.4595,14.403,10.8803,1,3913.4614,LEADER,711.6323
2,1,TERN,TERNS PHARMACEUTICALS INC,Health Care,,mid,52.95,99.61,0.0024,-0.0167,0.4019,FLAT,191.09,1641.78,803.58,-27.56,55.42,30.88,0.0,LOW,-,52.83,49.9152,28.4599,1,2946.4782,LEADER,546.9094
3,-1,SNDK,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals",large,1562.34,100.0,0.2035,0.6493,1.5012,STRONG_DOWN,652.25,4039.75,4239.83,-31.34,59.2,97.3,1.1151,MED,-,1087.089,837.601,386.8233,1,2457.8923,LEADER,522.8654
4,0,PKST,PEAKSTONE REALTY TRUST CLASS E,Real Estate,,small,20.99,95.29,-0.0148,-0.0414,-0.0522,STRONG_UP,59.16,84.07,57.03,-16.14,51.82,2.22,1.8604,HIGH,-,20.9515,20.8946,15.9174,1,1962.2896,LEADER,440.4908
5,0,DBRG,DIGITALBRIDGE GROUP INC CLASS A,Financials,,mid,15.63,97.54,-0.0065,-0.0107,0.0227,FLAT,43.06,81.89,5.73,-33.69,41.6,2.84,0.2925,LOW,-,15.5905,15.4826,13.345,1,1199.5195,LEADER,228.3347
6,0,CELC,CELCUITY INC,Health Care,,mid,131.06,99.22,-0.094,0.0986,0.2146,STRONG_DOWN,76.63,1191.23,655.39,-27.68,56.4,61.17,0.8377,LOW,-,125.7615,117.8638,87.932,1,1098.34,LEADER,211.7568
7,0,TNGX,TANGO THERAPEUTICS INC,Health Care,,mid,23.02,100.0,0.0156,0.1336,0.7859,STRONG_DOWN,187.39,1919.3,196.27,-24.45,51.6,98.73,0.432,LOW,-,24.4265,20.5884,11.8373,1,1003.0973,LEADER,196.3329
8,1,WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",large,480.0,98.93,0.0446,0.2128,0.5024,STRONG_DOWN,193.77,993.13,784.7,-20.59,64.0,68.14,0.8577,LOW,-,408.7465,335.5526,200.8888,1,932.7935,LEADER,181.2473
9,1,BE,BLOOM ENERGY CLASS A CORP,Industrials,,large,261.03,100.0,-0.1141,0.5354,0.7153,STRONG_DOWN,90.73,1381.44,2123.42,-45.94,55.6,117.19,1.2773,MED,-,243.853,186.9366,120.6901,1,655.4155,LEADER,157.5409
10,7,MU,Micron Technology,Information Technology,Semiconductors,large,746.81,96.79,0.255,0.5907,0.7714,STRONG_DOWN,213.61,771.88,538.36,-30.28,58.0,76.81,1.5136,HIGH,-,525.3915,448.8925,290.4465,1,582.8556,LEADER,147.7151
11,-3,GTLS,CHART INDUSTRIES INC,Industrials,,mid,207.43,49.37,-0.0202,-0.0333,0.0326,FLAT,4.08,30.31,33.83,-18.76,52.4,2.05,0.4671,LOW,-,207.869,207.4292,203.4037,1,774.794,LAGGARD,145.9975
12,1,WBD,Warner Bros. Discovery,Communication Services,Broadcasting,large,27.11,100.0,0.008,-0.0426,-0.0175,FLAT,20.92,198.9,237.19,-21.31,48.8,13.19,0.4459,LOW,-,27.165,27.4042,23.0955,1,735.8754,LEADER,143.9844
13,3,STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",large,782.64,96.26,0.0192,0.3707,0.668,STRONG_DOWN,182.28,728.26,790.11,-21.0,58.8,66.51,1.2235,MED,-,628.1545,495.9131,320.5759,1,643.8378,LEADER,142.5938
14,0,PRAX,PRAXIS PRECISION MEDICINES INC,Health Care,,mid,330.02,98.05,-0.0205,0.0236,0.0328,STRONG_DOWN,91.48,760.55,558.85,-36.33,52.8,56.99,0.8125,LOW,-,332.4975,317.6652,209.64,1,704.6309,LEADER,141.6207
15,-3,SLAB,SILICON LABORATORIES INC,Information Technology,,mid,217.45,64.17,-0.0388,-0.1563,-0.1276,FLAT,66.95,85.78,69.94,-24.37,52.8,6.16,0.3879,LOW,-,215.1445,209.6672,158.914,1,735.2169,CONTENDER,141.308
16,-1,COGT,COGENT BIOSCIENCES INC,Health Care,,mid,34.74,97.28,-0.0522,-0.069,-0.0889,STRONG_UP,136.01,622.25,,-20.73,47.6,42.27,,LOW,-,36.3093,36.2233,28.0917,1,700.7069,LEADER,137.9439
17,-6,INBX,INHIBRX BIOSCIENCES INC,Health Care,,small,134.35,98.83,0.052,0.7646,0.5534,FLAT,65.88,1102.24,974.22,-37.56,57.6,108.07,1.1522,MED,-,112.3922,85.9409,64.245,1,587.4791,LEADER,132.9694
18,0,HOLX,Hologic,Health Care,Health Care Equipment,large,76.01,46.3,0.0075,-0.0187,0.0147,FLAT,12.87,33.94,0.34,-8.19,50.66,2.62,0.0,LOW,-,75.4925,75.3052,71.338,1,656.2274,LAGGARD,122.4808
19,0,ARWR,ARROWHEAD PHARMACEUTICALS INC,Health Care,,mid,72.69,96.5,-0.0465,0.0956,0.1604,STRONG_DOWN,83.56,457.87,194.05,-24.64,57.2,49.5,1.2043,MED,-,72.255,65.0576,50.0803,1,529.0902,LEADER,117.5435
20,0,CIEN,Ciena,Information Technology,Communications Equipment,large,548.11,94.65,-0.023,-0.0808,0.7154,FLAT,172.07,633.36,1020.42,-16.84,62.4,76.53,0.5244,LOW,-,511.774,436.6846,248.6959,1,516.417,LEADER,104.4628
21,0,PL,PLANET LABS CLASS A,Industrials,,large,39.04,99.58,-0.0055,0.0955,0.6584,STRONG_DOWN,213.32,996.63,1767.94,-29.01,52.0,107.4,0.9416,LOW,-,36.8915,32.311,19.2239,1,482.5393,LEADER,103.149
22,7,WULF,TERAWULF INC,Information Technology,,mid,23.39,95.72,0.0089,0.0547,0.228,STRONG_DOWN,63.8,677.08,891.1,-31.74,53.6,88.37,1.095,MED,-,21.272,17.8638,13.5693,1,410.6744,LEADER,96.8156
23,15,AEHR,AEHR TEST SYSTEMS,Information Technology,,small,97.23,99.47,0.0952,0.1956,2.3473,STRONG_DOWN,310.43,1050.65,749.91,-42.31,53.2,141.08,1.3548,MED,-,87.7495,60.3412,33.9003,1,396.191,LEADER,94.4242
24,0,SATS,ECHOSTAR CORP CLASS A,Communication,,large,127.15,100.0,0.0549,-0.0518,-0.0752,STRONG_UP,79.97,425.63,714.54,-33.9,53.6,53.85,0.5203,LOW,-,124.905,118.9618,90.0013,1,423.6544,LEADER,94.0765
25,7,VSAT,VIASAT INC,Information Technology,,mid,70.01,94.12,0.0565,0.0597,0.336,STRONG_DOWN,97.27,622.5,300.51,-23.78,54.0,73.25,0.9571,LOW,-,62.5925,54.1602,39.5661,1,458.906,LEADER,93.4448
26,16,NVTS,NAVITAS SEMICONDUCTOR CORP,Information Technology,,mid,18.2,97.86,0.1027,0.7229,0.7972,STRONG_DOWN,106.0,868.09,288.06,-58.25,48.8,126.79,1.3242,MED,-,15.221,11.5723,9.3295,1,334.1159,LEADER,90.2157
27,-4,CSGS,CSG SYSTEMS INTERNATIONAL INC,Industrials,,mid,80.38,45.57,-0.018,-0.0273,0.0469,FLAT,3.72,26.31,92.69,-7.98,53.6,3.07,0.9151,LOW,-,80.3205,80.0188,73.5828,1,459.2898,LAGGARD,86.2241
28,-1,LASR,NLIGHT INC,Information Technology,,mid,73.91,92.51,0.0243,-0.0552,0.1772,FLAT,148.1,533.33,453.22,-24.74,56.4,94.6,2.1734,HIGH,-,69.898,66.1962,42.7232,1,317.9704,LEADER,84.22
29,2,SKYT,SKYWATER TECHNOLOGY INC,Information Technology,,small,33.72,88.77,0.007,-0.0142,-0.0744,STRONG_UP,80.22,343.1,407.07,-42.64,48.4,42.31,0.6307,LOW,-,32.5205,29.9946,21.6382,1,392.4864,LEADER,83.3914
30,9,AAOI,APPLIED OPTOELECTRONICS INC,Information Technology,,mid,148.94,98.4,-0.1798,-0.1968,1.932,FLAT,411.82,915.27,1313.09,-47.64,51.6,179.57,1.8464,HIGH,-,157.2275,125.362,54.8536,1,263.0055,LEADER,81.442
31,-6,GLUE,MONTE ROSA THERAPEUTICS INC,Health Care,,small,19.39,94.55,-0.0072,0.089,-0.0145,FLAT,49.04,374.08,274.32,-41.84,49.6,48.9,0.5096,LOW,-,19.344,17.7758,13.9522,1,379.4381,LEADER,80.2251
32,21,INTC,Intel,Information Technology,Semiconductors,large,124.92,91.44,0.2637,0.8177,1.3097,STRONG_DOWN,235.45,483.19,317.79,-24.17,52.8,86.56,2.0368,HIGH,-,84.366,62.1138,42.3369,1,294.739,LEADER,80.1959
33,3,APLD,APPLIED DIGITAL CORP,Information Technology,,mid,41.25,95.19,0.1172,0.3859,-0.1081,FLAT,32.72,665.31,1135.03,-50.31,48.4,97.0,0.8796,LOW,-,34.3782,29.5599,27.0198,1,331.9672,LEADER,78.7819
34,-12,ORKA,ORUKA THERAPEUTICS INC,Health Care,,mid,64.59,96.89,-0.0262,0.0638,0.942,STRONG_DOWN,128.39,577.04,196.97,-18.08,56.0,83.81,0.7468,LOW,-,67.8815,53.0142,31.9652,1,385.5681,LEADER,78.6092
35,21,FORM,FORMFACTOR INC,Information Technology,,mid,147.87,89.84,0.06,0.0095,0.3817,FLAT,172.72,396.21,161.02,-24.04,54.4,65.47,1.1352,MED,-,139.7345,114.8582,67.6947,1,329.2152,LEADER,77.9807
