rank,delta_rank,ticker,name,sector,industry,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
1,0,FOLD,AMICUS THERAPEUTICS INC,Health Care,,mid,14.49,75.98,0.0281,-0.0346,0.0487,FLAT,70.47%,96.08%,40.95%,-26.56%,46.59%,1.73%,1.2118,MED,-,14.4555,14.3998,10.8393,1,2587.3818,LEADER,528.8142
2,1,SNDK,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals",large,989.9,100.0,0.077,0.5003,1.0454,STRONG_DOWN,492.58%,2967.56%,2649.72%,-31.34%,59.04%,98.32%,0.6007,LOW,-,824.2355,715.8702,326.996,1,1781.9818,LEADER,345.0537
3,1,GTLS,CHART INDUSTRIES INC,Industrials,,mid,207.85,60.58,0.0037,-0.0751,-0.0141,FLAT,4.13%,53.93%,38.57%,-18.76%,53.41%,2.01%,0.5621,LOW,-,207.6375,207.3182,201.458,1,1433.0026,CONTENDER,265.2209
4,3,DBRG,DIGITALBRIDGE GROUP INC CLASS A,Financials,,mid,15.6,97.12,0.0167,-0.056,-0.0079,FLAT,25.57%,87.19%,-6.42%,-33.69%,41.77%,2.84%,0.6378,LOW,-,15.5295,15.4432,13.1071,1,1282.3263,LEADER,243.253
5,1,ERAS,ERASCA INC,Health Care,,mid,21.49,99.61,0.0159,0.3797,1.2709,STRONG_DOWN,872.40%,1435.00%,1037.04%,-31.65%,54.22%,71.57%,1.0783,MED,-,18.266,15.7446,6.5665,1,1087.1273,LEADER,235.1949
6,-1,CELC,CELCUITY INC,Health Care,,mid,121.03,99.21,0.0338,0.0163,0.0962,FLAT,71.50%,991.34%,660.24%,-27.68%,56.22%,51.67%,1.4353,MED,-,117.9045,113.1396,82.1214,1,1078.6401,LEADER,231.5438
7,1,TNGX,TANGO THERAPEUTICS INC,Health Care,,mid,25.77,100.0,0.0025,0.2597,1.241,STRONG_DOWN,242.23%,1629.53%,246.37%,-27.15%,51.81%,93.88%,1.5982,HIGH,-,22.9205,18.4246,10.9933,1,899.2966,LEADER,216.7446
8,1,PRAX,PRAXIS PRECISION MEDICINES INC,Health Care,,mid,344.82,98.03,0.0326,0.1013,0.2074,STRONG_DOWN,93.71%,847.05%,529.23%,-36.33%,53.82%,59.12%,0.7978,LOW,-,322.5165,318.7814,195.865,1,771.1113,LEADER,153.9074
9,3,WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",large,404.0,98.42,0.0727,0.3371,0.621,STRONG_DOWN,221.76%,891.80%,652.24%,-20.59%,63.86%,78.00%,0.5982,LOW,-,339.8065,304.2361,182.2163,1,730.1297,LEADER,144.3925
10,0,WBD,Warner Bros. Discovery,Communication Services,Broadcasting,large,27.07,100.0,-0.0094,-0.0564,-0.0198,FLAT,27.39%,211.15%,233.79%,-21.31%,50.20%,14.49%,0.8249,LOW,-,27.329,27.729,22.366,1,731.5184,LEADER,143.2568
11,0,COGT,COGENT BIOSCIENCES INC,Health Care,,mid,36.81,97.64,0.0209,-0.0404,0.0069,FLAT,148.05%,649.69%,511.46%,-20.73%,49.00%,45.67%,0.5657,LOW,-,36.399,36.6278,26.8805,1,697.0666,LEADER,136.5065
12,1,INBX,INHIBRX BIOSCIENCES INC,Health Care,,small,129.06,98.43,0.5926,0.9238,0.8272,FLAT,355.08%,945.02%,931.92%,-37.56%,57.43%,103.52%,2.2026,HIGH,-,80.3215,75.738,58.8793,1,524.2708,LEADER,131.6581
13,1,VISN,VISTANCE NETWORKS INC,Information Technology,,mid,19.4,91.05,0.008,-0.0821,0.0218,FLAT,22.32%,391.14%,1972.65%,-16.25%,54.22%,32.06%,0.8728,LOW,-,18.7735,18.3148,16.5981,1,661.4962,LEADER,127.8918
14,1,BE,BLOOM ENERGY CLASS A CORP,Industrials,,large,231.17,100.0,0.0641,0.6527,0.6389,FLAT,127.93%,1101.51%,2080.85%,-45.94%,55.42%,111.61%,0.6047,LOW,-,178.2985,163.8526,108.4039,1,546.954,LEADER,122.1543
