ticker,name,commodity,benchmark,type,market_cap,cap_band
MOON.V,Blue Moon Metals,copper,copx,explorer,579646208,mid
5713.T,Sumitomo Metal Mining Co Ltd,copper,copx,producer,2498822144000,large
FDY.TO,Faraday Copper,copper,copx,explorer,1057639104,mid
GLEN.L,Glencore,copper,copx,producer,61845610496,large
KRY.V,Koryx Copper,copper,copx,producer,347069920,small
2362.HK,JInchuan Group Interntional,copper,copx,explorer,8404532224,large
GLAD.V,Gladiator Metals,copper,copx,producer,118733680,small
NDA.DE,Aurubis AG,copper,copx,producer,6658002432,large
OM.TO,Osisko Metals,copper,copx,producer,784990912,mid
BHP,BHP Group ADR,copper,copx,producer,175331901440,large
3939.HK,Wanguo Gold Group,copper,copx,producer,55139344384,large
ALS.TO,Altius Minerals,copper,copx,producer,2501670912,mid
ANTO.L,Antofagasta,copper,copx,producer,33331814400,large
BOL.ST,Boliden,copper,copx,producer,162308931584,large
FCX,Freeport McMoRan,copper,copx,producer,81173151744,large
LUN.TO,Lundin Mining,copper,copx,producer,27169869824,large
2899.HK,Zijin Mining Group H,copper,copx,producer,944999104512,large
PUCOBRE.SN,Sociedad Punta Del Cobre,copper,copx,producer,1931113267200,large
KGL.AX,KGL Resources,copper,copx,producer,154177904,small
1515.T,Nittetsu Mining,copper,copx,producer,210553569280,large
SAG.V,Sterling Metals,copper,copx,producer,58927016,small
SCCO,Southern Copper,copper,copx,producer,132071350272,large
0358.HK,Jiangxi Copper H,copper,copx,producer,180131381248,large
DVP.AX,Develop Global,copper,copx,producer,1438736640,mid
LA.V,Los Andes Copper,copper,copx,producer,372212992,small
SLS.TO,Solaris Resources,copper,copx,producer,1840873216,mid
WA1.AX,WA1 Resources,copper,copx,producer,1041221696,mid
NGEX.TO,NGEX Minerals,copper,copx,producer,5128686080,large
SFR.AX,Sandfire Resources,copper,copx,producer,7646976512,large
CNL.TO,Collective Mining,copper,copx,producer,1799162624,mid
A1M.AX,Aic Mines,copper,copx,producer,378869408,small
ARG.TO,Amerigo Resources,copper,copx,producer,781333504,mid
FOM.TO,Foran Mining,copper,copx,producer,2969649920,mid
MMA.V,Midnight Sun Mining,copper,copx,producer,243663472,small
CNB.AX,Carnaby Resources,copper,copx,producer,121492744,small
HCH.AX,Hot Chili,copper,copx,producer,272636896,small
BIG.V,Hercules Metals,copper,copx,producer,170752144,small
FM.TO,First Quantum Minerals,copper,copx,producer,25996761088,large
1208.HK,MMG Ltd.,copper,copx,producer,94938955776,large
TGB,Taseko Mines,copper,copx,producer,2172760576,mid
KGH.WA,KGHM Polska Miedz,copper,copx,producer,52800000000,large
29M.AX,29Metals,copper,copx,producer,620289664,mid
1258.HK,China Nonferrous Mining,copper,copx,producer,47331696640,large
CAML.L,Central Asia Metals PLC,copper,copx,producer,271969152,small
MARI.TO,Marimaca Copper,copper,copx,producer,1089812864,mid
HBM.TO,Hudbay Minerals,copper,copx,producer,10330770432,large
ATYM.L,Atalaya Mining Copper SA,copper,copx,producer,1077850880,mid
0661.HK,China Daye Non-Ferrous Metals Mining,copper,copx,producer,2040096128,mid
VISC.ST,Gruvaktiebolaget Viscaria Class B,copper,copx,producer,3335677440,mid
ERO.TO,Ero Copper,copper,copx,producer,3544357120,mid
GCU.TO,Gunnison Copper,copper,copx,producer,156373040,small
ATX.V,ATEX Resources,copper,copx,producer,1092960000,mid
LUCA.V,Luca Mining Ord Shs,copper,copx,producer,345173792,small
KDK.V,Kodiak Copper Class B,copper,copx,producer,73430600,small
AIS.AX,Aeris Resources,copper,copx,producer,502810880,mid
FFM.TO,Firefly Metals,copper,copx,producer,1160866816,mid
HGO.AX,Hillgrove Resources,copper,copx,producer,129735496,small
CVV.AX,Caravel Minerals,copper,copx,producer,181597824,small
2099.HK,China Gold International Resources,copper,copx,producer,61517885440,large
PSC.AX,Prospect Resources,copper,copx,producer,256416784,small
AR1.AX,Austral Resources Australia,copper,copx,producer,174127888,small
FTZ.V,Fitzroy Minerals,copper,copx,producer,132843880,small
CYM.AX,Cyprium Metals,copper,copx,producer,216779904,small
REG.V,Regulus Resources,copper,copx,producer,502178688,mid
CS.TO,Capstone Copper,copper,copx,producer,7544928256,large
IE,Ivanhoe Electric,copper,copx,producer,1745817088,mid
IVN.TO,Ivanhoe Mines Class A,copper,copx,producer,15970784256,large
AHR.V,Amarc Resources,copper,copx,producer,198288080,small
TNC.AX,True North Copper,copper,copx,producer,60953116,small
ALDE.V,Aldebaran Resources,copper,copx,producer,383649312,small
III.TO,Imperial Metals,copper,copx,producer,1336283776,mid
KCP.V,King Copper Discovery,copper,copx,producer,220925440,small
CY5.AX,Cygnus Metals,copper,copx,producer,164823296,small
NDM.TO,Northern Dynasty Minerals,copper,copx,producer,961408512,mid
TMQ,Trilogy Metals,copper,copx,producer,579753280,mid
COPX,Global X Copper Miners ETF,copper,benchmark,ETF,,ETF
1AE.AX,Aurora Energy Metals,uranium,URA,producer,10027570,small
LOT.AX,Lotus Resources Ltd.,uranium,URA,producer,362014304,small
EU,Encore Energy Corp,uranium,URA,producer,346472512,small
I88.AX,Infini Resources,uranium,URA,producer,15149014,small
ETM.AX,Energy Transition Minerals,uranium,URA,producer,195630944,small
AEC.V,Anfield Energy Inc.,uranium,URA,producer,141115424,small
wstrf,Western Uranium & Vanadium,uranium,URA,producer,31831272,small
AEU.AX,Atomic Eagle,uranium,URA,producer,144690288,small
LEU,Centrus Energy -A,uranium,URA,producer,3851108096,mid
SMR,Nuscale Power Corp,uranium,URA,producer,3641634048,mid
PR2.AX,Piche Resources,uranium,URA,producer,10419635,small
OKLO,Oklo Inc.,uranium,URA,producer,9539340288,large
EL8.AX,Elevate Uranium Ltd.,uranium,URA,producer,128141240,small
AEE.AX,Aura Energy Ltd.,uranium,URA,producer,122332848,small
DYL.AX,Deep Yellow Ltd.,uranium,URA,producer,1750283776,mid
UEC,Uranium Energy Corp,uranium,URA,producer,6466011648,large
UROY,Uranium Royalty Corp.,uranium,URA,royalties_financial_services,499488288,small
UUUU,Energy Fuels Inc,uranium,URA,producer,4363404288,mid
NNE,Nano Nuclear Energy,uranium,URA,producer,1125517824,mid
FUU.V,F3 Uranium Corp,uranium,URA,producer,101093384,small
LI.V,American Lithium Ord Shs,uranium,URA,producer,141893872,small
PUR.V,Premier American Uranium Inc.,uranium,URA,producer,65029172,small
SYH.V,Skyharbour Resources Ltd.,uranium,URA,producer,85390888,small
JLL.AX,Jindalee Lithium,uranium,URA,producer,41502308,small
COSA.V,Cosa Resources,uranium,URA,producer,59875556,small
FSY.TO,Forsys Metals Corp,uranium,URA,producer,80759408,small
PEN.AX,Peninsula Energy Ord Shs,uranium,URA,producer,247946336,small
CXU.AX,Cauldron Energy,uranium,URA,producer,50924428,small
SLX.AX,Silex Systems,uranium,URA,producer,1544226176,mid
AGE.AX,Alligator Energy Ltd.,uranium,URA,producer,164170256,small
BVR.AX,Bellavista Resources,uranium,URA,producer,64902312,small
SASK.V,Atha Energy Corp.,uranium,URA,producer,263176928,small
URG,Ur-Energy Inc,uranium,URA,producer,595992320,mid
CVV.V,Canalaska Uranium Ltd.,uranium,URA,producer,145276128,small
MGA.TO,Mega Uranium Ltd.,uranium,URA,producer,208904096,small
ISO.TO,IsoEnergy Ltd.,uranium,URA,producer,843547456,mid
URA,$Global X Uranium ETF,uranium,benchmark,ETF,,ETF
ASN.AX,Anson Resources,uranium,URA,producer,85834736,small
CCJ,Cameco Ord Shs,uranium,URA,producer,47089676288,large
BOE.AX,Boss Energy Ltd.,uranium,URA,producer,666273792,mid
PDN.AX,Paladin Energy,uranium,URA,producer,5158634496,large
BMN.AX,Bannerman Energy Ltd.,uranium,URA,producer,772534400,mid
DNN,Denison Mines Corp,uranium,URA,producer,3169403392,mid
1164.HK,CGN Mining Co,uranium,URA,producer,29718669312,large
NXE.TO,Nexgen Energy,uranium,URA,producer,10550670336,large
YCA.L,Yellow Cake PLC,uranium,URA,producer,1449000448,mid
LAM.TO,Laramide Resources,uranium,URA,producer,178701568,small
TOE.AX,Toro Energy Ltd.,uranium,URA,producer,61945148,small
BKY.MC,Berkeley Energia Ltd.,uranium,URA,producer,131241904,small
HAR.AX,Haranga Resources,uranium,URA,producer,51125032,small
PNN.AX,Power Minerals,uranium,URA,producer,37322032,small
MYRUF,Myriad Uranium Corp.,uranium,URA,producer,35793740,small
GLO.TO,Global Atomic Corp,uranium,URA,producer,387322944,small
028260.KS,Samsung C&T,uranium,URA,producer,44800438960128,large
ERA.AX,Energy Resources Of Australia,uranium,URA,producer,1216188672,mid
8001.T,Itochu Corp,uranium,URA,producer,14515822395392,large
7011.T,Mitsubishi Heavy Ind.,uranium,URA,producer,15385969557504,large
EME.AX,Energy Metals,uranium,URA,producer,18661816,small
034020.KS,Doosan Enerbility,uranium,URA,producer,65711724560384,large
ARE.TO,Aecon Group,uranium,URA,producer,2720498176,mid
052690.KS,Kepco En & Co,uranium,URA,producer,6410330439680,large
000720.KS,Hyundai En & Co,uranium,URA,producer,17783335157760,large
006360.KS,Gs En & Co,uranium,URA,producer,2325955739648,large
047040.KS,Daewoo Eng & Co,uranium,URA,producer,6722090434560,large
JAGU,Jaguar Uranium Corp,uranium,URA,producer,32511980,small
NUCL,Eagle Nuclear Energy,uranium,URA,producer,218641488,small
VZLA,Vizsla Silver Corp,silver,SIL,producer,1093931392,mid
IPT.V,Impact Silver,silver,SIL,producer,79596320,small
PLG,Platinum Group Metals,platinum,ETPMPT.AX,producer,209788576,small
NVA,Nova Minerals,gold,GDX,explorer,234264784,small
GSVR.V,Guanajuato Silver Co Ltd,silver,SIL,producer,390361376,small
SCZ.V,Santacruz Silver Mining,silver,SIL,producer,978316928,mid
MKR.AX,Manuka Resources Ord Shs,gold,GDX,producer,147881840,small
HL,Hecla Mining Co,silver,SIL,producer,12019373056,large
MKR.AX,Manuka Resources Ord Shs,silver,SIL,producer,147881840,small
IE,Ivanhoe Electric Inc.,gold,GDX,producer,1745817088,mid
CKG.V,Chesapeake Gold,gold,GDX,explorer,256029072,small
TMQ,Trilogy Metals Inc.,gold,GDX,explorer,579753280,mid
PNR.AX,Pantoro Gold,gold,GDX,producer,1288971520,mid
BRMS.JK,Bumi Resources Minerals,gold,GDX,producer,103502344880128,large
BRMS.JK,Bumi Resources Minerals,copper,copx,producer,103502344880128,large
KTN.V,Kootenay Silver,silver,SIL,explorer,137535408,small
AMMN.JK,Amman Mineral Internasional,gold,GDX,producer,360415536087040,large
AMMN.JK,Amman Mineral Internasional,copper,copx,producer,360415536087040,large
