ticker,name,sector,benchmark,type,market_cap,cap_band
GDX,Van Eck Gold Miners AU GDX,Gold,benchmark,ETF,,small
NST.AX,Northern Star Resources Limited,Gold,GDX,Miners & Producers,26897823744.0,large
EVN.AX,Evolution Mining Limited,Gold,GDX,Miners & Producers,26195013632.0,large
NEM.AX,Newmont Corporation,Gold,GDX,Miners & Producers,162343452672.0,large
GGP.AX,Greatland Resources Limited,Gold,GDX,Miners & Producers,7004956672.0,large
RMS.AX,Ramelius Resources Limited,Gold,GDX,Miners & Producers,7033564160.0,large
PRU.AX,Perseus Mining Limited,Gold,GDX,Miners & Producers,6768270848.0,large
GMD.AX,Genesis Minerals Limited,Gold,GDX,Miners & Producers,6979625472.0,large
WGX.AX,Westgold Resources Limited,Gold,GDX,Miners & Producers,5309953024.0,large
RRL.AX,Regis Resources Limited,Gold,GDX,Miners & Producers,4846414336.0,mid
CMM.AX,Capricorn Metals Ltd,Gold,GDX,Miners & Producers,4909725696.0,mid
VAU.AX,Vault Minerals Limited,Gold,GDX,Miners & Producers,4185527040.0,mid
RSG.AX,Resolute Mining Limited,Gold,GDX,Miners & Producers,2874826752.0,mid
OBM.AX,Ora Banda Mining Ltd,Gold,GDX,Miners & Producers,2192543744.0,mid
BGL.AX,Bellevue Gold Limited,Gold,GDX,Miners & Producers,2094371072.0,mid
PDI.AX,Predictive Discovery Limited,Gold,GDX,Miners & Producers,2016106368.0,mid
ALK.AX,Alkane Resources Limited,Gold,GDX,Miners & Producers,2008321152.0,mid
DTR.AX,Dateline Resources Limited,Gold,GDX,Miners & Producers,2022697216.0,mid
CYL.AX,Catalyst Metals Limited,Gold,GDX,Miners & Producers,1633515776.0,mid
KCN.AX,Kingsgate Consolidated Limited,Gold,GDX,Miners & Producers,1234640896.0,mid
PNR.AX,Pantoro Gold Limited,Gold,GDX,Miners & Producers,1288971520.0,mid
FFM.AX,FireFly Metals Ltd,Gold,GDX,Miners & Producers,1295404288.0,mid
SX2.AX,Southern Cross Gold Consolidated Ltd,Gold,GDX,Miners & Producers,2425197312.0,mid
DPM.AX,DPM Metals Inc.,Gold,GDX,Miners & Producers,10731069440.0,large
BC8.AX,Black Cat Syndicate Limited,Gold,GDX,Miners & Producers,724629248.0,mid
SMI.AX,Santana Minerals Limited,Gold,GDX,Miners & Producers,720288192.0,mid
SBM.AX,St Barbara Limited,Gold,GDX,Miners & Producers,689583616.0,mid
TCG.AX,Turaco Gold Limited,Gold,GDX,Miners & Producers,636925440.0,mid
AUC.AX,Ausgold Limited,Gold,GDX,Miners & Producers,487595136.0,small
RXR.AX,Robex Resources Inc.,Gold,GDX,Miners & Producers,1737507712.0,mid
STK.AX,Strickland Metals Limited,Gold,GDX,Miners & Producers,526373728.0,mid
NMG.AX,New Murchison Gold Limited,Gold,GDX,Miners & Producers,467162400.0,small
A1G.AX,African Gold Limited,Gold,GDX,Miners & Producers,481455424.0,small
MEK.AX,Meeka Metals Limited,Gold,GDX,Miners & Producers,471342112.0,small
USL.AX,Unico Silver Limited,Gold,GDX,Miners & Producers,415747264.0,small
BCN.AX,Beacon Minerals Limited,Gold,GDX,Miners & Producers,350752576.0,small
AAR.AX,Astral Resources NL,Gold,GDX,Miners & Producers,324188224.0,small
