ticker,name,sector,industry,market_cap,cap_band,benchmark
^NDX,NASDAQ-100,index,index,,small,benchmark
ADBE,Adobe Inc.,Technology,Computer Software,102278766592.0,large,^NDX
AMD,Advanced Micro Devices,Technology,Semiconductors,742233079808.0,large,^NDX
ABNB,Airbnb,Consumer Discretionary,Diversified Commercial Services,84119379968.0,large,^NDX
ALNY,Alnylam Pharmaceuticals,Health Care,Biotechnology,39392882688.0,large,^NDX
GOOGL,Alphabet Inc. (Class A),Technology,Computer Software,4855869472768.0,large,^NDX
GOOG,Alphabet Inc. (Class C),Technology,Computer Software,4810436771840.0,large,^NDX
AMZN,Amazon,Consumer Discretionary,Catalog/Specialty Distribution,2933248491520.0,large,^NDX
AEP,American Electric Power,Utilities,Electric Utilities,70820700160.0,large,^NDX
AMGN,Amgen,Health Care,Biotechnology,179118014464.0,large,^NDX
ADI,Analog Devices,Technology,Semiconductors,203346788352.0,large,^NDX
AAPL,Apple Inc.,Technology,Computer Manufacturing,4308095467520.0,large,^NDX
AMAT,Applied Materials,Technology,Semiconductors,345569492992.0,large,^NDX
APP,AppLovin,Technology,Computer Software,157404463104.0,large,^NDX
ARM,Arm Holdings,Technology,Semiconductors,226918989824.0,large,^NDX
ASML,ASML Holding,Technology,Industrial Machinery,613592662016.0,large,^NDX
ADSK,Autodesk,Technology,Computer Software,51625013248.0,large,^NDX
ADP,Automatic Data Processing,Industrials,Diversified Commercial Services,85141397504.0,large,^NDX
AXON,Axon Enterprise,Industrials,Ordnance & Accessories,32526163968.0,large,^NDX
BKR,Baker Hughes,Energy,Oil Equipment & Services,63383265280.0,large,^NDX
BKNG,Booking Holdings,Consumer Discretionary,Transportation Services,128575578112.0,large,^NDX
AVGO,Broadcom,Technology,Semiconductors,2035907428352.0,large,^NDX
CDNS,Cadence Design Systems,Technology,Computer Software,100038467584.0,large,^NDX
CHTR,Charter Communications,Telecommunications,Cable & Other Pay Television Services,21862881280.0,large,^NDX
CTAS,Cintas,Industrials,Garments & Clothing,66802544640.0,large,^NDX
CSCO,Cisco,Telecommunications,Computer Communications Equipment,381441179648.0,large,^NDX
CCEP,Coca-Cola Europacific Partners,Consumer Staples,Soft Drinks,41873424384.0,large,^NDX
CTSH,Cognizant,Technology,EDP Services,24444639232.0,large,^NDX
