ticker,name,sector,benchmark,market_cap,cap_band
URA,GLOBAL X URANIUM ETF,Uranium,benchmark,,small
BMN.AX,BANNERMAN ENERGY LTD,Uranium,URA,772534400.0,mid
BOE.AX,BOSS ENERGY LTD,Uranium,URA,666273792.0,mid
LOT.AX,LOTUS RESOURCES LTD,Uranium,URA,362014304.0,small
PDN.AX,PALADIN ENERGY LTD,Uranium,URA,5158634496.0,large
BHP.AX,BHP GROUP LTD,Uranium,URA,254519951360.0,large
DYL.AX,DEEP YELLOW LTD,Uranium,URA,1750283776.0,mid
SLX.AX,SILEX SYSTEMS LTD,Uranium,URA,1544226176.0,mid
ASN.AX,ANSON RESOURCES LTD,Uranium,URA,85834736.0,small
AGE.AX,ALLIGATOR ENERGY LTD,Uranium,URA,164170256.0,small
PEN.AX,PENINSULA ENERGY LTD,Uranium,URA,247946336.0,small
EL8.AX,ELEVATE URANIUM LTD,Uranium,URA,128141240.0,small
AEU.AX,ATOMIC EAGLE LTD,Uranium,URA,144690288.0,small
AEE.AX,AURA ENERGY LTD,Uranium,URA,122332848.0,small
EFR.TO,ENERGY FUELS INC,Uranium,URA,6233434624.0,large
1164.HK,CGN MINING CO LTD,Uranium,URA,30098702336.0,large
SSW.JO,SIBANYE STILLWATER LTD,Uranium,URA,142009565184.0,large
YCA.L,YELLOW CAKE PLC,Uranium,URA,1488162688.0,mid
BKY.MC,BERKELEY ENERGIA LTD,Uranium,URA,133110120.0,small
7011.T,MITSUBISHI HEAVY INDUSTRIES,Uranium,URA,15278446477312.0,large
8001.T,ITOCHU CORP,Uranium,URA,14543812034560.0,large
URC.TO,URANIUM ROYALTY CORP,Uranium,URA,701627264.0,mid
ISO.TO,ISOENERGY LTD,Uranium,URA,908342528.0,mid
GLO.TO,GLOBAL ATOMIC CORP,Uranium,URA,387322944.0,small
CCO.TO,CAMECO CORP,Uranium,URA,65595625472.0,large
NXE.TO,NEXGEN ENERGY LTD,Uranium,URA,10696105984.0,large
U-U.TO,SPROTT PHYSICAL URANIUM TR,Uranium,URA,5613598720.0,large
DML.TO,DENISON MINES CORP,Uranium,URA,4451612160.0,mid
ARE.TO,AECON GROUP INC,Uranium,URA,2802510336.0,mid
FSY.TO,FORSYS METALS CORP,Uranium,URA,84430288.0,small
MGA.TO,MEGA URANIUM LTD,Uranium,URA,227895392.0,small
LAM.TO,LARAMIDE RESOURCES,Uranium,URA,187211168.0,small
EU.V,ENCORE ENERGY CORP,Uranium,URA,477570208.0,small
SASK.V,ATHA ENERGY CORP,Uranium,URA,266639776.0,small
CVV.V,CANALASKA URANIUM LTD,Uranium,URA,154080736.0,small
LI.V,AMERICAN LITHIUM CORP,Uranium,URA,140615552.0,small
FUU.V,F3 URANIUM CORP,Uranium,URA,101093384.0,small
SYH.V,SKYHARBOUR RESOURCES LTD,Uranium,URA,88477312.0,small
AEC.V,ANFIELD ENERGY INC,Uranium,URA,138205808.0,small
URG,UR-ENERGY INC,Uranium,URA,603938880.0,mid
OKLO,OKLO INC,Uranium,URA,9593146368.0,large
UEC,URANIUM ENERGY CORP,Uranium,URA,6588567040.0,large
LEU,CENTRUS ENERGY CORP-CLASS A,Uranium,URA,3800373504.0,mid
SMR,NUSCALE POWER CORP,Uranium,URA,3724470528.0,mid
NNE,NANO NUCLEAR ENERGY INC,Uranium,URA,1142705280.0,mid
AEE,AURA ENERGY LTD,Uranium,URA,29798563840.0,large
AEC,ANFIELD ENERGY INC,Uranium,URA,103432512.0,small
