ticker,name,sector,industry,market_cap,cap_band,benchmark
SPY,SPDR S&P500 ETF,index,index,601908969472,large,benchmark
MMM,3M,Industrials,Industrial Conglomerates,76092350464,large,SPY
AOS,A. O. Smith,Industrials,Building Products,8898956288,mid,SPY
ABT,Abbott Laboratories,Health Care,Health Care Equipment,178755452928,large,SPY
ABBV,AbbVie,Health Care,Biotechnology,369388322816,large,SPY
ACN,Accenture,Information Technology,IT Consulting & Other Services,123905556480,large,SPY
ADBE,Adobe Inc.,Information Technology,Application Software,99023159296,large,SPY
AMD,Advanced Micro Devices,Information Technology,Semiconductors,354614378496,large,SPY
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,10196924416,large,SPY
AFL,Aflac,Financials,Life & Health Insurance,57904107520,large,SPY
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,32662323200,large,SPY
APD,Air Products,Materials,Industrial Gases,65360666624,large,SPY
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",74909270016,large,SPY
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,17096797184,large,SPY
ALB,Albemarle Corporation,Materials,Specialty Chemicals,20994476032,large,SPY
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,7491774976,mid,SPY
ALGN,Align Technology,Health Care,Health Care Supplies,12240550912,large,SPY
ALLE,Allegion,Industrials,Building Products,12151682048,large,SPY
LNT,Alliant Energy,Utilities,Electric Utilities,18732709888,large,SPY
ALL,Allstate,Financials,Property & Casualty Insurance,53731704832,large,SPY
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,3577929793536,large,SPY
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,3562082664448,large,SPY
MO,Altria,Consumer Staples,Tobacco,110389452800,large,SPY
AMZN,Amazon,Consumer Discretionary,Broadline Retail,2251864408064,large,SPY
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,18449483776,large,SPY
AEE,Ameren,Utilities,Multi-Utilities,30871089152,large,SPY
AEP,American Electric Power,Utilities,Electric Utilities,72119992320,large,SPY
AXP,American Express,Financials,Consumer Finance,206107787264,large,SPY
AIG,American International Group,Financials,Multi-line Insurance,40694824960,large,SPY
AMT,American Tower,Real Estate,Telecom Tower REITs,81331109888,large,SPY
AWK,American Water Works,Utilities,Water Utilities,26975993856,large,SPY
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,40315506688,large,SPY
AME,Ametek,Industrials,Electrical Components & Equipment,50002690048,large,SPY
AMGN,Amgen,Health Care,Biotechnology,187563196416,large,SPY
APH,Amphenol,Information Technology,Electronic Components,157339516928,large,SPY
ADI,Analog Devices,Information Technology,Semiconductors,155414904832,large,SPY
AON,Aon plc,Financials,Insurance Brokers,69454184448,large,SPY
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,14850693120,large,SPY
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,62128435200,large,SPY
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",3761492983808,large,SPY
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,276549238784,large,SPY
APP,AppLovin,Information Technology,Application Software,130575671296,large,SPY
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,15317399552,large,SPY
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,34465832960,large,SPY
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,35578314752,large,SPY
ARES,Ares Management,Financials,Asset Management & Custody Banks,33896073216,large,SPY
ANET,Arista Networks,Information Technology,Communications Equipment,159526240256,large,SPY
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,55947530240,large,SPY
AIZ,Assurant,Financials,Multi-line Insurance,10930703360,large,SPY
T,AT&T,Communication Services,Integrated Telecommunication Services,198326353920,large,SPY
ATO,Atmos Energy,Utilities,Gas Utilities,31262996480,large,SPY
ADSK,Autodesk,Information Technology,Application Software,50472960000,large,SPY
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,82511585280,large,SPY
AZO,AutoZone,Consumer Discretionary,Automotive Retail,56339542016,large,SPY
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,23507593216,large,SPY
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,13188963328,large,SPY
AXON,Axon Enterprise,Industrials,Aerospace & Defense,33188962304,large,SPY
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,59882311680,large,SPY
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",15961198592,large,SPY
BAC,Bank of America,Financials,Diversified Banks,354384576512,large,SPY
BAX,Baxter International,Health Care,Health Care Equipment,8611092480,mid,SPY
BDX,Becton Dickinson,Health Care,Health Care Equipment,55978213376,large,SPY
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,13515014144,large,SPY
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,8312364032,mid,SPY
BIIB,Biogen,Health Care,Biotechnology,26026156032,large,SPY
BLK,BlackRock,Financials,Asset Management & Custody Banks,150340222976,large,SPY
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,138176724992,large,SPY
XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,36326215680,large,SPY
BK,BNY Mellon,Financials,Asset Management & Custody Banks,85167243264,large,SPY
BA,Boeing,Industrials,Aerospace & Defense,163628466176,large,SPY
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",135198621696,large,SPY
BSX,Boston Scientific,Health Care,Health Care Equipment,93361520640,large,SPY
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,121687425024,large,SPY
AVGO,Broadcom,Information Technology,Semiconductors,1491367493632,large,SPY
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,18788368384,large,SPY
BRO,Brown & Brown,Financials,Insurance Brokers,22450700288,large,SPY
BLDR,Builders FirstSource,Industrials,Building Products,8751073280,mid,SPY
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,25043945472,large,SPY
BXP,"BXP, Inc.",Real Estate,Office REITs,9168010240,mid,SPY
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,19909320704,large,SPY
CDNS,Cadence Design Systems,Information Technology,Application Software,76952379392,large,SPY
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,10552243200,large,SPY
CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,6562204672,mid,SPY
COF,Capital One,Financials,Consumer Finance,113141792768,large,SPY
CAH,Cardinal Health,Health Care,Health Care Distributors,50369392640,large,SPY
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",35514978304,large,SPY
CARR,Carrier Global,Industrials,Building Products,46564864000,large,SPY
CVNA,Carvana,Consumer Discretionary,Automotive Retail,69200101376,large,SPY
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,335644295168,large,SPY
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,30348400640,large,SPY
CBRE,CBRE Group,Real Estate,Real Estate Services,40651202560,large,SPY
CDW,CDW Corporation,Information Technology,Technology Distributors,15884929024,large,SPY
COR,Cencora,Health Care,Health Care Distributors,63183564800,large,SPY
CNC,Centene Corporation,Health Care,Managed Health Care,17266132992,large,SPY
CNP,CenterPoint Energy,Utilities,Multi-Utilities,28593475584,large,SPY
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,19972335616,large,SPY
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,8560222208,mid,SPY
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,166623363072,large,SPY
CHTR,Charter Communications,Communication Services,Cable & Satellite,27832348672,large,SPY
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,397811384320,large,SPY
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,43846737920,large,SPY
CB,Chubb Limited,Financials,Property & Casualty Insurance,128410255360,large,SPY
CHD,Church & Dwight,Consumer Staples,Household Products,21993850880,large,SPY
CIEN,Ciena,Information Technology,Communications Equipment,63341678592,large,SPY
CI,Cigna,Health Care,Health Care Services,72129314816,large,SPY
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,24662253568,large,SPY
CTAS,Cintas,Industrials,Diversified Support Services,69741568000,large,SPY
CSCO,Cisco,Information Technology,Communications Equipment,312215470080,large,SPY
C,Citigroup,Financials,Diversified Banks,201609019392,large,SPY
CFG,Citizens Financial Group,Financials,Regional Banks,26194364416,large,SPY
CLX,Clorox,Consumer Staples,Household Products,12337094656,large,SPY
CME,CME Group,Financials,Financial Exchanges & Data,110696374272,large,SPY
CMS,CMS Energy,Utilities,Multi-Utilities,24202377216,large,SPY
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,330214637568,large,SPY
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,30184710144,large,SPY
COIN,Coinbase,Financials,Financial Exchanges & Data,46235492352,large,SPY
CL,Colgate-Palmolive,Consumer Staples,Household Products,68307980288,large,SPY
CMCSA,Comcast,Communication Services,Cable & Satellite,101773975552,large,SPY
FIX,Comfort Systems USA,Industrials,Construction & Engineering,49987055616,large,SPY
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,7519968256,mid,SPY
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,159539724288,large,SPY
ED,Consolidated Edison,Utilities,Multi-Utilities,41705168896,large,SPY
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,26322993152,large,SPY
CEG,Constellation Energy,Utilities,Electric Utilities,98841231360,large,SPY
COO,Cooper Companies (The),Health Care,Health Care Supplies,13691176960,large,SPY
CPRT,Copart,Industrials,Diversified Support Services,32331792384,large,SPY
GLW,Corning Inc.,Information Technology,Electronic Components,127065473024,large,SPY
CPAY,Corpay,Financials,Transaction & Payment Processing Services,20521496576,large,SPY
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,57473904640,large,SPY
CSGP,CoStar Group,Real Estate,Real Estate Services,16931720192,large,SPY
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,450509701120,large,SPY
CTRA,Coterra,Energy,Oil & Gas Exploration & Production,26240464896,large,SPY
CRH,CRH plc,Materials,Construction Materials,69941256192,large,SPY
CRWD,CrowdStrike,Information Technology,Systems Software,101222457344,large,SPY
CCI,Crown Castle,Real Estate,Telecom Tower REITs,36970049536,large,SPY
CSX,CSX Corporation,Industrials,Rail Transportation,76668911616,large,SPY
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,75946786816,large,SPY
CVS,CVS Health,Health Care,Health Care Services,93494788096,large,SPY
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,135255506944,large,SPY
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,22605289472,large,SPY
DDOG,Datadog,Information Technology,Application Software,42589544448,large,SPY
DVA,DaVita,Health Care,Health Care Services,9731877888,mid,SPY
DECK,Deckers Brands,Consumer Discretionary,Footwear,14328173568,large,SPY
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,155503476736,large,SPY
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",115553181696,large,SPY
DAL,Delta Air Lines,Industrials,Passenger Airlines,43603005440,large,SPY
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,30696882176,large,SPY
DXCM,Dexcom,Health Care,Health Care Equipment,24266811392,large,SPY
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,54689472512,large,SPY
DLR,Digital Realty,Real Estate,Data Center REITs,63555969024,large,SPY
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,26369898496,large,SPY
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,21563639808,large,SPY
D,Dominion Energy,Utilities,Multi-Utilities,55172616192,large,SPY
DPZ,Domino's,Consumer Discretionary,Restaurants,12470267904,large,SPY
DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,67966005248,large,SPY
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,27698907136,large,SPY
DOW,Dow Inc.,Materials,Commodity Chemicals,29792243712,large,SPY
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,40663695360,large,SPY
DTE,DTE Energy,Utilities,Multi-Utilities,30796480512,large,SPY
DUK,Duke Energy,Utilities,Electric Utilities,102895812608,large,SPY
DD,DuPont,Materials,Specialty Chemicals,19054997504,large,SPY
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,140251234304,large,SPY
EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,42551279616,large,SPY
ECL,Ecolab,Materials,Specialty Chemicals,74638958592,large,SPY
EIX,Edison International,Utilities,Electric Utilities,28275191808,large,SPY
EW,Edwards Lifesciences,Health Care,Health Care Equipment,47073841152,large,SPY
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,50951655424,large,SPY
ELV,Elevance Health,Health Care,Managed Health Care,66374721536,large,SPY
EME,Emcor,Industrials,Construction & Engineering,33856421888,large,SPY
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,74055180288,large,SPY
ETR,Entergy,Utilities,Electric Utilities,52601061376,large,SPY
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,76525142016,large,SPY
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,7622929408,mid,SPY
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,37269155840,large,SPY
EFX,Equifax,Industrials,Research & Consulting Services,22002544640,large,SPY
